"region","year","disease","mort_o3"
"ARG","2050","RESP",162
"AUS","2050","RESP",74
"AUT","2050","RESP",528
"BGR","2050","RESP",290
"BLX","2050","RESP",1205
"BRA","2050","RESP",2950
"CAN","2050","RESP",1768
"CHE","2050","RESP",420
"CHL","2050","RESP",236
"CHN","2050","RESP",262406
"COR","2050","RESP",10827
"EAF","2050","RESP",15844
"EGY","2050","RESP",8301
"ESP","2050","RESP",3296
"FIN","2050","RESP",105
"FRA","2050","RESP",2883
"GBR","2050","RESP",2412
"GOLF","2050","RESP",7738
"GRC","2050","RESP",752
"HUN","2050","RESP",282
"IDN","2050","RESP",7204
"ITA","2050","RESP",3856
"JPN","2050","RESP",3241
"KAZ","2050","RESP",426
"MEME","2050","RESP",3832
"MEX","2050","RESP",4338
"MON","2050","RESP",2589
"MYS","2050","RESP",1053
"NDE","2050","RESP",411971
"NOA","2050","RESP",4717
"NOR","2050","RESP",162
"NZL","2050","RESP",12
"PAC","2050","RESP",0
"PHL","2050","RESP",9050
"POL","2050","RESP",1419
"RCAM","2050","RESP",1605
"RCEU","2050","RESP",1156
"RCZ","2050","RESP",707
"RFA","2050","RESP",3266
"RIS","2050","RESP",2326
"ROM","2050","RESP",741
"RSA","2050","RESP",1456
"RSAM","2050","RESP",499
"RSAS","2050","RESP",50086
"RSEA","2050","RESP",18112
"RUE","2050","RESP",460
"RUS","2050","RESP",3325
"SAF","2050","RESP",3178
"SWE","2050","RESP",466
"THA","2050","RESP",3906
"TUR","2050","RESP",4645
"TWN","2050","RESP",4873
"UKR","2050","RESP",1296
"USA","2050","RESP",20826
"VNM","2050","RESP",15977
"WAF","2050","RESP",18186
