"region","year","disease","med","LB","UB"
"ARG","2100","alri",0,0,0
"ARG","2100","copd",0,0,0
"ARG","2100","ihd",0,0,0
"ARG","2100","lc",0,0,0
"ARG","2100","stroke",0,0,0
"ARG","2100","tot",0,0,0
"AUS","2100","alri",0,0,0
"AUS","2100","copd",0,0,0
"AUS","2100","ihd",0,0,0
"AUS","2100","lc",0,0,0
"AUS","2100","stroke",0,0,0
"AUS","2100","tot",0,0,0
"AUT","2100","alri",0,0,2
"AUT","2100","copd",28,4,76
"AUT","2100","ihd",553,45,1070
"AUT","2100","lc",31,2,83
"AUT","2100","stroke",10,0,320
"AUT","2100","tot",623,51,1551
"BGR","2100","alri",2,1,5
"BGR","2100","copd",122,34,228
"BGR","2100","ihd",1508,954,2061
"BGR","2100","lc",131,20,245
"BGR","2100","stroke",586,257,1057
"BGR","2100","tot",2349,1266,3596
"BLX","2100","alri",4,1,18
"BLX","2100","copd",260,52,586
"BLX","2100","ihd",3007,770,4927
"BLX","2100","lc",323,31,718
"BLX","2100","stroke",272,23,1806
"BLX","2100","tot",3865,877,8055
"BRA","2100","alri",0,0,0
"BRA","2100","copd",0,0,0
"BRA","2100","ihd",0,0,0
"BRA","2100","lc",0,0,0
"BRA","2100","stroke",0,0,0
"BRA","2100","tot",0,0,0
"CAN","2100","alri",0,0,1
"CAN","2100","copd",35,5,94
"CAN","2100","ihd",924,73,1844
"CAN","2100","lc",34,2,92
"CAN","2100","stroke",9,0,279
"CAN","2100","tot",1003,80,2310
"CHE","2100","alri",0,0,2
"CHE","2100","copd",35,6,87
"CHE","2100","ihd",567,74,1050
"CHE","2100","lc",40,3,100
"CHE","2100","stroke",22,1,332
"CHE","2100","tot",665,84,1571
"CHL","2100","alri",3,1,9
"CHL","2100","copd",168,39,350
"CHL","2100","ihd",2136,842,3211
"CHL","2100","lc",86,10,178
"CHL","2100","stroke",379,64,1387
"CHL","2100","tot",2771,955,5135
"CHN","2100","alri",509,273,737
"CHN","2100","copd",156986,53908,264048
"CHN","2100","ihd",129999,93221,171763
"CHN","2100","lc",57278,11703,94809
"CHN","2100","stroke",285561,123346,456095
"CHN","2100","tot",630333,282451,987452
"COR","2100","alri",4,1,11
"COR","2100","copd",2453,615,4811
"COR","2100","ihd",3059,1586,4393
"COR","2100","lc",847,112,1661
"COR","2100","stroke",2343,674,5774
"COR","2100","tot",8706,2988,16650
"EAF","2100","alri",2409,1013,4273
"EAF","2100","copd",27121,8307,47870
"EAF","2100","ihd",157854,111465,205860
"EAF","2100","lc",5985,1036,10545
"EAF","2100","stroke",128663,66603,192439
"EAF","2100","tot",322031,188424,460987
"EGY","2100","alri",212,136,280
"EGY","2100","copd",7998,2979,12913
"EGY","2100","ihd",55685,40789,80547
"EGY","2100","lc",2877,667,4546
"EGY","2100","stroke",32688,12021,51794
"EGY","2100","tot",99460,56592,150080
"ESP","2100","alri",22,5,61
"ESP","2100","copd",1000,246,1990
"ESP","2100","ihd",8219,4010,11930
"ESP","2100","lc",1317,169,2616
"ESP","2100","stroke",1876,488,5041
"ESP","2100","tot",12435,4919,21638
"FIN","2100","alri",0,0,0
"FIN","2100","copd",0,0,0
"FIN","2100","ihd",0,0,0
"FIN","2100","lc",0,0,0
"FIN","2100","stroke",0,0,0
"FIN","2100","tot",0,0,0
"FRA","2100","alri",1,0,11
"FRA","2100","copd",151,21,408
"FRA","2100","ihd",2976,239,5828
"FRA","2100","lc",167,10,444
"FRA","2100","stroke",55,1,1721
"FRA","2100","tot",3351,271,8411
"GBR","2100","alri",0,0,0
"GBR","2100","copd",0,0,0
"GBR","2100","ihd",0,0,0
"GBR","2100","lc",0,0,0
"GBR","2100","stroke",0,0,0
"GBR","2100","tot",0,0,0
"GOLF","2100","alri",323,226,407
"GOLF","2100","copd",10077,4243,15526
"GOLF","2100","ihd",133475,100963,219512
"GOLF","2100","lc",11025,3097,16187
"GOLF","2100","stroke",91479,29457,118427
"GOLF","2100","tot",246379,137986,370059
"GRC","2100","alri",2,0,7
