"region","year","disease","Damage_med","unit"
"ARG","2070","RESP",859,"Million$2015"
"AUS","2070","RESP",928,"Million$2015"
"AUT","2070","RESP",3534,"Million$2015"
"BGR","2070","RESP",1120,"Million$2015"
"BLX","2070","RESP",14119,"Million$2015"
"BRA","2070","RESP",12566,"Million$2015"
"CAN","2070","RESP",16777,"Million$2015"
"CHE","2070","RESP",3525,"Million$2015"
"CHL","2070","RESP",1055,"Million$2015"
"CHN","2070","RESP",1225885,"Million$2015"
"COR","2070","RESP",46266,"Million$2015"
"EAF","2070","RESP",32157,"Million$2015"
"EGY","2070","RESP",29852,"Million$2015"
"ESP","2070","RESP",29270,"Million$2015"
"FIN","2070","RESP",871,"Million$2015"
"FRA","2070","RESP",30921,"Million$2015"
"GBR","2070","RESP",28663,"Million$2015"
"GOLF","2070","RESP",37775,"Million$2015"
"GRC","2070","RESP",6869,"Million$2015"
"HUN","2070","RESP",1453,"Million$2015"
"IDN","2070","RESP",32311,"Million$2015"
"ITA","2070","RESP",37156,"Million$2015"
"JPN","2070","RESP",19189,"Million$2015"
"KAZ","2070","RESP",2218,"Million$2015"
"MEME","2070","RESP",14208,"Million$2015"
"MEX","2070","RESP",24025,"Million$2015"
"MON","2070","RESP",1068,"Million$2015"
"MYS","2070","RESP",5462,"Million$2015"
"NDE","2070","RESP",1779792,"Million$2015"
"NOA","2070","RESP",15427,"Million$2015"
"NOR","2070","RESP",2061,"Million$2015"
"NZL","2070","RESP",107,"Million$2015"
"PAC","2070","RESP",0,"Million$2015"
"PHL","2070","RESP",23040,"Million$2015"
"POL","2070","RESP",7268,"Million$2015"
"RCAM","2070","RESP",5549,"Million$2015"
"RCEU","2070","RESP",4936,"Million$2015"
"RCZ","2070","RESP",3543,"Million$2015"
"RFA","2070","RESP",20263,"Million$2015"
"RIS","2070","RESP",12083,"Million$2015"
"ROM","2070","RESP",3130,"Million$2015"
"RSA","2070","RESP",6808,"Million$2015"
"RSAM","2070","RESP",2012,"Million$2015"
"RSAS","2070","RESP",90980,"Million$2015"
"RSEA","2070","RESP",18634,"Million$2015"
"RUE","2070","RESP",2129,"Million$2015"
"RUS","2070","RESP",16014,"Million$2015"
"SAF","2070","RESP",5477,"Million$2015"
"SWE","2070","RESP",4771,"Million$2015"
"THA","2070","RESP",15483,"Million$2015"
"TUR","2070","RESP",21670,"Million$2015"
"TWN","2070","RESP",44233,"Million$2015"
"UKR","2070","RESP",6042,"Million$2015"
"USA","2070","RESP",208353,"Million$2015"
"VNM","2070","RESP",50762,"Million$2015"
"WAF","2070","RESP",57954,"Million$2015"
