"region","year","RESP","tot"
"ARG","2020",2388,2388
"AUS","2020",377,377
"AUT","2020",6839,6839
"BGR","2020",5319,5319
"BLX","2020",12584,12584
"BRA","2020",40840,40840
"CAN","2020",17753,17753
"CHE","2020",4749,4749
"CHL","2020",2201,2201
"CHN","2020",3779316,3779316
"COR","2020",112278,112278
"EAF","2020",114725,114725
"EGY","2020",96907,96907
"ESP","2020",32078,32078
"FIN","2020",1319,1319
"FRA","2020",28780,28780
"GBR","2020",23215,23215
"GOLF","2020",88462,88462
"GRC","2020",8112,8112
"HUN","2020",5360,5360
"IDN","2020",84294,84294
"ITA","2020",43905,43905
"JPN","2020",35428,35428
"KAZ","2020",6283,6283
"MEME","2020",35457,35457
"MEX","2020",43496,43496
"MON","2020",39956,39956
"MYS","2020",9778,9778
"NDE","2020",3272000,3272000
"NOA","2020",57764,57764
"NOR","2020",1626,1626
"NZL","2020",72,72
"PAC","2020",0,0
"PHL","2020",86805,86805
"POL","2020",23696,23696
"RCAM","2020",18206,18206
"RCEU","2020",16388,16388
"RCZ","2020",10656,10656
"RFA","2020",44951,44951
"RIS","2020",36024,36024
"ROM","2020",13852,13852
"RSA","2020",20734,20734
"RSAM","2020",4068,4068
"RSAS","2020",396741,396741
"RSEA","2020",212145,212145
"RUE","2020",9017,9017
"RUS","2020",59046,59046
"SAF","2020",25446,25446
"SWE","2020",5041,5041
"THA","2020",53937,53937
"TUR","2020",54775,54775
"TWN","2020",53313,53313
"UKR","2020",26104,26104
"USA","2020",248185,248185
"VNM","2020",200504,200504
"WAF","2020",130861,130861
