"region","year","disease","yll_o3"
"AUT","2040","resp",3994
"CHE","2040","resp",3128
"BLX","2040","resp",8753
"ESP","2040","resp",24643
"FIN","2040","resp",780
"FRA","2040","resp",21086
"GBR","2040","resp",16951
"GRC","2040","resp",5741
"ITA","2040","resp",30189
"RFA","2040","resp",25158
"SWE","2040","resp",3300
"TUR","2040","resp",42048
"NOR","2040","resp",1131
"BGR","2040","resp",2876
"HUN","2040","resp",3153
"POL","2040","resp",13928
"RCEU","2040","resp",11101
"RCZ","2040","resp",5297
"ROM","2040","resp",7561
"MEME","2040","resp",25634
"NOA","2040","resp",53379
"EGY","2040","resp",88408
"GOLF","2040","resp",70792
"WAF","2040","resp",163981
"EAF","2040","resp",145941
"SAF","2040","resp",29773
"RSA","2040","resp",16932
"KAZ","2040","resp",4232
"RIS","2040","resp",21049
"RUS","2040","resp",31925
"RUE","2040","resp",4460
"UKR","2040","resp",14301
"COR","2040","resp",101703
"JPN","2040","resp",23419
"AUS","2040","resp",381
"NZL","2040","resp",62
"PAC","2040","resp",0
"MON","2040","resp",33185
"CHN","2040","resp",2530614
"TWN","2040","resp",46613
"RSAS","2040","resp",520619
"NDE","2040","resp",4513824
"IDN","2040","resp",74732
"THA","2040","resp",45084
"MYS","2040","resp",6683
"PHL","2040","resp",69290
"VNM","2040","resp",140319
"RSEA","2040","resp",157321
"CAN","2040","resp",13591
"USA","2040","resp",162344
"BRA","2040","resp",25163
"MEX","2040","resp",34986
"RCAM","2040","resp",13106
"CHL","2040","resp",1940
"ARG","2040","resp",1352
"RSAM","2040","resp",3871
