"region","year","disease","med","LB","UB"
"ARG","2050","alri",0,0,0
"ARG","2050","copd",0,0,0
"ARG","2050","ihd",0,0,0
"ARG","2050","lc",0,0,0
"ARG","2050","stroke",0,0,0
"ARG","2050","tot",0,0,0
"AUS","2050","alri",0,0,0
"AUS","2050","copd",0,0,0
"AUS","2050","ihd",0,0,0
"AUS","2050","lc",0,0,0
"AUS","2050","stroke",0,0,0
"AUS","2050","tot",0,0,0
"AUT","2050","alri",2,0,7
"AUT","2050","copd",112,23,245
"AUT","2050","ihd",1192,351,1889
"AUT","2050","lc",140,14,305
"AUT","2050","stroke",129,13,720
"AUT","2050","tot",1575,402,3167
"BGR","2050","alri",4,2,8
"BGR","2050","copd",179,53,324
"BGR","2050","ihd",2026,1399,2705
"BGR","2050","lc",194,32,349
"BGR","2050","stroke",997,508,1552
"BGR","2050","tot",3399,1993,4938
"BLX","2050","alri",10,2,33
"BLX","2050","copd",380,86,799
"BLX","2050","ihd",3575,1358,5417
"BLX","2050","lc",491,56,1021
"BLX","2050","stroke",563,92,2171
"BLX","2050","tot",5019,1594,9441
"BRA","2050","alri",1,0,11
"BRA","2050","copd",145,20,392
"BRA","2050","ihd",3990,317,7912
"BRA","2050","lc",64,4,169
"BRA","2050","stroke",78,1,2461
"BRA","2050","tot",4278,342,10946
"CAN","2050","alri",1,0,7
"CAN","2050","copd",195,33,489
"CAN","2050","ihd",4140,572,7607
"CAN","2050","lc",204,16,501
"CAN","2050","stroke",91,6,1272
"CAN","2050","tot",4632,626,9875
"CHE","2050","alri",2,0,7
"CHE","2050","copd",95,20,207
"CHE","2050","ihd",979,314,1531
"CHE","2050","lc",121,13,260
"CHE","2050","stroke",121,15,593
"CHE","2050","tot",1318,363,2597
"CHL","2050","alri",15,5,28
"CHL","2050","copd",378,110,693
"CHL","2050","ihd",3403,2338,4579
"CHL","2050","lc",204,33,370
"CHL","2050","stroke",1549,779,2466
"CHL","2050","tot",5548,3265,8138
"CHN","2050","alri",1452,993,1888
"CHN","2050","copd",341589,130758,541891
"CHN","2050","ihd",238599,175743,355521
"CHN","2050","lc",126365,30772,195973
"CHN","2050","stroke",710178,249955,1049336
"CHN","2050","tot",1418183,588221,2144609
"COR","2050","alri",17,7,30
"COR","2050","copd",6454,1961,11448
"COR","2050","ihd",6242,4384,8177
"COR","2050","lc",2305,395,4079
"COR","2050","stroke",9440,4883,14192
"COR","2050","tot",24458,11629,37927
"EAF","2050","alri",3412,1459,5964
"EAF","2050","copd",14746,4555,25908
"EAF","2050","ihd",85027,60276,110402
"EAF","2050","lc",3258,570,5716
"EAF","2050","stroke",70897,36646,105653
"EAF","2050","tot",177340,103505,253643
"EGY","2050","alri",269,158,366
"EGY","2050","copd",5538,1975,9133
"EGY","2050","ihd",40839,29598,56153
"EGY","2050","lc",1979,432,3199
"EGY","2050","stroke",21765,8488,35390
"EGY","2050","tot",70390,40652,104241
"ESP","2050","alri",30,8,78
"ESP","2050","copd",1172,293,2303
"ESP","2050","ihd",9353,4804,13454
"ESP","2050","lc",1549,204,3044
"ESP","2050","stroke",2301,646,5753
"ESP","2050","tot",14405,5954,24632
"FIN","2050","alri",0,0,0
"FIN","2050","copd",0,0,0
"FIN","2050","ihd",0,0,0
"FIN","2050","lc",0,0,0
"FIN","2050","stroke",0,0,0
"FIN","2050","tot",0,0,0
"FRA","2050","alri",11,2,51
