"region","year","disease","mort_o3"
"ARG","2020","RESP",152
"AUS","2020","RESP",27
"AUT","2020","RESP",475
"BGR","2020","RESP",315
"BLX","2020","RESP",914
"BRA","2020","RESP",2389
"CAN","2020","RESP",1279
"CHE","2020","RESP",360
"CHL","2020","RESP",163
"CHN","2020","RESP",256764
"COR","2020","RESP",8902
"EAF","2020","RESP",5469
"EGY","2020","RESP",4332
"ESP","2020","RESP",2871
"FIN","2020","RESP",90
"FRA","2020","RESP",2385
"GBR","2020","RESP",1684
"GOLF","2020","RESP",4376
"GRC","2020","RESP",704
"HUN","2020","RESP",299
"IDN","2020","RESP",4298
"ITA","2020","RESP",3864
"JPN","2020","RESP",3140
"KAZ","2020","RESP",317
"MEME","2020","RESP",2005
"MEX","2020","RESP",2903
"MON","2020","RESP",2335
"MYS","2020","RESP",552
"NDE","2020","RESP",179476
"NOA","2020","RESP",3143
"NOR","2020","RESP",115
"NZL","2020","RESP",5
"PAC","2020","RESP",0
"PHL","2020","RESP",4235
"POL","2020","RESP",1439
"RCAM","2020","RESP",1082
"RCEU","2020","RESP",1050
"RCZ","2020","RESP",631
"RFA","2020","RESP",3090
"RIS","2020","RESP",1594
"ROM","2020","RESP",815
"RSA","2020","RESP",1060
"RSAM","2020","RESP",274
"RSAS","2020","RESP",21011
"RSEA","2020","RESP",11523
"RUE","2020","RESP",505
"RUS","2020","RESP",3307
"SAF","2020","RESP",1194
"SWE","2020","RESP",361
"THA","2020","RESP",3358
"TUR","2020","RESP",3334
"TWN","2020","RESP",4352
"UKR","2020","RESP",1400
"USA","2020","RESP",15771
"VNM","2020","RESP",11702
"WAF","2020","RESP",6328
