"region","year","RESP","tot"
"ARG","2060",2529,2529
"AUS","2060",1158,1158
"AUT","2060",7631,7631
"BGR","2060",4762,4762
"BLX","2060",17210,17210
"BRA","2060",49661,49661
"CAN","2060",26262,26262
"CHE","2060",5673,5673
"CHL","2060",3267,3267
"CHN","2060",3440352,3440352
"COR","2060",126442,126442
"EAF","2060",441176,441176
"EGY","2060",205111,205111
"ESP","2060",36693,36693
"FIN","2060",1598,1598
"FRA","2060",36189,36189
"GBR","2060",35250,35250
"GOLF","2060",173426,173426
"GRC","2060",8584,8584
"HUN","2060",4876,4876
"IDN","2060",141875,141875
"ITA","2060",42701,42701
"JPN","2060",34209,34209
"KAZ","2060",8780,8780
"MEME","2060",76061,76061
"MEX","2060",69312,69312
"MON","2060",42334,42334
"MYS","2060",19344,19344
"NDE","2060",8143137,8143137
"NOA","2060",91874,91874
"NOR","2060",2489,2489
"NZL","2060",203,203
"PAC","2060",0,0
"PHL","2060",203166,203166
"POL","2060",22477,22477
"RCAM","2060",28133,28133
"RCEU","2060",18011,18011
"RCZ","2060",11990,11990
"RFA","2060",46741,46741
"RIS","2060",53968,53968
"ROM","2060",11626,11626
"RSA","2060",30730,30730
"RSAM","2060",7721,7721
"RSAS","2060",1086369,1086369
"RSEA","2060",330433,330433
"RUE","2060",7856,7856
"RUS","2060",57956,57956
"SAF","2060",89336,89336
"SWE","2060",6954,6954
"THA","2060",59848,59848
"TUR","2060",79288,79288
"TWN","2060",54146,54146
"UKR","2060",23307,23307
"USA","2060",351167,351167
"VNM","2060",263935,263935
"WAF","2060",518274,518274
