"region","year","disease","Damage_med","unit"
"ARG","2050","RESP",645,"Million$2015"
"AUS","2050","RESP",674,"Million$2015"
"AUT","2050","RESP",3024,"Million$2015"
"BGR","2050","RESP",1026,"Million$2015"
"BLX","2050","RESP",11152,"Million$2015"
"BRA","2050","RESP",9456,"Million$2015"
"CAN","2050","RESP",12919,"Million$2015"
"CHE","2050","RESP",2893,"Million$2015"
"CHL","2050","RESP",847,"Million$2015"
"CHN","2050","RESP",1328694,"Million$2015"
"COR","2050","RESP",47177,"Million$2015"
"EAF","2050","RESP",12486,"Million$2015"
"EGY","2050","RESP",18389,"Million$2015"
"ESP","2050","RESP",24480,"Million$2015"
"FIN","2050","RESP",707,"Million$2015"
"FRA","2050","RESP",23949,"Million$2015"
"GBR","2050","RESP",21540,"Million$2015"
"GOLF","2050","RESP",25723,"Million$2015"
"GRC","2050","RESP",5805,"Million$2015"
"HUN","2050","RESP",1302,"Million$2015"
"IDN","2050","RESP",23336,"Million$2015"
"ITA","2050","RESP",32920,"Million$2015"
"JPN","2050","RESP",18185,"Million$2015"
"KAZ","2050","RESP",1756,"Million$2015"
"MEME","2050","RESP",9142,"Million$2015"
"MEX","2050","RESP",16676,"Million$2015"
"MON","2050","RESP",826,"Million$2015"
"MYS","2050","RESP",4346,"Million$2015"
"NDE","2050","RESP",1226387,"Million$2015"
"NOA","2050","RESP",9990,"Million$2015"
"NOR","2050","RESP",1553,"Million$2015"
"NZL","2050","RESP",72,"Million$2015"
"PAC","2050","RESP",0,"Million$2015"
"PHL","2050","RESP",14059,"Million$2015"
"POL","2050","RESP",6860,"Million$2015"
"RCAM","2050","RESP",3980,"Million$2015"
"RCEU","2050","RESP",4138,"Million$2015"
"RCZ","2050","RESP",2971,"Million$2015"
"RFA","2050","RESP",17397,"Million$2015"
"RIS","2050","RESP",9932,"Million$2015"
"ROM","2050","RESP",3066,"Million$2015"
"RSA","2050","RESP",4458,"Million$2015"
"RSAM","2050","RESP",1405,"Million$2015"
"RSAS","2050","RESP",43886,"Million$2015"
"RSEA","2050","RESP",13623,"Million$2015"
"RUE","2050","RESP",1941,"Million$2015"
"RUS","2050","RESP",14028,"Million$2015"
"SAF","2050","RESP",2095,"Million$2015"
"SWE","2050","RESP",3615,"Million$2015"
"THA","2050","RESP",12304,"Million$2015"
"TUR","2050","RESP",14857,"Million$2015"
"TWN","2050","RESP",41774,"Million$2015"
"UKR","2050","RESP",5448,"Million$2015"
"USA","2050","RESP",156294,"Million$2015"
"VNM","2050","RESP",41185,"Million$2015"
"WAF","2050","RESP",20710,"Million$2015"
