"region","year","disease","yll_o3"
"AUT","2070","resp",4056
"CHE","2070","resp",3370
"BLX","2070","resp",9993
"ESP","2070","resp",25189
"FIN","2070","resp",858
"FRA","2070","resp",24136
"GBR","2070","resp",20657
"GRC","2070","resp",5679
"ITA","2070","resp",28255
"RFA","2070","resp",24393
"SWE","2070","resp",4072
"TUR","2070","resp",48014
"NOR","2070","resp",1451
"BGR","2070","resp",2651
"HUN","2070","resp",2803
"POL","2070","resp",12500
"RCEU","2070","resp",10955
"RCZ","2070","resp",5398
"ROM","2070","resp",6025
"MEME","2070","resp",36344
"NOA","2070","resp",65277
"EGY","2070","resp",123419
"GOLF","2070","resp",97841
"WAF","2070","resp",423307
"EAF","2070","resp",347143
"SAF","2070","resp",69307
"RSA","2070","resp",21579
"KAZ","2070","resp",4941
"RIS","2070","resp",23288
"RUS","2070","resp",30820
"RUE","2070","resp",4098
"UKR","2070","resp",13068
"COR","2070","resp",81123
"JPN","2070","resp",19718
"AUS","2070","resp",623
"NZL","2070","resp",104
"PAC","2070","resp",0
"MON","2070","resp",29309
"CHN","2070","resp",1824697
"TWN","2070","resp",39205
"RSAS","2070","resp",795164
"NDE","2070","resp",5887797
"IDN","2070","resp",79141
"THA","2070","resp",39464
"MYS","2070","resp",7797
"PHL","2070","resp",94251
"VNM","2070","resp",128593
"RSEA","2070","resp",154126
"CAN","2070","resp",16872
"USA","2070","resp",200652
"BRA","2070","resp",25154
"MEX","2070","resp",43509
"RCAM","2070","resp",15286
"CHL","2070","resp",2171
"ARG","2070","resp",1486
"RSAM","2070","resp",4716
