"region","year","disease","med","LB","UB"
"ARG","2010","alri",9,1,39
"ARG","2010","copd",153,30,348
"ARG","2010","ihd",2633,651,4352
"ARG","2010","lc",89,9,199
"ARG","2010","stroke",232,20,1605
"ARG","2010","tot",3116,711,6544
"AUS","2010","alri",1,0,10
"AUS","2010","copd",12,2,33
"AUS","2010","ihd",332,27,651
"AUS","2010","lc",31,2,81
"AUS","2010","stroke",10,0,325
"AUS","2010","tot",386,30,1100
"AUT","2010","alri",18,7,33
"AUT","2010","copd",259,78,461
"AUT","2010","ihd",2085,1458,2742
"AUT","2010","lc",420,71,746
"AUT","2010","stroke",963,498,1454
"AUT","2010","tot",3745,2113,5436
"BGR","2010","alri",14,7,21
"BGR","2010","copd",242,81,412
"BGR","2010","ihd",3062,2187,3942
"BGR","2010","lc",317,62,534
"BGR","2010","stroke",2069,978,3237
"BGR","2010","tot",5704,3314,8145
"BLX","2010","alri",63,27,111
"BLX","2010","copd",703,216,1240
"BLX","2010","ihd",5553,3925,7237
"BLX","2010","lc",1142,198,2011
"BLX","2010","stroke",2683,1389,4009
"BLX","2010","tot",10145,5754,14608
"BRA","2010","alri",41,6,179
"BRA","2010","copd",703,141,1581
"BRA","2010","ihd",11706,3053,19089
"BRA","2010","lc",411,40,911
"BRA","2010","stroke",1099,95,7157
"BRA","2010","tot",13961,3335,28917
"CAN","2010","alri",0,0,4
"CAN","2010","copd",78,11,211
"CAN","2010","ihd",2136,173,4146
"CAN","2010","lc",92,6,243
"CAN","2010","stroke",20,0,617
"CAN","2010","tot",2327,190,5221
"CHE","2010","alri",12,5,23
"CHE","2010","copd",174,51,316
"CHE","2010","ihd",1449,1000,1939
"CHE","2010","lc",281,46,507
"CHE","2010","stroke",610,310,956
"CHE","2010","tot",2526,1411,3741
"CHL","2010","alri",51,26,78
"CHL","2010","copd",341,114,580
"CHL","2010","ihd",2738,1956,3521
"CHL","2010","lc",222,43,375
"CHL","2010","stroke",1777,844,2776
"CHL","2010","tot",5128,2982,7330
"CHN","2010","alri",4927,3458,6228
"CHN","2010","copd",244632,104669,373679
"CHN","2010","ihd",196637,149373,326329
"CHN","2010","lc",90340,25932,131521
"CHN","2010","stroke",692408,221843,884355
"CHN","2010","tot",1228945,505275,1722111
"COR","2010","alri",106,74,135
"COR","2010","copd",7878,3090,12335
"COR","2010","ihd",7133,5294,10962
"COR","2010","lc",2877,726,4399
"COR","2010","stroke",21907,7528,30963
"COR","2010","tot",39902,16711,58795
"EAF","2010","alri",4048,1708,7156
"EAF","2010","copd",4739,1454,8355
"EAF","2010","ihd",29569,20906,38520
"EAF","2010","lc",979,170,1723
"EAF","2010","stroke",23857,12352,35641
"EAF","2010","tot",63192,36591,91395
"EGY","2010","alri",531,316,722
"EGY","2010","copd",2271,814,3736
"EGY","2010","ihd",19301,13994,26626
"EGY","2010","lc",728,160,1173
"EGY","2010","stroke",9872,3827,16056
"EGY","2010","tot",32703,19111,48313
"ESP","2010","alri",95,36,183
"ESP","2010","copd",1294,378,2359
"ESP","2010","ihd",10835,7464,14522
"ESP","2010","lc",2089,339,3781
"ESP","2010","stroke",4514,2285,7106
"ESP","2010","tot",18827,10502,27952
"FIN","2010","alri",0,0,0
"FIN","2010","copd",1,0,2
"FIN","2010","ihd",22,2,44
"FIN","2010","lc",1,0,3
"FIN","2010","stroke",0,0,12
"FIN","2010","tot",24,2,61
"FRA","2010","alri",150,62,270
"FRA","2010","copd",1494,453,2652
"FRA","2010","ihd",11951,8383,15671
"FRA","2010","lc",2422,414,4290
"FRA","2010","stroke",5598,2895,8425
"FRA","2010","tot",21615,12207,31309
"GBR","2010","alri",63,17,162
"GBR","2010","copd",927,235,1807
"GBR","2010","ihd",9385,5016,13403
"GBR","2010","lc",1459,196,2844
"GBR","2010","stroke",2351,728,5526
"GBR","2010","tot",14186,6193,23741
"GOLF","2010","alri",803,565,1013
"GOLF","2010","copd",2575,1094,3949
"GOLF","2010","ihd",39103,29640,64653
"GOLF","2010","lc",2527,718,3693
"GOLF","2010","stroke",25767,8264,33095
"GOLF","2010","tot",70775,40281,106403
"GRC","2010","alri",22,9,41
"GRC","2010","copd",295,87,532
"GRC","2010","ihd",2425,1680,3223
"GRC","2010","lc",477,79,855
"GRC","2010","stroke",1059,543,1632
"GRC","2010","tot",4278,2397,6283
"HUN","2010","alri",9,4,16
"HUN","2010","copd",215,68,372
"HUN","2010","ihd",8507,6029,10918
"HUN","2010","lc",358,65,618
"HUN","2010","stroke",4030,2023,6029
"HUN","2010","tot",13119,8190,17953
"IDN","2010","alri",1157,392,2415
"IDN","2010","copd",3144,880,5845
"IDN","2010","ihd",36054,23440,48906
"IDN","2010","lc",3694,565,6847
"IDN","2010","stroke",11626,5373,20071
"IDN","2010","tot",55675,30649,84084
"ITA","2010","alri",152,73,243
"ITA","2010","copd",1959,637,3362
"ITA","2010","ihd",14442,10318,18516
"ITA","2010","lc",3213,602,5487
"ITA","2010","stroke",8223,4039,12472
"ITA","2010","tot",27989,15669,40081
"JPN","2010","alri",719,379,1061
"JPN","2010","copd",2209,752,3725
"JPN","2010","ihd",16180,11582,21166
"JPN","2010","lc",6948,1397,11566
"JPN","2010","stroke",18964,8431,30035
"JPN","2010","tot",45020,22540,67553
"KAZ","2010","alri",50,28,70
"KAZ","2010","copd",334,117,560
"KAZ","2010","ihd",11601,8354,15604
"KAZ","2010","lc",566,119,927
"KAZ","2010","stroke",7458,3060,12140
"KAZ","2010","tot",20010,11678,29301
"MEME","2010","alri",239,110,396
"MEME","2010","copd",696,223,1205
"MEME","2010","ihd",5248,3725,6734
"MEME","2010","lc",1139,208,1963
"MEME","2010","stroke",2849,1425,4272
"MEME","2010","tot",10171,5691,14569
"MEX","2010","alri",133,38,328
"MEX","2010","copd",915,236,1766
"MEX","2010","ihd",10140,5651,14367
"MEX","2010","lc",572,79,1106
"MEX","2010","stroke",2891,976,6380
"MEX","2010","tot",14651,6979,23947
"MON","2010","alri",154,77,238
"MON","2010","copd",1455,483,2479
"MON","2010","ihd",7549,5392,9690
"MON","2010","lc",371,72,627
"MON","2010","stroke",3746,1799,5840
"MON","2010","tot",13276,7823,18874
"MYS","2010","alri",92,24,241
"MYS","2010","copd",160,40,314
"MYS","2010","ihd",1736,906,2490
"MYS","2010","lc",479,63,937
"MYS","2010","stroke",743,218,1811
"MYS","2010","tot",3210,1252,5793
"NDE","2010","alri",18669,12497,24425
"NDE","2010","copd",79564,30199,127225
"NDE","2010","ihd",336737,247625,495192
"NDE","2010","lc",20726,4961,32362
"NDE","2010","stroke",251643,89661,380701
"NDE","2010","tot",707339,384943,1059906
"NOA","2010","alri",711,373,1055
"NOA","2010","copd",1864,632,3147
"NOA","2010","ihd",10355,7410,13502
"NOA","2010","lc",310,62,517
"NOA","2010","stroke",11294,5071,17849
"NOA","2010","tot",24535,13548,36070
