"region","year","disease","med","LB","UB"
"ARG","2070","alri",0,0,0
"ARG","2070","copd",0,0,0
"ARG","2070","ihd",0,0,0
"ARG","2070","lc",0,0,0
"ARG","2070","stroke",0,0,0
"ARG","2070","tot",0,0,0
"AUS","2070","alri",0,0,0
"AUS","2070","copd",0,0,0
"AUS","2070","ihd",0,0,0
"AUS","2070","lc",0,0,0
"AUS","2070","stroke",0,0,0
"AUS","2070","tot",0,0,0
"AUT","2070","alri",1,0,3
"AUT","2070","copd",55,10,133
"AUT","2070","ihd",794,137,1413
"AUT","2070","lc",66,6,156
"AUT","2070","stroke",44,3,469
"AUT","2070","tot",960,155,2174
"BGR","2070","alri",3,1,6
"BGR","2070","copd",151,43,279
"BGR","2070","ihd",1800,1192,2436
"BGR","2070","lc",163,25,300
"BGR","2070","stroke",775,369,1301
"BGR","2070","tot",2892,1631,4323
"BLX","2070","alri",7,1,26
"BLX","2070","copd",328,70,713
"BLX","2070","ihd",3391,1068,5319
"BLX","2070","lc",415,44,892
"BLX","2070","stroke",407,49,2051
"BLX","2070","tot",4548,1231,9001
"BRA","2070","alri",0,0,0
"BRA","2070","copd",0,0,0
"BRA","2070","ihd",0,0,0
"BRA","2070","lc",0,0,0
"BRA","2070","stroke",0,0,0
"BRA","2070","tot",0,0,0
"CAN","2070","alri",0,0,2
"CAN","2070","copd",59,8,159
"CAN","2070","ihd",1548,123,3066
"CAN","2070","lc",58,4,155
"CAN","2070","stroke",15,0,468
"CAN","2070","tot",1680,135,3850
"CHE","2070","alri",1,0,4
"CHE","2070","copd",63,12,145
"CHE","2070","ihd",780,177,1318
"CHE","2070","lc",77,7,175
"CHE","2070","stroke",61,5,466
"CHE","2070","tot",982,201,2107
"CHL","2070","alri",6,2,16
"CHL","2070","copd",254,64,498
"CHL","2070","ihd",2785,1447,3997
"CHL","2070","lc",133,18,261
"CHL","2070","stroke",746,216,1832
"CHL","2070","tot",3924,1746,6604
"CHN","2070","alri",932,583,1253
"CHN","2070","copd",259048,94743,421593
"CHN","2070","ihd",194025,141315,274389
"CHN","2070","lc",95175,21526,151833
"CHN","2070","stroke",515713,194252,832453
"CHN","2070","tot",1064893,452419,1681521
"COR","2070","alri",9,3,19
"COR","2070","copd",4293,1190,8011
"COR","2070","ihd",4663,2988,6347
"COR","2070","lc",1515,229,2822
"COR","2070","stroke",5176,2328,9144
"COR","2070","tot",15657,6738,26344
"EAF","2070","alri",3054,1295,5375
"EAF","2070","copd",20944,6443,36872
"EAF","2070","ihd",121294,85899,157797
"EAF","2070","lc",4625,805,8130
"EAF","2070","stroke",100027,51803,149206
"EAF","2070","tot",249944,146246,357379
"EGY","2070","alri",300,200,393
"EGY","2070","copd",7720,2924,12373
"EGY","2070","ihd",52384,38511,76783
"EGY","2070","lc",2785,664,4355
"EGY","2070","stroke",32183,11503,48961
"EGY","2070","tot",95372,53801,142865
"ESP","2070","alri",21,5,63
"ESP","2070","copd",970,232,1973
"ESP","2070","ihd",8388,3726,12359
"ESP","2070","lc",1269,156,2566
"ESP","2070","stroke",1664,363,5121
"ESP","2070","tot",12312,4482,22081
"FIN","2070","alri",0,0,0
"FIN","2070","copd",0,0,0
"FIN","2070","ihd",0,0,0
"FIN","2070","lc",0,0,0
"FIN","2070","stroke",0,0,0
"FIN","2070","tot",0,0,0
"FRA","2070","alri",4,0,24
"FRA","2070","copd",280,46,709
"FRA","2070","ihd",4630,589,8590
"FRA","2070","lc",324,24,805
"FRA","2070","stroke",174,10,2707
"FRA","2070","tot",5411,670,12835
"GBR","2070","alri",0,0,1
"GBR","2070","copd",11,2,30
"GBR","2070","ihd",221,17,443
"GBR","2070","lc",12,1,32
"GBR","2070","stroke",4,0,127
"GBR","2070","tot",248,20,633
"GOLF","2070","alri",396,277,498
"GOLF","2070","copd",9041,3780,13981
"GOLF","2070","ihd",120877,91279,197727
"GOLF","2070","lc",9883,2748,14572
"GOLF","2070","stroke",82215,26545,106787
"GOLF","2070","tot",222413,124629,333565
"GRC","2070","alri",3,1,10
"GRC","2070","copd",160,36,337
"GRC","2070","ihd",1506,572,2282
"GRC","2070","lc",207,24,430
"GRC","2070","stroke",237,39,914
"GRC","2070","tot",2113,672,3973
"HUN","2070","alri",1,0,2
"HUN","2070","copd",70,15,149
"HUN","2070","ihd",3617,1239,5591
"HUN","2070","lc",91,10,192
"HUN","2070","stroke",434,61,1932
"HUN","2070","tot",4212,1326,7866
"IDN","2070","alri",234,64,592
"IDN","2070","copd",5184,1323,10070
"IDN","2070","ihd",53644,29048,76425
"IDN","2070","lc",6805,921,13226
"IDN","2070","stroke",13206,4207,30433
"IDN","2070","tot",79073,35563,130745
"ITA","2070","alri",33,10,78
"ITA","2070","copd",1241,324,2376
"ITA","2070","ihd",9257,5339,13026
"ITA","2070","lc",1658,232,3179
