"region","year","disease","yll_o3"
"AUT","2100","resp",3596
"CHE","2100","resp",3128
"BLX","2100","resp",9954
"ESP","2100","resp",22654
"FIN","2100","resp",842
"FRA","2100","resp",24612
"GBR","2100","resp",21374
"GRC","2100","resp",4985
"ITA","2100","resp",24565
"RFA","2100","resp",21218
"SWE","2100","resp",4267
"TUR","2100","resp",45824
"NOR","2100","resp",1529
"BGR","2100","resp",2230
"HUN","2100","resp",2302
"POL","2100","resp",10045
"RCEU","2100","resp",8832
"RCZ","2100","resp",4759
"ROM","2100","resp",4411
"MEME","2100","resp",39636
"NOA","2100","resp",64959
"EGY","2100","resp",134902
"GOLF","2100","resp",105403
"WAF","2100","resp",787241
"EAF","2100","resp",561861
"SAF","2100","resp",110666
"RSA","2100","resp",21851
"KAZ","2100","resp",4658
"RIS","2100","resp",21684
"RUS","2100","resp",27230
"RUE","2100","resp",3384
"UKR","2100","resp",11017
"COR","2100","resp",58063
"JPN","2100","resp",15574
"AUS","2100","resp",560
"NZL","2100","resp",104
"PAC","2100","resp",0
"MON","2100","resp",21581
"CHN","2100","resp",1124109
"TWN","2100","resp",31967
"RSAS","2100","resp",935794
"NDE","2100","resp",5282922
"IDN","2100","resp",62595
"THA","2100","resp",30265
"MYS","2100","resp",6960
"PHL","2100","resp",92020
"VNM","2100","resp",93154
"RSEA","2100","resp",131225
"CAN","2100","resp",17552
"USA","2100","resp",213147
"BRA","2100","resp",21052
"MEX","2100","resp",48288
"RCAM","2100","resp",15277
"CHL","2100","resp",1922
"ARG","2100","resp",1406
"RSAM","2100","resp",4553
