"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2100",0,0,0,0,0,0
"AUS","2100",0,0,0,0,0,0
"AUT","2100",0,623,9049,668,178,10517
"BGR","2100",46,2899,28956,3311,10558,45769
"BLX","2100",44,5685,53621,6559,4554,70463
"BRA","2100",0,0,0,0,0,0
"CAN","2100",0,726,17480,677,203,19085
"CHE","2100",0,795,8770,812,355,10733
"CHL","2100",43,3125,46123,1794,7124,58210
"CHN","2100",11000,3010511,2816403,1289820,6677340,13805074
"COR","2100",51,59957,58184,16281,52154,186627
"EAF","2100",129410,797102,4242885,158260,3258720,8586378
"EGY","2100",10169,272686,1484964,82004,984855,2834677
"ESP","2100",248,16376,145791,28173,28481,219068
"FIN","2100",0,0,0,0,0,0
"FRA","2100",10,2762,50169,3657,900,57500
"GBR","2100",0,0,0,0,0,0
"GOLF","2100",11908,333530,3593379,284892,2456663,6680373
"GRC","2100",23,2714,24071,3493,2529,32829
"HUN","2100",0,974,45031,1184,3851,51039
"IDN","2100",5541,113714,1286737,141304,252583,1799879
"ITA","2100",268,18881,127450,26120,30237,202956
"JPN","2100",421,14869,104555,33633,41157,194636
"KAZ","2100",304,9443,307011,14929,118291,449978
"MEME","2100",1940,53198,317252,56380,103662,532431
"MEX","2100",1773,39594,503175,25111,163163,732816
"MON","2100",111,12432,108271,4073,13102,137989
"MYS","2100",0,0,0,0,0,0
"NDE","2100",282742,5704942,21248237,1843901,15425374,44505197
"NOA","2100",7972,110274,447922,17381,556580,1140129
"NOR","2100",0,0,0,0,0,0
"NZL","2100",240,2999,14772,8778,12728,39517
"PAC","2100",0,1635,6217,493,357,8703
"PHL","2100",0,0,0,0,0,0
"POL","2100",0,0,0,0,0,0
"RCAM","2100",558,16704,248606,9495,34845,310209
"RCEU","2100",173,11644,110834,13143,48374,184168
"RCZ","2100",50,4549,31408,5156,5089,46252
"RFA","2100",127,17368,121086,18688,15312,172580
"RIS","2100",7249,80069,549112,88026,615827,1340282
"ROM","2100",26,2417,37859,2578,3881,46762
"RSA","2100",2098,31832,193521,5821,83991,317262
"RSAM","2100",106,2039,117747,1714,2702,124307
"RSAS","2100",105441,1229064,8721345,481633,4626958,15164442
"RSEA","2100",1455,192252,197159,72420,254559,717845
"RUE","2100",0,0,0,0,0,0
"RUS","2100",36,4179,130635,3871,2431,141152
"SAF","2100",6006,74599,568235,13157,130438,792435
"SWE","2100",0,0,0,0,0,0
"THA","2100",1655,43460,344937,50616,163122,603791
"TUR","2100",334,29473,422945,30302,78324,561378
"TWN","2100",28,21870,37843,9473,35622,104836
"UKR","2100",0,0,0,0,0,0
"USA","2100",425,101021,1226607,89485,73363,1490900
"VNM","2100",353,170960,199014,65220,159096,594643
"WAF","2100",365187,1315069,4537708,184410,6945768,13348142
