"region","year","disease","med","LB","UB"
"ARG","2090","alri",0,0,0
"ARG","2090","copd",0,0,0
"ARG","2090","ihd",0,0,0
"ARG","2090","lc",0,0,0
"ARG","2090","stroke",0,0,0
"ARG","2090","tot",0,0,0
"AUS","2090","alri",0,0,0
"AUS","2090","copd",0,0,0
"AUS","2090","ihd",0,0,0
"AUS","2090","lc",0,0,0
"AUS","2090","stroke",0,0,0
"AUS","2090","tot",0,0,0
"AUT","2090","alri",0,0,2
"AUT","2090","copd",34,5,89
"AUT","2090","ihd",621,59,1185
"AUT","2090","lc",38,2,98
"AUT","2090","stroke",15,0,360
"AUT","2090","tot",707,67,1734
"BGR","2090","alri",2,1,5
"BGR","2090","copd",131,36,244
"BGR","2090","ihd",1602,1027,2181
"BGR","2090","lc",141,21,262
"BGR","2090","stroke",639,287,1128
"BGR","2090","tot",2515,1372,3820
"BLX","2090","alri",5,1,21
"BLX","2090","copd",289,59,645
"BLX","2090","ihd",3218,880,5181
"BLX","2090","lc",362,36,796
"BLX","2090","stroke",314,27,1940
"BLX","2090","tot",4189,1002,8583
"BRA","2090","alri",0,0,0
"BRA","2090","copd",0,0,0
"BRA","2090","ihd",0,0,0
"BRA","2090","lc",0,0,0
"BRA","2090","stroke",0,0,0
"BRA","2090","tot",0,0,0
"CAN","2090","alri",0,0,1
"CAN","2090","copd",37,5,102
"CAN","2090","ihd",997,79,1988
"CAN","2090","lc",37,2,99
"CAN","2090","stroke",10,0,301
"CAN","2090","tot",1082,87,2491
"CHE","2090","alri",0,0,3
"CHE","2090","copd",42,7,104
"CHE","2090","ihd",633,102,1139
"CHE","2090","lc",50,4,121
"CHE","2090","stroke",32,2,373
"CHE","2090","tot",758,115,1738
"CHL","2090","alri",3,1,10
"CHL","2090","copd",193,46,396
"CHL","2090","ihd",2352,1008,3483
"CHL","2090","lc",100,12,203
"CHL","2090","stroke",472,94,1532
"CHL","2090","tot",3120,1161,5625
"CHN","2090","alri",616,348,863
"CHN","2090","copd",184801,64498,309433
"CHN","2090","ihd",148311,106802,199505
"CHN","2090","lc",67558,14240,110589
"CHN","2090","stroke",347629,142561,565982
"CHN","2090","tot",748916,328449,1186371
"COR","2090","alri",5,1,13
"COR","2090","copd",2944,762,5671
"COR","2090","ihd",3503,1969,4955
"COR","2090","lc",1024,141,1975
"COR","2090","stroke",3053,1047,6653
"COR","2090","tot",10530,3922,19268
"EAF","2090","alri",2607,1095,4628
"EAF","2090","copd",25468,7797,44966
"EAF","2090","ihd",148320,104696,193483
"EAF","2090","lc",5620,972,9904
"EAF","2090","stroke",120723,62490,180621
"EAF","2090","tot",302737,177050,433603
"EGY","2090","alri",239,155,315
"EGY","2090","copd",8058,3026,12964
"EGY","2090","ihd",55557,40749,80845
"EGY","2090","lc",2903,681,4569
"EGY","2090","stroke",33253,12074,52002
"EGY","2090","tot",100011,56685,150694
"ESP","2090","alri",22,5,62
"ESP","2090","copd",1006,246,2013
"ESP","2090","ihd",8372,3996,12197
"ESP","2090","lc",1323,168,2639
"ESP","2090","stroke",1850,465,5129
"ESP","2090","tot",12575,4880,22040
"FIN","2090","alri",0,0,0
"FIN","2090","copd",0,0,0
"FIN","2090","ihd",0,0,0
"FIN","2090","lc",0,0,0
"FIN","2090","stroke",0,0,0
"FIN","2090","tot",0,0,0
"FRA","2090","alri",1,0,14
"FRA","2090","copd",180,25,486
"FRA","2090","ihd",3533,286,6882
"FRA","2090","lc",200,12,529
"FRA","2090","stroke",66,1,2044
"FRA","2090","tot",3980,324,9954
"GBR","2090","alri",0,0,0
"GBR","2090","copd",0,0,0
"GBR","2090","ihd",0,0,0
"GBR","2090","lc",0,0,0
"GBR","2090","stroke",0,0,0
"GBR","2090","tot",0,0,0
"GOLF","2090","alri",340,238,428
"GOLF","2090","copd",9842,4127,15204
"GOLF","2090","ihd",131065,99041,214879
"GOLF","2090","lc",10762,3005,15839
"GOLF","2090","stroke",89439,28842,115996
"GOLF","2090","tot",241447,135253,362347
"GRC","2090","alri",2,0,8
"GRC","2090","copd",142,32,302
"GRC","2090","ihd",1374,496,2103
"GRC","2090","lc",183,20,383
"GRC","2090","stroke",201,31,833
"GRC","2090","tot",1902,579,3630
"HUN","2090","alri",0,0,2
"HUN","2090","copd",47,10,106
"HUN","2090","ihd",2792,745,4526
"HUN","2090","lc",60,6,133
"HUN","2090","stroke",233,20,1482
"HUN","2090","tot",3134,781,6248
"IDN","2090","alri",176,45,464
"IDN","2090","copd",4529,1135,8892
"IDN","2090","ihd",48176,24865,69238
"IDN","2090","lc",5920,780,11621
"IDN","2090","stroke",10976,3120,27236
"IDN","2090","tot",69776,29945,117450
"ITA","2090","alri",26,7,65
"ITA","2090","copd",1112,286,2148
"ITA","2090","ihd",8490,4709,12040
"ITA","2090","lc",1480,203,2863
"ITA","2090","stroke",2363,790,5251
"ITA","2090","tot",13471,5996,22367
"JPN","2090","alri",49,11,139
"JPN","2090","copd",833,202,1677
"JPN","2090","ihd",7151,3317,10465
"JPN","2090","lc",2500,314,5014
"JPN","2090","stroke",2606,622,7527
"JPN","2090","tot",13138,4466,24822
"KAZ","2090","alri",9,3,16
"KAZ","2090","copd",420,124,760
"KAZ","2090","ihd",14026,9694,18701
"KAZ","2090","lc",583,96,1050
"KAZ","2090","stroke",5559,2836,8632
"KAZ","2090","tot",20596,12753,29159
"MEME","2090","alri",71,22,160
"MEME","2090","copd",1760,474,3324
"MEME","2090","ihd",12628,7715,17492
"MEME","2090","lc",2366,344,4471
"MEME","2090","stroke",4145,1679,7932
"MEME","2090","tot",20971,10234,33379
"MEX","2090","alri",58,17,139
"MEX","2090","copd",2005,521,3850
"MEX","2090","ihd",20823,11852,29380
"MEX","2090","lc",1059,147,2037
"MEX","2090","stroke",6448,2262,13792
"MEX","2090","tot",30392,14800,49199
"MON","2090","alri",6,1,19
"MON","2090","copd",732,170,1520
"MON","2090","ihd",4950,2006,7398
"MON","2090","lc",199,23,410
"MON","2090","stroke",715,125,2525
"MON","2090","tot",6603,2325,11872
"MYS","2090","alri",0,0,3
"MYS","2090","copd",11,2,30
"MYS","2090","ihd",225,18,451
"MYS","2090","lc",28,2,75
"MYS","2090","stroke",7,0,223
"MYS","2090","tot",272,21,781
"NDE","2090","alri",7749,5440,9887
"NDE","2090","copd",261587,104519,406847
"NDE","2090","ihd",813879,606834,1274598
"NDE","2090","lc",78098,20260,118193
"NDE","2090","stroke",720803,241775,980005
"NDE","2090","tot",1882116,978829,2789531
"NOA","2090","alri",268,147,381
"NOA","2090","copd",3740,1295,6296
"NOA","2090","ihd",18659,13413,24893
"NOA","2090","lc",667,138,1097
"NOA","2090","stroke",22387,9414,36162
"NOA","2090","tot",45721,24408,68829
"NOR","2090","alri",0,0,0
"NOR","2090","copd",0,0,0
"NOR","2090","ihd",0,0,0
"NOR","2090","lc",0,0,0
"NOR","2090","stroke",0,0,0
"NOR","2090","tot",0,0,0
"NZL","2090","alri",22,10,38
"NZL","2090","copd",134,42,233
"NZL","2090","ihd",806,571,1039
"NZL","2090","lc",421,75,733
"NZL","2090","stroke",753,383,1123
"NZL","2090","tot",2137,1081,3165
"PAC","2090","alri",0,0,1
"PAC","2090","copd",67,9,180
"PAC","2090","ihd",208,17,412
"PAC","2090","lc",19,1,51
"PAC","2090","stroke",12,0,369
"PAC","2090","tot",306,27,1013
"PHL","2090","alri",0,0,0
"PHL","2090","copd",0,0,0
"PHL","2090","ihd",0,0,0
"PHL","2090","lc",0,0,0
"PHL","2090","stroke",0,0,0
"PHL","2090","tot",0,0,0
"POL","2090","alri",0,0,0
"POL","2090","copd",0,0,0
"POL","2090","ihd",0,0,0
"POL","2090","lc",0,0,0
"POL","2090","stroke",0,0,0
"POL","2090","tot",0,0,0
"RCAM","2090","alri",18,3,61
"RCAM","2090","copd",820,183,1735
"RCAM","2090","ihd",10869,3970,16599
"RCAM","2090","lc",417,47,874
"RCAM","2090","stroke",1732,269,7047
"RCAM","2090","tot",13855,4472,26317
"RCEU","2090","alri",9,3,18
"RCEU","2090","copd",524,149,968
"RCEU","2090","ihd",6202,4141,8384
"RCEU","2090","lc",566,89,1039
"RCEU","2090","stroke",2719,1312,4512
"RCEU","2090","tot",10019,5694,14921
"RCZ","2090","alri",4,1,14
"RCZ","2090","copd",205,47,431
"RCZ","2090","ihd",1916,739,2895
"RCZ","2090","lc",266,31,551
"RCZ","2090","stroke",308,51,1164
"RCZ","2090","tot",2700,868,5055
"RFA","2090","alri",13,2,46
"RFA","2090","copd",806,176,1731
"RFA","2090","ihd",8055,2722,12482
"RFA","2090","lc",1029,112,2183
"RFA","2090","stroke",1074,148,4879
"RFA","2090","tot",10976,3160,21321
"RIS","2090","alri",113,75,148
"RIS","2090","copd",2702,1023,4332
"RIS","2090","ihd",21769,16001,31889
"RIS","2090","lc",3044,725,4763
"RIS","2090","stroke",22587,8083,34435
"RIS","2090","tot",50216,25906,75568
"ROM","2090","alri",1,0,4
"ROM","2090","copd",124,26,271
"ROM","2090","ihd",2313,704,3648
"ROM","2090","lc",125,13,269
"ROM","2090","stroke",290,32,1540
"ROM","2090","tot",2853,776,5733
"RSA","2090","alri",64,19,151
"RSA","2090","copd",1106,290,2112
"RSA","2090","ihd",7818,4558,10978
"RSA","2090","lc",238,34,456
"RSA","2090","stroke",3799,1388,7848
"RSA","2090","tot",13025,6288,21545
"RSAM","2090","alri",4,0,40
"RSAM","2090","copd",115,16,310
"RSAM","2090","ihd",5334,434,10326
"RSAM","2090","lc",78,5,207
"RSAM","2090","stroke",136,1,4168
"RSAM","2090","tot",5667,456,15051
"RSAS","2090","alri",1853,1303,2345
"RSAS","2090","copd",48226,19600,74618
"RSAS","2090","ihd",293492,219876,467898
"RSAS","2090","lc",17542,4674,26296
"RSAS","2090","stroke",207423,68552,276676
