"region","year","disease","yll_o3"
"AUT","2090","resp",3791
"CHE","2090","resp",3261
"BLX","2090","resp",10110
"ESP","2090","resp",23621
"FIN","2090","resp",842
"FRA","2090","resp",24783
"GBR","2090","resp",21359
"GRC","2090","resp",5227
"ITA","2090","resp",25915
"RFA","2090","resp",22498
"SWE","2090","resp",4275
"TUR","2090","resp",46870
"NOR","2090","resp",1537
"BGR","2090","resp",2367
"HUN","2090","resp",2443
"POL","2090","resp",10769
"RCEU","2090","resp",9585
"RCZ","2090","resp",4985
"ROM","2090","resp",4822
"MEME","2090","resp",38887
"NOA","2090","resp",65519
"EGY","2090","resp",133513
"GOLF","2090","resp",103515
"WAF","2090","resp",661981
"EAF","2090","resp",494314
"SAF","2090","resp",98394
"RSA","2090","resp",22291
"KAZ","2090","resp",4811
"RIS","2090","resp",22144
"RUS","2090","resp",28423
"RUE","2090","resp",3609
"UKR","2090","resp",11672
"COR","2090","resp",64845
"JPN","2090","resp",17303
"AUS","2090","resp",609
"NZL","2090","resp",111
"PAC","2090","resp",0
"MON","2090","resp",24187
"CHN","2090","resp",1316913
"TWN","2090","resp",35162
"RSAS","2090","resp",893191
"NDE","2090","resp",5547135
"IDN","2090","resp",68114
"THA","2090","resp",33092
"MYS","2090","resp",7257
"PHL","2090","resp",94207
"VNM","2090","resp",103952
"RSEA","2090","resp",137856
"CAN","2090","resp",17730
"USA","2090","resp",210724
"BRA","2090","resp",22386
"MEX","2090","resp",46882
"RCAM","2090","resp",15331
"CHL","2090","resp",2029
"ARG","2090","resp",1433
"RSAM","2090","resp",4604
