COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,8122401748.62656,339209082290.574,29748268071165,760812438587.74,9742555750.55605,52662623876.4818,124520692592.085,46450516901.6597,121878040391.48,150816529338.947,-99900
AIR,51288807,0,88766861000,196999946,0,0,1859999220,7527388.7,149000140,64500084.1,-99900
SHIP,250786367,0,156315536000,1210000832,0,0,12500000800,425004113,7560000390,475999526,-99900
ARG,73111259.1505266,5688154572.65378,156895631031.62,7639110406.56183,195366807.008449,821090283.270025,759597745.582329,365266919.802614,322637202.192368,1130548577.45257,-99900
AUS,146590109.371785,2104096820.0676,408685816736.624,10005023301.329,203223825.0916,294276646.733737,1143591219.57925,1227245313.76184,1551419305.01112,940561295.806003,-99900
AUT,16353880.3282556,656178058.249959,90524475935.4203,750783507.035677,20922446.4346053,49045388.4316353,353931348.889635,47667820.6791314,138268938.139092,305894165.452104,-99900
BGR,7907202.75336787,508832325.682321,120414798764.867,619698471.959433,44228866.5657175,201675261.465381,215260697.70508,41409566.1597485,606356716.198604,236509023.152014,-99900
BLX,27878884.8366413,1488549947.71434,391244229581.87,1197855189.23001,53347443.8739584,135712668.841531,800660850.34092,32633339.3077975,264192228.095524,529772929.048481,-99900
BRA,584028526.575303,19717313748.6628,358592494328.4,46035153097.218,605051590.9706,4091127685.64821,3375764469.66423,4660074221.97092,1817534484.56104,6486621356.33,-99900
CAN,84144537.659336,5005286882.86889,574072449525.9,8919117124.1977,146930908.813263,619140863.097721,1822381729.025,878909911.504201,2285633086.41312,1935883228.32507,-99900
CHE,2631971.58041071,218230919.045738,35234993723.059,307902387.53351,14633039.7587206,16133339.5930278,90571214.0381361,9073370.6673424,12035826.3427519,60112178.6253004,-99900
CHL,22618605.28068,900858118.724567,27159410557.6355,1780140760.02719,23815659.4033314,109023593.883633,295043849.772287,81424118.8958789,2339038256.53808,128142964.211989,-99900
CHN,1369160772.01979,63895900527.8659,6674462282227.38,92002875356.5007,1616802787.65865,12212163768.993,16783722674.4471,3927299359.15819,30345619598.8938,20138695823.082,-99900
COR,113357065.53915,1513817180.4,530595334801.515,3478190083.08,45949400.0829,130251152.996908,2045519016.443,186207237.3743,1543714188.63,3392708816.4708,-99900
EAF,916101866.085334,14696895846.2352,134766688446.041,108645659175.42,686646624.490179,2966721593.88901,4099204471.24655,7844582579.64787,895896180.774776,13099740959.816,-99900
EGY,38592327.5863995,1899698331.67208,174074325922.948,1929977797.6218,53949209.6580874,38599769.4874969,584704355.640933,75621219.8483558,621884982.590397,597321962.578531,-99900
