COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6069489953.33624,491039689546.384,63823787438439.9,643230651932.857,16975279334.9975,85917757710.7011,114354708767.711,33098057672.192,89151234108.9082,156733297396.693,-99900
AIR,58230821.5,0,288424536000,163283383,0,0,1541659280,10492974.44,123498683.2,53460753.5,-99900
SHIP,88718257.5,0,251131745900,403098590.8,0,0,4164240125,194511728.7,2518534785,158574314.7,-99900
ARG,57674607.3705883,7951797731.9301,332670454031.521,7067857426.07962,270108066.931265,1513323484.40955,770176989.915226,281979746.138662,220470975.302941,1344244033.84733,-99900
AUS,73874669.8754086,2476968602.57102,735818792077.297,6175524840.15643,379111899.602074,357031125.761983,635798703.813946,1017622542.18924,201137140.327518,809281225.125827,-99900
AUT,5635716.09649277,798403553.893971,76445069727.9642,266440517.301277,24491493.7104899,65971958.8393693,123179276.688495,8382107.29538459,38731132.5768711,237248327.504293,-99900
BGR,10784130.7390027,377424134.431957,213561660033.185,378924443.418164,95398316.8686427,254039041.132166,148057308.429634,35150158.6322403,253026756.178991,134024420.245211,-99900
BLX,2447452.90223772,1767198031.60243,362763531053.755,130405902.823167,61592994.0955638,168588872.080096,62153690.3115458,3305613.6841935,12704639.5022819,141255733.264364,-99900
BRA,232874246.892042,24573555232.8037,960936530107.376,33316610370.4656,1030827159.05155,6348552542.42742,3531034890.02372,1059149112.80858,1737263092.02328,4447505241.10253,-99900
CAN,69837686.99657,7275789102.55039,723904891472.75,8120685012.22291,267226022.470731,1201426995.66123,1178432681.84366,890716923.443139,531317281.437169,2704075171.27248,-99900
CHE,274772.379816617,272964846.446904,62268272613.1265,57647273.7236805,25391140.7891808,20788404.7485032,9704896.00039381,3759998.91457458,4056831.41891441,12009441.0844888,-99900
CHL,10060594.6402437,1273584817.70891,97511948688.471,957417844.102387,17856351.6281769,219576630.868474,309463897.829638,33485699.0373489,1796755839.02151,171773297.940162,-99900
CHN,495762419.40744,59002876126.2145,12227186147449.3,36438891099.2923,1945061223.39419,15964057316.8463,12363169330.015,1267288113.2187,14780065829.3708,10367591653.7958,-99900
COR,35975986.52744,1126380441.28246,602792888642.653,1424872606.5885,41799465.70834,117679443.001156,779744455.69164,62814477.5586487,257939421.599634,2112610727.5788,-99900
EAF,971765775.285497,29344782489.1909,2631290884895.91,116250868665.151,2365412423.83211,5590816439.32524,8898626233.15523,6995819494.60069,3304935581.37185,19169460179.2735,-99900
EGY,57779054.9506549,4689277859.98532,965161365823.357,3200411961.95703,203038632.063385,144749964.743747,869303420.561306,140993221.311149,426421593.567087,2023481045.45782,-99900
ESP,54680243.0119438,2606258105.54529,329397371539.667,2990578739.83323,122942628.335783,1108047111.31923,701894768.597904,141010016.563174,687866323.766952,1026978871.25326,-99900
FIN,12603198.6069689,322814435.803011,49933865588.3947,548378050.486965,10650817.9996134,27997929.5029687,890253383.557704,9063429.28887971,97375064.7080536,183921488.254533,-99900
FRA,13975894.5541076,4825768190.93561,433344727075.037,1446276910.41744,222257846.49973,1269011235.9068,453451394.832072,20136286.2628417,64507174.4858634,1391514429.95949,-99900
GBR,11315851.5240685,4411272750.96361,753226055928.661,923516362.546835,256328141.222137,599621156.950548,643328045.012002,6791095.40911182,390848458.792279,551428932.26448,-99900
