COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6149377592.19929,474236001433.391,67416154851096.9,659828855233.493,17415076274.1797,82924103590.8306,110832315143.894,32119757581.9067,71566892000.3899,157116939343.96,-99900
AIR,55204455.5,0,366923228000,147391668.8,0,0,1391616158,9887688.78,111478958.7,48257661.8,-99900
SHIP,67790901.9,0,276353338000,307979973.1,0,0,3181613885,152434939.8,1924241394,121155839.6,-99900
ARG,61096721.6038479,8245875463.32146,343759739764.813,7230704359.57543,266776933.758828,1490438242.65217,785721108.20622,286080534.195532,191979319.608911,1525016538.93726,-99900
AUS,46189136.9882212,2546237016.01612,823169870117.862,5260199503.49427,390749595.424735,353465047.016071,489684331.892858,1028818887.34781,129100885.57528,930521868.73033,-99900
AUT,4038414.41822952,815510955.996692,69238744933.4044,231764491.388529,24282978.1017536,69141811.2627991,91867564.4108482,6954300.67806462,33285645.9758393,223418148.050965,-99900
BGR,12776077.7293446,382495761.597915,204411077362.877,464196560.55359,91371673.1761719,242335762.038764,146569813.938706,32694262.6394501,222636625.712187,168670250.613685,-99900
BLX,1565395.79267543,1773669353.73109,371361705669.833,87852964.7540135,62897325.2816492,166493806.541678,41042433.3439084,2548299.94277841,7364073.44114798,133618261.187424,-99900
BRA,245749800.580266,22997568805.8242,989160650655.536,33556319712.2464,1007866672.44996,6122614280.0054,3396603243.45218,1055929438.5141,1364327306.54998,4423448139.39755,-99900
CAN,66871473.547288,8570355216.4816,783267578688.184,7446410819.88346,270731561.81707,1216598029.19938,1138113072.75409,829672301.786669,419136521.63021,3339213493.17506,-99900
CHE,268899.495833607,302038161.965073,64756529470.3484,45567091.8648458,26601291.500055,21172719.9364882,7242421.38105958,2448126.1495801,2660391.95372286,10008632.0633795,-99900
CHL,9439765.49362453,1174977661.22956,116621180869.775,984475327.419941,18079456.907344,216455793.891633,293840765.386968,29257070.0624917,1387372305.93589,201195900.850478,-99900
CHN,387382962.368596,50517107525.1615,9526977232797.08,30869308129.3366,1663375439.59239,13798515415.5302,9502901400.64874,1066132780.16532,9561605553.90715,8910892779.02355,-99900
COR,31943157.86141,911049854.16411,499350753751.456,1247120495.2718,35392020.24264,102929911.228535,662178135.76899,57708646.0708086,181808378.101055,1777519876.29246,-99900
EAF,984143589.185318,30743661750.0153,3742514142072.17,121750014907.219,2881082379.13088,5799955717.11553,11393855685.9856,6688747615.92726,3779210373.91156,19934525825.2643,-99900
EGY,58263147.8681048,4737810517.04029,1124131986519.96,2283362104.54194,211003212.026571,139233243.695677,902140283.630499,135144039.448986,272997883.269964,2301948072.849,-99900
ESP,69229708.8627979,2659316669.51899,315792517471.036,3749750600.55301,116128645.208591,1094985827.77455,642075651.62851,137769601.091718,608383366.647995,1267501249.98869,-99900
FIN,13227760.0417115,312960560.629485,55877911358.2744,646883623.472328,11718049.7904825,27486526.0772333,943250524.683792,7135184.66888153,88424487.1145406,214316972.276632,-99900
FRA,7904528.34146266,4895132952.9665,388898593058.327,803802729.562677,222181612.337046,1253058054.8647,331049268.613575,17972686.5590298,37637299.7594292,1426402487.123,-99900
GBR,9524208.7917193,4357276136.39526,835596001891.15,893714113.098709,262244426.04246,591701468.553455,600654512.282188,5428199.26409629,357404446.963535,476596732.322137,-99900
GOLF,168720862.595028,9197744425.01836,3650504377498.38,21703010495.2364,360620283.570691,1684856084.73462,6378325941.33225,705431618.15226,2710652245.13674,7165861277.97955,-99900
