COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6521467958.14902,484087250428.057,56087294924836.8,680550957984.715,15743353459.6643,85733403330.6271,119021279285.902,37368863337.1986,104710212776.283,157519199875.24,-99900
AIR,56428046.5,0,209785207000,167826954,0,0,1584559670,10091315.83,126935150,54948429,-99900
SHIP,117731875,0,222560680600,535648989,0,0,5533560440,249189659.6,3346695230,210717942.5,-99900
ARG,59365972.5345665,7620270594.52526,292532634049.007,7319179253.94282,262359816.828812,1474728694.15392,781521449.929587,299379614.295994,280117740.473662,1287936254.64847,-99900
AUS,93758249.5597763,2434571241.14858,620130651072.937,7237276552.05997,353630348.73785,377109787.491657,764444133.565566,1036338333.24267,341757269.24895,732213336.021228,-99900
AUT,7720977.06956185,748012880.603883,76075031596.3655,347640754.551673,23868491.1440744,64035034.5163336,156326558.045354,13850518.422472,46987522.8717393,230450441.916517,-99900
BGR,10015999.5480274,386197361.048344,215566622069.947,370403035.460284,98139963.4608106,260135083.025165,156886118.319074,44034070.1957356,293947051.498886,122395559.510557,-99900
BLX,3416415.41001021,1656134912.69108,335899089581.921,205190960.035465,57142613.0161195,165788101.774065,103966190.883019,5786644.69935885,25629069.150547,186457433.95479,-99900
BRA,271447952.121776,25790948409.2281,850536294697.78,39239732834.9861,1019505544.45395,6327012493.79558,3891690286.75999,1481444648.48787,2139109137.7106,5042602655.92909,-99900
CAN,93989911.645627,7117242901.39681,653436840697.752,12654995537.588,259514818.608898,1135348110.91844,1333274328.8651,1198565079.23647,707562354.319467,2891545964.07165,-99900
CHE,376118.065964145,230457245.781337,49268836453.9745,91786516.2707744,22918116.9460123,19681704.0792929,14732645.6157527,7808748.09663081,7526345.4327799,17291053.2724333,-99900
CHL,12416367.0245132,1340705383.6879,72051260226.2003,1194151298.13562,17314630.0696799,214915513.961749,325296741.350455,52768073.2062519,2259202221.87167,160604334.710381,-99900
CHN,680526057.531221,65341553613.2892,14027490853096.1,45273434253.1941,2181449912.74147,18008037228.0385,15671747596.5736,1722397444.66353,21142730146.1743,11519829183.6064,-99900
COR,42906988.85347,1358742630.79542,698814485624.684,1667134440.6953,47351688.18558,132625045.201797,944647629.91944,83198813.5744847,384801698.180717,2469738781.42211,-99900
EAF,991017438.717102,26498988467.4617,1167285372477.71,116228273393.087,1678037515.7041,5143776196.22015,6688578706.71159,7570172886.05378,2373884453.4337,19108875595.2519,-99900
EGY,45005245.4693073,4536291164.86062,710231230629.478,4454887330.9602,173562091.472619,135862014.406063,856223489.909711,85971175.4374927,593986138.865002,2080895368.3672,-99900
ESP,51225029.9533764,2373808969.58523,343451537930.397,2924595475.31572,130010912.162251,1088348447.15767,773548344.592283,185215289.516379,819154498.99613,807779838.16371,-99900
