COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,7422026835.70485,442593201228.559,46723667318305.2,776576167561.614,13332031168.8637,74625328645.4338,131286780439.069,41779277645.2185,124125349527.413,159826288370.511,-99900
AIR,58314536.5,0,152810977000,188493072,0,0,1779681390,10132026.6,142566002,61714742.6,-99900
SHIP,166225264.5,0,192236543200,763447550,0,0,7886858600,335089059.7,4769969550,300331440,-99900
ARG,71212554.6864583,6548182988.56929,241556869860.773,9005767048.43358,235418464.40167,1242724190.57661,911248017.215311,352566430.532838,439052785.59528,1380159893.24235,-99900
AUS,111101668.553768,2377760126.88281,526325189708.171,8051524969.25696,297848398.838618,381488101.334209,889439861.074832,1053332939.54441,643527826.725677,848901746.494644,-99900
AUT,11951162.0734803,707820989.766036,70372714699.5181,554860713.79149,21374776.3328125,59561689.0087738,214557141.709917,25208292.2549083,74333384.933336,228738316.211416,-99900
BGR,10453373.7611992,502483619.01469,216016946960.217,502039053.600242,93380981.6096025,242213861.333839,179022602.183101,66899073.471711,395693083.384425,156404679.755804,-99900
BLX,6781435.08304666,1500991852.54337,320312958831.373,491758428.827066,54088813.9183736,154730344.104643,261248318.283867,14124806.4789023,83688022.9916062,260638790.640603,-99900
BRA,331485520.530092,24321982730.5785,661498909195.732,49486809310.3198,898933649.216926,5696821168.91842,4613842251.42542,1825429630.52096,2608953408.2576,6485843107.69079,-99900
CAN,117302954.875477,5946718956.65415,625635578970.143,16707498785.8063,232954376.767504,972859458.136054,1628502655.17897,1421598415.57321,1123759913.46972,2452029499.46961,-99900
CHE,727095.863464639,231003472.841619,34064435910.2124,186239600.797926,17404795.1829288,17794393.2211057,32905390.3873024,11858787.6915076,10530706.4198255,35306146.3392081,-99900
CHL,15820405.0307631,1194248585.82852,56845604603.5737,1487411601.88414,24166800.0412789,177424550.719046,357367858.906327,69595594.5076274,2677951293.90543,171619481.396503,-99900
CHN,994253465.070787,75030744227.6234,14180838248331.6,61737589573.8202,2204549036.31758,17471363511.5384,20710392303.631,2507895474.08771,32226621887.1371,13647462659.5068,-99900
COR,60007941.993395,2098056366.28348,747651087222.988,2301576997.8642,51264598.03939,137670621.223392,1282892357.4448,132120711.516396,677377913.863083,2917823212.98608,-99900
EAF,981998487.522207,20794856704.5913,387213271404.663,119458406430.92,1063797672.04183,4109411984.7027,5210990518.24682,7718163963.69697,1561860790.86246,17577163710.2508,-99900
EGY,43031995.5676997,3310794734.91818,398289025676.68,5303765439.676,104997128.722554,93969942.7659708,852704518.259539,73487488.9176538,783587473.483972,1708945436.46965,-99900
ESP,58395806.6843835,2064344066.00158,313597583938.625,3553084462.73006,115919920.140934,1007136061.51557,964119793.561334,257279757.33895,1072420440.84151,675058413.785809,-99900
FIN,14996768.5101467,313773904.733373,40404743796.4037,715312417.391485,8035040.84639077,25771892.131443,820378416.717569,30656423.4304456,79915567.7918507,103503636.049948,-99900
FRA,33592391.3825964,3952857377.41181,399720525297.261,3745643715.54163,207390495.0522,1158675274.49669,1064423476.8599,58607032.824397,373740177.012373,1363885382.20745,-99900
GBR,20112877.618685,4136825987.45862,754873811461.397,1625488752.99271,262455138.404246,546845352.978017,1092898181.05296,24994676.9462071,701161621.071501,736318512.437804,-99900
GOLF,162257982.226646,14325018247.1776,2326071420666.21,18260277502.0719,240220331.951523,1184727089.3868,8308973476.00968,592958353.810587,7452120800.91636,10930326035.0173,-99900
GRC,7886781.66982586,295582214.630729,83149482359.073,642193568.424376,33676479.5659565,250677107.945033,213844681.476736,29040298.5869633,593185363.190817,132451647.377973,-99900
