COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
HUN,10141229.1850704,588867467.386206,98961810630.5988,373468077.419646,73044502.2081281,163330429.098222,174951103.065832,25228424.6007391,137636806.093453,251804561.316606,-99900
IDN,218432907.986363,12681204237.8857,928952679310.119,48950305217.632,566396570.307419,2954249647.58887,4265970161.5552,1089748720.58154,3775806113.86954,6632770906.50701,-99900
ITA,18124575.8036619,2129353631.31458,424297411515.779,1931480186.60644,93379339.9345803,612067059.460526,600734948.128704,57754942.4570583,177401877.386245,733750854.355501,-99900
JPN,68578976.948634,5402825792.48882,1228771247511.28,6477627636.46711,90556968.114568,388135768.288347,1448507875.88025,155970476.043488,1008667570.53296,1889361928.6345,-99900
KAZ,136816417.5397,3272960703.12028,78212654046.1778,3867146895.6507,5333390.44388688,120222762.036696,553039213.77946,675842293.679539,2593043215.61889,1294889549.26682,-99900
MEME,9434270.3627299,573672430.800895,133757281283.293,1089046826.19973,9126795.05971239,23165107.5202764,545486279.940184,28898622.1031777,379277583.654057,301121845.308823,-99900
MEX,112061172.043418,6114672868.43003,616010266705.909,13004554016.6903,183665485.424206,1264346581.0568,2022290414.30617,700395026.104805,1406536017.82848,3090655516.12186,-99900
MON,3985782.34784029,841509116.562717,12270886362.5657,206954680.003776,3676087.62265959,4139527.25683828,64580651.3143124,16673328.3626338,73506252.9386922,126072360.963002,-99900
MYS,33725863.4546675,3405209688.79377,549062795820.888,4724655485.56315,38111195.6448026,209319889.111738,1092800729.10697,201633206.486102,467921499.983724,1721939425.55938,-99900
NDE,833464359.088286,42367634064.1317,5423220862837.44,69072156263.3978,1212857495.63015,7916697291.4069,20000846763.5881,3286584785.52635,23430180662.0986,13690909787.9563,-99900
NOA,87248177.8526303,6079277953.16756,370284741577.121,8248531697.90039,106788380.485896,1348818038.62012,1233905489.37721,261278157.590988,1265077049.06423,3620698319.82704,-99900
NOR,6877061.82899136,737505417.655924,57949898175.4755,805838659.673954,15565991.7762552,100368559.313151,164173723.886733,32964988.1640846,101815496.769281,668716146.887316,-99900
NZL,89618735.1595558,6267141025.72533,15864512991.7979,7400216127.12146,47272689.4593125,1364091638.71468,568575712.300434,612003335.657796,628992290.083647,927109777.950434,-99900
PAC,11253205.4500052,265909477.471327,165099826095.143,1922905319.52477,24332723.1042665,143662336.65004,196746558.759161,95597113.6557408,75630259.7923838,334853144.183149,-99900
PHL,21240697.5636072,2589393801.21753,266829553300.807,2327167550.93058,103127001.421691,293810114.040305,772376174.255633,112358870.953036,2392447330.51354,801995052.412672,-99900
POL,44539557.1942246,3808271688.79824,381274019794.786,3150039115.2341,192878794.853964,277631925.283872,753289107.368186,139638600.566673,568630520.17448,813118411.9708,-99900
RCAM,63763631.5313318,3609950602.17563,268739721182.176,11516960778.5115,121843373.778913,619651055.512856,1440815741.86921,349889865.721934,1519342529.7094,2599544371.44118,-99900
RCEU,19933055.7191117,933921299.108457,123864732828.476,1435478896.1767,66579285.5496576,206154848.513101,264764666.455592,123519887.084892,413317692.947077,553475707.705061,-99900
RCZ,17559864.3917155,1262776524.98028,121971546961.938,820606017.412033,34564070.4859465,300939297.018483,344226781.351275,48572008.6706069,143983788.026354,355896175.699621,-99900
RFA,33458243.8259698,3767421267.284,641595145976.374,2280987173.36368,149484152.046858,1041473643.81999,1190199267.73185,43383983.5929837,373740177.012373,1363286750.1623,-99900
RIS,40723568.6018554,7442847369.3866,194296949013.514,2405271482.18453,159324700.567628,828079108.322033,568242001.309793,155374123.857599,634982253.005208,1058563664.67298,-99900
ROM,13359786.177488,1104486033.85694,55089602120.7409,686314082.323737,51198675.0058996,548806140.32669,325596586.818095,44332029.194627,172988376.943024,365331584.332172,-99900
RSA,90507972.3004404,3939169796.84903,571977313918.488,8895559553.22362,120457119.936442,459291385.679444,1665560787.69521,399543063.65396,2123671977.50881,1451112734.61586,-99900
RSAM,180721042.684412,10364786946.9503,481380999724.294,23011753544.6311,358921382.312948,1868598172.23801,1997869090.96039,1419605260.13331,926671794.107254,4078524027.27757,-99900
RSAS,193581905.965459,18559681229.4709,591255266087.479,15099672271.7947,340438943.966323,1920302783.36832,2303658573.64591,776380858.680164,2269520447.15487,3662407922.19728,-99900
RSEA,165837474.823339,6047727262.3441,262609994096.067,22403309755.0654,125614265.055074,1975766562.4235,1999864397.30446,1174917969.923,894277864.395986,2841942793.63254,-99900
RUE,192003458.080747,15628368368.7169,1053192580887.73,25311787709.9704,200632400.337769,1131271763.82067,2471149609.66745,3896809214.55315,1948371443.57092,8177500502.08508,-99900
RUS,133059566.578027,23400154015.3547,1176416907939.26,5832622643.62188,184318721.504304,478672065.299629,2597135749.64827,888153687.739968,2461756252.05172,3336520016.11799,-99900
SAF,382440045.506629,5557151849.65177,140282834127.272,38793873708.0781,214591003.780899,1321737682.41199,1711758393.66014,3325499052.58868,1802509644.13873,5083209241.06026,-99900
SWE,24132677.7464186,847536365.908967,65094127548.0676,974815074.651831,22172768.1568384,229179060.578921,302512459.246631,62000669.7970133,77256969.7237749,329168296.042573,-99900
THA,79638067.9203705,6718018976.7843,336644071618.577,11161095671.7216,63046358.6377743,988865923.567206,1951266129.98766,400919189.321948,2731016707.53296,1925250109.39201,-99900
TUR,31002851.4581003,3699405161.4162,484357486640.154,4201290151.64213,180100194.371645,1235697868.53203,1262931006.74555,61192936.4071934,1539770351.06396,754004092.324329,-99900
TWN,16451514.055787,539123777.14485,348895146758.563,2554810222.9159,17878008.896414,67418303.870414,704118466.914444,39636892.9342658,1045204519.04526,418338725.922829,-99900
UKR,37313685.875802,12347201230.8234,334598461559.505,4434481042.29593,224229823.82238,907360794.704652,833868969.237187,331251623.297548,907880788.085783,1605157385.77295,-99900
USA,289524641.030854,30787360423.889,5661275567241.48,50343889278.1246,1230723422.19035,4382250964.13424,9206463009.1058,1205713307.69645,3291785036.99736,11299353490.7296,-99900
VNM,89079994.6316871,4560771659.39396,218956739968.965,11009497301.4765,133720616.259216,369309813.958382,2101951310.04171,302030621.801305,992424625.345856,1181625581.62448,-99900
WAF,344480327.285802,14695884548.6094,110865745052.321,55080808450.2619,398201573.316636,1628578135.84919,2308260723.43436,2626941268.00185,880287728.789899,8311681118.55015,-99900
