COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,8164732806.3046,408239397087.379,39767914385215.5,841800513424.02,12015086672.0494,67312345998.1278,142411182019.396,44532812997.7142,141835066079.488,162823140894.289,-99900
AIR,61257506.8,0,121954826400,211983224,0,0,2001466440,10276103.9,160332536,69405641.8,-99900
SHIP,210842418.2,0,172810020600,980185631,0,0,10125872540,404169979.3,6124137330,385593539,-99900
ARG,80309779.4278133,5970739078.32996,200704562172.986,10355402123.1876,219505731.480733,1096199519.56061,998409680.446437,394715246.881969,550371983.586682,1486507122.61206,-99900
AUS,139320565.645088,2419085241.20561,464748238913.133,9923182070.81099,253192218.378854,367680148.118866,1085317014.93375,1328214799.79184,957569869.004008,955587477.165219,-99900
AUT,16681327.3121404,693473755.469768,68947017366.3258,831372215.064483,20476608.0555122,55983938.7021109,276209599.737725,52546025.4558755,98812286.339063,274849834.013225,-99900
BGR,10995464.1121579,501450312.093036,194687631141.483,652760878.966294,82824853.5268097,230206520.915944,210239632.746545,92191165.7509666,481931301.548132,206751848.104947,-99900
BLX,12089138.1754615,1499104987.42,330057608150.108,807038144.500855,56018024.8765886,146472711.257647,383812237.293751,23821948.1017847,116386740.386127,389147037.065522,-99900
BRA,363220825.935968,23074674078.6822,535850217417.968,56634788397.1777,813670452.042696,5295239924.10111,5007676570.60659,1933784189.54221,2796025969.09191,7726609608.85709,-99900
CAN,130473909.294985,5784724749.40188,605043086857.95,18322260961.2436,208598757.727375,843640486.036784,1878032971.88873,1479657859.18529,1559838526.24243,2560595391.48122,-99900
CHE,1627945.06947219,241109054.370058,29943405078.7152,316768938.520246,15071754.7528287,16642179.4986911,50804371.973381,14691726.8545371,9046294.39350266,46771017.3024007,-99900
CHL,17641413.7693384,1071045910.24703,45334100682.0336,1635068744.73242,24899203.0102035,151849015.918233,368168884.91055,74657807.9004672,2779584429.11774,167289922.415373,-99900
CHN,1380571367.01718,78207331402.4902,12529447149837.6,80792302770.0587,2093784132.91711,16162827050.1872,26047547858.7593,3575480782.77451,44923246608.9591,16441696445.3001,-99900
