COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,9102532655.5366,373392581312.746,33877900181778,879743640326.193,10754781151.2867,58883265032.4176,148781898647.801,49073157682.9761,145859865794.894,163672542764.941,-99900
AIR,57165094.3,0,95668352900,212316360,0,0,2004611380,8746905.87,160584495,69514735.2,-99900
SHIP,335487872,0,205326971000,1589386510,0,0,16419281500,610698523,9930382300,625246023,-99900
ARG,87467274.4876517,5821877656.0252,191748986673.413,9905028043.7912,202738052.578129,923209388.284352,1017584121.7696,471830863.28051,546538099.144816,1316835103.84773,-99900
AUS,162738135.297521,2196956276.81691,428653551765.127,11034412906.4219,219981981.676221,328446339.68327,1341333133.17243,1363751822.81726,1527561128.05967,1014251750.36683,-99900
AUT,17853461.9162095,623998406.466861,77022639513.577,877556004.018647,19981450.6842914,51949047.1022211,343445617.026019,56948474.0263677,135553128.279028,316278921.137404,-99900
BGR,10579373.7494371,455223751.636465,145707606877.802,752243891.809282,56895912.0850185,209779976.480802,235661913.299921,77756765.2083247,540490474.088115,264982175.312084,-99900
BLX,24686147.7169895,1397970742.34408,367083177271,1296727652.36615,55718719.9771723,138901464.526145,689926731.000008,38279424.9858368,216332257.571358,516346689.83384,-99900
BRA,415229327.259093,22162951408.2007,427477006312.38,62784503266.3676,717839522.402198,4631228987.08248,4446614195.51781,2682092742.86046,2181083165.04383,7793142337.54615,-99900
CAN,88260617.829951,4874964620.76048,556632191953.3,9645732175.90759,156608449.935725,674271398.744596,1854569526.04919,901078904.686643,1988304904.9037,1965451251.42868,-99900
CHE,2994035.51124327,222023404.624491,32123477832.3163,457794048.277676,14268940.2036826,16357709.5000742,96920613.0542503,19264917.0325964,15964171.3070382,55911459.3651244,-99900
CHL,23263204.1556811,975015633.440425,35306633229.9401,1867035865.22444,24196405.1628256,121649449.325443,383931384.916507,93459044.425117,2685445625.77614,149784290.626824,-99900
