COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
RSAS,277905099.190303,23613748514.1533,2201035397720.35,12893261887.4797,668181815.368468,2553955207.92864,3731601365.53105,706960339.426602,3920755124.7134,3611108780.09975,-99900
RSEA,150233293.69589,6451231647.48597,268462618187.255,18668639758.9716,160642405.10133,2392795631.72823,1936232252.17474,840547478.472952,743714855.206612,2286484061.32534,-99900
RUE,130110565.894123,15779801715.3518,906060481230.084,13715289357.9614,207251772.780867,1204255214.83062,1460435540.21552,3100483266.45058,904747641.371101,5367966401.34344,-99900
RUS,90167415.0983946,23626893208.5139,1012070241547.09,3160428974.42449,190399864.250035,509553362.212441,1534892641.34883,706656522.107902,1143143505.83598,2190195810.97726,-99900
SAF,362096878.301923,6973973225.42031,1396558089293.84,36869023793.6538,403764414.108842,1800870586.66144,3315576607.04915,2995517482.24532,5359351239.19825,4400067243.363,-99900
SWE,22665972.3518035,947698950.913218,77844399848.3622,841176224.050727,27824606.1318811,250550360.962089,290461183.856996,19777635.2115547,88413919.1608945,546141684.541576,-99900
THA,62888890.896031,6141056923.48063,521291661197.69,8505369278.15988,55157750.0145036,1249729071.44119,2041013455.87942,298996626.71866,2246070103.26402,1386627738.5549,-99900
TUR,19804252.2095539,3538673921.75285,718401832390.484,2816146927.46252,241492947.283732,1317412121.97712,937775706.744943,36607276.0776204,711561951.436495,360676601.183746,-99900
TWN,10083917.206777,660362783.83892,355828268589.495,1836012381.703,18557526.095301,73269035.176588,455464898.833566,23775175.6280914,748879503.236014,396475910.56105,-99900
UKR,22727670.608857,11840883156.9858,388042361994.98,2720224654.34963,249817333.891332,1000429510.5628,569765821.22369,97410113.1936491,386872687.540768,1761678017.21624,-99900
USA,234234853.655355,41679126371.8324,6886520623081.28,37092187418.4482,1510933175.07215,5531868657.66651,7649798846.05366,755663927.78257,2391070480.66891,13387385041.5721,-99900
VNM,35048294.4068329,8471395662.75007,372928015730.822,5412507719.03282,99631124.7644234,419361431.216612,830257809.932723,166529766.149508,172200566.308255,861210959.787462,-99900
WAF,421510543.608564,22377363843.9276,1991294677716.62,71572042068.0083,733010016.482679,2704518638.10571,5298268999.36178,2803192971.04926,2253513684.75291,15617979409.1831,-99900
