COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6047683321.67629,485824916854.487,66180980447650.1,648457814032.15,17282355015.8331,84722147909.4025,112105615140.545,32316809508.4753,79673244135.4845,156944476606.523,-99900
AIR,57305275.1,0,328327524000,156604062.5,0,0,1478595294,10307352.95,118446785.8,51273891.8,-99900
SHIP,77313937.8,0,263836946000,351363581.6,0,0,3629786888,171976721.4,2195297466,138222404.9,-99900
ARG,58903284.301978,8199184905.37231,343543188337.428,7143799253.51435,269370083.195277,1512326436.2262,774794629.802616,283156677.825626,203500101.72644,1459861933.28487,-99900
AUS,60244631.6090909,2529057662.37157,784130739410.223,5744312814.30572,387025014.284975,357419769.137597,556782552.038412,1042562338.95984,139348856.943991,895163597.544461,-99900
AUT,4826321.91654757,818267164.601772,73155972948.4317,250132686.824469,24448460.2342981,67687232.3967527,106596274.80278,7445633.22468965,30415383.6381018,236071441.982774,-99900
BGR,11766547.1063348,395903610.684105,206686725632.412,412366780.273856,92982043.4296281,248439220.363454,145341918.490675,33304684.8513278,240627597.792232,152788115.841092,-99900
BLX,1946161.41204574,1785376336.47703,369784737690.204,111911194.917982,62716417.7705602,168188453.354123,47033548.7304479,2827673.04427638,10169405.5532692,133455907.361458,-99900
BRA,235756472.074882,23867690210.9068,990861048105.264,33216575034.3411,1022420075.05137,6257453085.20958,3439996907.17339,1045552072.51098,1539391880.51517,4417059671.40939,-99900
CAN,66397700.161377,8236155978.3747,760660271906.106,7470120930.31339,269582583.453656,1215262261.08927,1152021480.52184,838200518.084627,463576417.317828,3165746554.82461,-99900
CHE,263617.508399798,288144980.706558,65454487158.3571,50500761.6056325,26150405.8046576,21062291.4960988,8103610.11078958,2868874.23790153,3257241.20436951,10635042.6772908,-99900
CHL,9703120.33869603,1225188865.22477,108168566581.422,959874169.284714,17957462.1960554,218837826.773436,301468440.36082,30762702.9043139,1568546013.49504,184390450.248552,-99900
CHN,435231673.550273,55190850519.5705,10872003708673.5,33554177172.8828,1801885411.51382,14868285830.0711,10805121460.9973,1158798056.54422,11828023767.6021,9643238642.39661,-99900
COR,33761710.80462,1013304520.18176,545044320936.107,1331792786.6492,38216139.39325,110002608.967609,716516230.42919,60419532.3776373,213233574.0449,1937200418.53124,-99900
EAF,970532770.754013,30206812168.4111,3233844908338.4,118653181560.287,2651091533.19198,5732241300.69458,10100945051.7207,6788246504.76581,3595143880.6886,19419264508.4798,-99900
EGY,58026660.132319,4728659016.29386,1057713307036.88,2871801223.22334,209383535.58885,143282687.240495,884135003.074383,135235596.214106,340955424.175165,2183749471.9813,-99900
ESP,61148378.1995196,2656975016.30828,322521755193.056,3337549617.80598,118931007.364109,1105959916.78233,676206835.709496,136872306.232122,645763808.371603,1163668167.15018,-99900
FIN,13136102.140042,320543117.548091,53147022082.7609,594747631.101839,11214984.9001312,27887103.545552,939760821.557575,7841929.49189594,92906165.5243683,205441568.352467,-99900
FRA,10374333.9525099,4905803294.8907,416389119622.329,1114063844.87013,223290104.777526,1265828253.5379,371182769.70785,18406846.5069006,48033459.0309538,1407265742.97015,-99900
GBR,10669984.9354884,4420680229.54342,800888295245.703,909528683.838856,260325638.130007,597992312.393803,625606515.381873,5919314.21292702,372856610.22216,518441025.437247,-99900
GOLF,155666480.871071,11930903045.4312,3496793624028.18,20265633926.1637,359485934.819583,1692251730.57513,6249239727.38342,644709070.575613,2955426856.57157,9253045496.40036,-99900
GRC,5313709.27456436,389649240.784854,89846981194.3241,423992631.159535,36803384.8990029,275206004.395831,142476384.472086,12643276.2188427,172787561.211859,162277636.451182,-99900
HUN,5969437.47358605,480017965.680878,89996044513.0516,210165960.654873,75132907.2766085,167371358.352344,119649333.446376,8735785.12680316,60407694.5264631,178535029.897196,-99900
IDN,163866921.182339,11676114477.7148,1915222547292.39,41957924263.4034,634950139.49923,3124063157.08687,3816046654.76099,732646567.994384,2597127332.1883,5814120585.32302,-99900
ITA,12667442.3051184,2273525669.16386,514485373662.125,1051723446.56359,121690582.575499,670605126.26868,248013255.46104,26816862.7248918,69475465.4698266,666389974.958267,-99900
JPN,43628846.858925,10953635154.3605,898521083972.317,3810523718.3008,69444884.652986,366335615.770305,621542043.970067,67918161.1857244,276767589.761741,3121831415.46294,-99900
KAZ,60476554.5281017,2380000668.51324,131169898750.879,4619090015.52372,8122281.74414228,143386360.749281,535834357.808121,378255495.605554,1332157525.7696,1457828958.11219,-99900
MEME,6918892.5858613,310439454.242996,131283050133.703,578747609.872213,7113667.68950306,32508735.4187067,335615130.489036,22207099.3621174,59656539.573886,250796125.506208,-99900
MEX,106549449.422493,6265327953.29676,1082877911086.29,11979746815.7748,218627956.627015,1459279851.73509,2065665989.81011,643250928.416239,824627897.115255,3074690169.40647,-99900
MON,1209755.66245883,1097506835.61918,18068544833.783,104624524.741509,5393894.84468658,4886141.79341881,19758758.1336912,6696948.9254173,2556575.66054991,83123785.75957,-99900
MYS,22385313.6770171,2223580261.26267,1111691999300.67,2956759759.92164,35956958.733577,209319667.538801,956117791.006558,107776452.554734,247857987.004162,1078635194.25158,-99900
NDE,794413329.950383,52602995848.0609,12141506619149.5,58661879936.7333,1711453175.10322,10053213914.0641,20598988875.9818,2233821213.62729,19463886259.1406,12313218515.2864,-99900
NOA,125413634.640838,10368877645.5813,526982421201.212,10648737792.2148,130521402.356657,2155912497.1658,1658090275.27865,287341134.603248,1146301208.11035,4684730084.91277,-99900
NOR,3943085.5841482,548897827.586438,115561855592.365,427539657.452407,17507903.4723594,118040186.95716,124766927.373002,4564096.54202847,74134697.7262526,451329213.521143,-99900
NZL,138017622.784749,8738168247.38547,27304634809.6835,9434801816.71999,54953743.0387407,1882193749.44951,750575910.475664,570275903.482465,477482755.112507,1790589171.47127,-99900
PAC,8363693.00078271,181069539.477553,514044308086.917,1280140356.9221,97074410.1898542,151851857.653384,213691489.151792,51077905.2537423,100023355.499727,223161963.858338,-99900
PHL,6348761.21772822,2157124299.64663,585068356427.936,934759034.909804,113545033.90309,371896615.191505,487498972.037989,44462789.3119675,1502021090.45194,764297193.748928,-99900
POL,26684626.3806403,3360664961.75703,429676179651.919,2170046045.81131,214637998.429807,283602406.241921,484478049.890704,49052107.7313242,269681855.044051,659182580.191751,-99900
RCAM,44419332.550263,4225303451.92557,518807235953.607,9987810320.47298,143629001.085802,704116955.322829,1030397378.55081,185842761.718198,1088447899.28886,2461909520.05333,-99900
RCEU,24909961.0116151,1140999157.14801,127987737298.576,1642783793.83688,79643388.6547928,265565209.723454,321705406.827637,190457901.50179,235632066.245002,595171734.329204,-99900
RCZ,7998081.25715402,996498966.348528,102949947577.611,424655856.579723,32830881.2902773,307821429.72647,212827974.033429,16090983.011913,62804481.0144827,210901480.086758,-99900
RFA,10976257.7607467,4212154865.09044,755653099130.003,767949738.974366,179372457.550779,1133805061.84906,658173894.646217,8430590.45704452,125310084.621122,1454735419.82154,-99900
RIS,13993821.0682053,7141429775.81751,305362215414.937,1519167390.41969,190659011.489251,900012300.596275,228862809.564539,72798071.0794713,59726542.0557426,829303005.066444,-99900
ROM,8292417.20122838,948308450.662293,47305736471.75,396777859.302957,47398424.1973085,564266102.123338,219815997.598421,16836817.4844164,52626272.3124989,301727664.269763,-99900
RSA,71157068.9002185,5355932300.13438,729414626010.433,7947304685.07139,149583183.232835,586451387.960453,1210314048.10343,395641901.861451,987758949.638741,1750678643.61249,-99900
RSAM,161312493.60351,10974983267.9202,1080897102679.04,19917812840.8023,493166756.850797,2171459065.94296,1983926343.47276,1205634765.26515,708768492.029603,3815329827.88143,-99900
