COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6218061458.37337,490397045981.323,59946256266028.1,650550735081.134,16437697110.235,86289180525.7965,115964035471.274,34804670174.3164,96768232416.3615,156685097353.831,-99900
AIR,57987508.4,0,248159852000,167078412,0,0,1577492580,10403005.99,126368945,54703339.4,-99900
SHIP,102216879.9,0,237233992800,464667071,0,0,4800276730,219720846.9,2903209825,182794621.9,-99900
ARG,57494023.3325043,7740357281.50649,314085174831.589,7039198477.23655,268208872.663597,1495716825.01207,766765510.288248,286219794.257875,245707030.903591,1280536333.76583,-99900
AUS,83042021.240275,2391762754.02523,670050311384.356,6597214231.42132,368912350.634239,364122607.134324,700433365.115166,1054288895.74826,253769720.246135,687893286.425841,-99900
AUT,6398298.07838678,774021726.48033,76108894324.1006,292174102.402683,24284122.4077767,64390919.0363462,139544460.809685,10100276.7446044,39261366.2228185,234237102.299833,-99900
BGR,10143131.812776,365996559.449507,215363995046.908,363418192.128961,97349240.1174908,258356565.93706,151072737.452912,38722396.877478,272269591.623286,124147667.568969,-99900
BLX,2868588.57869003,1733458041.17469,347132590900.435,160562451.917145,59348997.5045126,168094683.782543,80978145.5871673,4162256.60466252,15878039.6186966,164437210.310923,-99900
BRA,242777667.981171,25150262247.1042,913409689090.903,35073031104.0328,1031117971.7761,6368992723.86159,3659933221.36299,1195858925.83506,1917298316.53004,4598332542.89515,-99900
CAN,79079490.933593,7191241192.53597,682778891021.95,9840767000.62256,264199460.961529,1176955122.89854,1234246000.68747,1012539474.1564,611363514.308279,2763814104.65374,-99900
CHE,304574.261167168,251383034.285128,55432484235.1456,70984240.0306178,24266749.9929998,20361940.3704928,11866693.0927906,5598821.5281079,4965233.89246861,13991494.7611695,-99900
CHL,10655253.4009338,1338952799.10993,84079723264.7957,1004267571.30789,17832013.1737651,218348491.116991,313395966.008906,38697465.8316261,2016814113.27462,160350028.372943,-99900
CHN,575874800.408506,61528440001.8622,13106303308493.1,39525814154.5078,2069829975.06687,17054422917.7816,13837901949.9498,1440836107.59341,17552830231.9235,10814369594.2796,-99900
COR,38932752.27813,1246867459.63491,648433602703.749,1533054505.8391,44539691.40291,125669468.518726,851699358.478,70893158.860991,310735987.513632,2295675351.66208,-99900
EAF,978925669.039769,28023763798.6581,1869058146024.22,115501574344.259,2026568822.45411,5385503724.37534,7698974859.56026,7291101148.4749,2865540157.95015,19201474684.7831,-99900
EGY,56981788.956196,4743755314.24112,845802731844.535,3615947809.23578,190232264.86849,142538978.180068,857868408.458155,137294446.773918,522465260.116741,2010326029.35483,-99900
ESP,51691976.5917855,2525742107.97511,335866297616.911,2870448545.68214,127747730.086729,1104224543.40238,729695818.773325,156109477.591396,750573945.215149,912377239.808205,-99900
FIN,12521809.9100339,324581946.22679,46770751988.7413,537346961.083764,10039329.5882747,27949464.4891723,848398079.102937,11339162.2219222,92005262.6193233,161354723.349436,-99900
FRA,16782872.3914217,4696774709.38518,426489366955.706,1748101909.76856,219004140.888008,1265418958.26695,543484762.372493,23657355.0607535,84935478.1697593,1392826148.50833,-99900
GBR,11870797.3886281,4405588900.27172,699467196164.191,976629668.963363,247862645.824263,597949928.185596,672170711.704042,8266306.67183873,423206380.602934,600627736.512587,-99900
GOLF,143464165.583741,15770014454.616,3149632966979.86,18093248214.5371,349710019.081436,1707085337.98818,6484596460.01565,569871697.807212,4328617403.86069,12380291522.6228,-99900
GRC,4741776.00774062,367054649.990048,86661531042.5777,451512403.721654,37088398.1634574,274510543.032685,152693051.705033,15027561.405778,298929783.39045,158441204.843299,-99900
HUN,6603521.55928799,431375008.12956,96620938319.8191,221295405.991559,75175133.0493668,173978519.801581,133858667.2952,11363353.0634344,78261871.4616775,170540301.752667,-99900
IDN,164328250.740062,11952715724.6711,1690716455662.57,41870691052.4855,649966500.573263,3252752004.68452,4028735602.6321,765448719.111767,3258389032.28174,5785186927.87349,-99900
ITA,11531622.8942705,2271058443.59876,526265705452.15,1197217337.50834,125203458.981571,670171767.937156,304293752.017129,30954358.8564732,98068973.0236981,705560836.365478,-99900
JPN,48201083.021722,9036444388.4315,1039339967417.04,4262700584.00416,77975582.227356,395636146.99652,793409608.291932,84199988.9046611,413835167.782738,1845166398.90805,-99900
KAZ,75557231.7581802,2974931430.74142,132161155350.094,3584340247.03989,7276890.6255603,134307405.715743,535024825.338322,440745398.677504,1865982021.19344,1307789997.97331,-99900
MEME,7537914.81492344,612805796.565351,128149971909.766,524098433.493796,6937985.63006428,33000287.1119316,390022609.910545,23306738.8586435,121543511.518281,320607420.319609,-99900
MEX,102940783.087314,6182912635.36532,887619507342.998,10968293376.7487,215129624.326437,1466662838.18283,1894285170.84672,644223540.846987,986746508.917396,2755404496.22926,-99900
MON,1898479.64888484,1058184682.1343,14837631387.9535,203821447.857885,3750001.54649475,4588887.22605972,32734401.8190966,8649214.43687792,17318910.955063,121840865.794394,-99900
MYS,26585007.8866232,3017492936.89349,886620011883.775,3473193525.59189,34838483.6782834,225006280.474868,1032842200.47683,140042960.018684,346993017.665826,1177197303.17029,-99900
NDE,766138074.463916,52514563888.7757,10506941992337.8,57633306354.2049,1648483291.53192,10080276916.937,22521866676.1887,2634758184.06583,24774743751.7855,11761214923.2364,-99900
NOA,95016069.216868,9215371969.82925,493922375610.813,11382304903.264,123593033.518311,2114289182.10845,1419909812.68545,226744199.938567,1172629414.60131,4790300607.19127,-99900
NOR,4284529.18174294,562422595.710001,71247717146.5546,464866369.022322,15479278.1373982,114738363.774561,131274676.482199,10320130.4553196,80058407.2594704,447571439.142278,-99900
NZL,114011374.279819,7330584244.02079,25038679119.4205,8511810022.24179,60731630.1726393,1836327333.27697,629647706.101544,567548616.816685,520766455.001122,1010447392.67709,-99900
PAC,9822714.15036512,226890441.011074,449934490998.642,1419532617.22488,83903042.8812008,161045125.172621,213716985.406219,65885669.6187052,105777190.221186,247947012.624095,-99900
PHL,9991841.79859144,2501475246.37978,444514982826.987,1298562504.11493,107065202.31357,370792406.650678,549104946.87575,59769512.8820247,1800452477.08327,692560462.095546,-99900
POL,29490273.4747235,2971435318.82588,459935042277.24,2291950343.26938,221945630.723877,296562207.145035,539108716.986515,64139715.2920406,411660781.443286,619088362.64386,-99900
RCAM,46044239.0169153,4010452409.02861,428832259395.567,9178811978.11032,142183496.164934,708722617.856779,1100586789.41633,221472722.090238,1174451541.18926,2218078966.55401,-99900
RCEU,21599048.3755351,1083760623.25918,123677329340.307,1318002760.58763,76681705.2694962,232647159.748986,300588296.107423,163041166.574571,256343193.219229,540275157.003957,-99900
RCZ,9481245.15884947,916219155.616385,109517998164.285,469216794.232179,33046374.535326,320513692.569771,255590406.919756,21251353.6529253,91854504.4455313,223262134.162031,-99900
RFA,17877011.1579555,4138277760.3667,669534293308.569,1148890033.39416,165729064.585916,1128949580.11065,808420073.605469,13216912.1362565,151559056.900353,1390923381.96404,-99900
RIS,21020457.708605,7634548320.35239,266330143949.181,2290937704.9193,195028679.840535,947159985.211199,336705429.221731,91197845.1026028,158374163.487694,1040186996.06,-99900
