COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,6863953729.989,458171926996.351,51868808828793,712176584300.314,14418978314.2976,80514727044.4496,123379925410.349,39056822939.9868,113113291327.738,157848322061.609,-99900
AIR,57201037.2,0,182369066000,176498616,0,0,1666432480,10125681.18,133493805,57787614.7,-99900
SHIP,138212239.8,0,208861994200,630765448,0,0,6516171670,287772962,3940985600,248135861.6,-99900
ARG,63177109.2270311,7002595806.24362,271066953924.312,7755850893.33871,244978672.784405,1360510836.73962,817713349.904316,315375919.418512,338387605.270267,1288537623.46591,-99900
AUS,101304942.341055,2362347233.09968,574074119339.33,7776352443.98742,333308635.060858,377505906.816016,814762598.736284,988671850.628973,456658318.092656,783173193.068362,-99900
AUT,9194226.87057477,718732634.392058,73534651944.0154,412426007.883639,22529428.5327134,61837936.3114504,179225856.414049,17727431.6098077,57745297.0692141,228631774.78875,-99900
BGR,9935181.98533546,447396727.649264,219308309059.987,412946794.40368,97136654.2929191,250818329.860145,163404866.194771,51902840.2297507,366875829.793804,135140662.642935,-99900
BLX,4622789.79876202,1539350363.08932,326783804560.386,291969868.4026,54818751.748272,159878418.593436,149178383.530777,7996513.50986878,46009814.2465265,208548034.935142,-99900
BRA,291743942.102131,25064848147.252,774287438605.813,42437778377.9044,955614838.099901,6022781014.56834,4136858613.12167,1591188184.76806,2344927751.02045,5578691842.31566,-99900
CAN,98938284.533878,6558027811.41942,634358409235.042,13637878409.7022,242433813.179408,1051087776.14085,1401744228.21388,1257225664.15585,833509175.874539,2757071162.77363,-99900
CHE,478428.764361364,207101553.180793,41932646227.8577,115559373.330184,20213317.9952101,18717593.4215164,21113510.8147872,8289421.28780092,10736655.3961064,22192740.753288,-99900
CHL,14010220.9279681,1262206155.81989,58403411533.047,1320748346.22712,18303573.0349817,198209158.062843,336365151.359901,63366526.452155,2476241217.91297,168094851.361507,-99900
CHN,807272942.404149,69804494859.8116,14509978177875.9,51830541639.5182,2193177199.72982,17937162932.5577,17816772762.8357,2027278945.52344,25670483030.2668,12489343770.1736,-99900
COR,48996484.548092,1900598072.5153,742702120194.063,1849342096.6418,49399569.9401,136502093.353183,1064905426.75731,102320519.098221,493237892.20361,2757334610.10774,-99900
EAF,996388408.917992,23414139911.8769,697565377088.957,117664181757.9,1336771159.93267,4617394471.25829,5830530935.49198,7706002784.31178,1932476743.55548,18520354896.9883,-99900
EGY,43567479.8873292,3941656549.18093,537599068952.643,4647669514.43324,135179271.742184,115285877.69739,870032553.72074,75545751.0939471,685743759.452512,1942271567.56924,-99900
ESP,51095931.3726806,2163921774.50269,324043351376.042,2988761597.01601,121283386.965592,1047389056.60233,827692620.665993,205425124.04364,868484873.873129,718809190.781793,-99900
FIN,13117902.1547805,310290694.065627,42684125292.0429,595336455.067085,8749994.0579924,26691504.886503,804270676.01247,21068630.2226117,89536813.5657675,117298123.03858,-99900
FRA,25755483.0525983,4104402305.12476,405604924703.878,2636353085.07425,207178987.696324,1202588596.70002,815893595.34416,38215291.0242816,240227492.781722,1352319337.31088,-99900
GBR,15069499.1266129,4142573511.21316,692779907359.493,1215732654.27195,244794381.769923,567786033.926412,801734767.129896,14944618.3218844,516114189.734332,636160817.315605,-99900
GOLF,150412674.885006,12826908603.0685,2644243851928.16,17451471616.8959,282655864.030054,1416160710.94177,7300684799.55806,574624399.400256,5960605553.87891,10619668089.3548,-99900
GRC,5868449.68469376,312862466.833514,84223157115.0943,523965207.989716,35041421.4227734,260679572.164651,181287877.890489,21320801.7145532,449476633.091895,136980281.290339,-99900
HUN,8658025.29568559,522550967.139017,98751399081.8463,293351622.048791,73728121.5383857,169042767.65043,154326818.598818,18302580.4511944,115904721.210977,214944537.696974,-99900
IDN,194681614.317401,12547866813.1469,1235594925566.82,44725912866.263,601894430.427135,3115586047.71397,4239065725.83249,946115325.346651,3762961611.73448,6373371808.74538,-99900
ITA,14181905.692065,2129482202.53782,489228446126.259,1497508278.56093,110583948.923825,636017737.853347,441359371.845365,42434144.7535344,139584587.954936,695642490.487748,-99900
JPN,57692711.795188,6638446436.24587,1159527509185.78,5226683956.20104,84606866.002501,394039183.818984,1110135655.43872,123633993.979262,693138990.931143,1906037663.4435,-99900
KAZ,106649119.292397,3212769829.11051,87382476274.2914,3727367308.00105,4309335.44137032,128151829.921415,560746190.060733,563077658.436558,2360205349.07847,1308358547.61133,-99900
MEME,8147470.17491857,542336879.074854,129192404751.834,668765512.478976,8170756.74369717,27587747.5465198,469344651.18649,25415857.1697302,235352873.666382,290593362.113908,-99900
MEX,108838403.993579,5953814109.4255,705241709888.435,11596702082.6823,196951195.441661,1365602213.07665,1894930908.5363,689887602.190674,1240578126.37424,2815254520.82479,-99900
