"region","year","units","value"
"ARG","2070","ug/m3",4.64840317639461
"AUS","2070","ug/m3",4.62344204630493
"AUT","2070","ug/m3",6.30446191951314
"BGR","2070","ug/m3",11.4004801799855
"BLX","2070","ug/m3",7.21496884894926
"BRA","2070","ug/m3",4.63519644003379
"CAN","2070","ug/m3",5.37356806241966
"CHE","2070","ug/m3",6.58043070346182
"CHL","2070","ug/m3",9.06291488495327
"CHN","2070","ug/m3",23.9718530024752
"COR","2070","ug/m3",10.913397148566
"EAF","2070","ug/m3",13.9349664993422
"EGY","2070","ug/m3",27.0111776472635
"ESP","2070","ug/m3",8.29269117025193
"FIN","2070","ug/m3",3.44635518168396
"FRA","2070","ug/m3",6.13531877911965
"GBR","2070","ug/m3",5.04752176443434
"GOLF","2070","ug/m3",38.8607522717001
"GRC","2070","ug/m3",7.71838883944772
"HUN","2070","ug/m3",7.4160336090768
"IDN","2070","ug/m3",9.31704973840323
"ITA","2070","ug/m3",9.75881824308929
"JPN","2070","ug/m3",9.25053907683912
"KAZ","2070","ug/m3",13.2487541004935
"MEME","2070","ug/m3",10.8635675002209
"MEX","2070","ug/m3",9.49326987608453
"MON","2070","ug/m3",9.09545327866372
"MYS","2070","ug/m3",5.71151464004326
"NDE","2070","ug/m3",38.9968094745778
"NOA","2070","ug/m3",18.5889821457326
"NOR","2070","ug/m3",2.97256132276595
"NZL","2070","ug/m3",14.5739654471391
"PAC","2070","ug/m3",5.42734687819549
"PHL","2070","ug/m3",4.72721733235132
"POL","2070","ug/m3",5.15961423494097
"RCAM","2070","ug/m3",7.68125961344047
"RCEU","2070","ug/m3",10.7742531623131
"RCZ","2070","ug/m3",8.49423007374813
"RFA","2070","ug/m3",7.76525474321148
"RIS","2070","ug/m3",27.7612874778989
"ROM","2070","ug/m3",7.6815032087033
"RSA","2070","ug/m3",10.0484863982232
"RSAM","2070","ug/m3",6.12463609788086
"RSAS","2070","ug/m3",36.6515105871225
"RSEA","2070","ug/m3",16.821010573633
"RUE","2070","ug/m3",4.97622728888486
"RUS","2070","ug/m3",6.06562684738076
"SAF","2070","ug/m3",7.7515275501051
"SWE","2070","ug/m3",4.10200629831415
"THA","2070","ug/m3",14.8885359540628
"TUR","2070","ug/m3",8.88728250396325
"TWN","2070","ug/m3",9.37001063244498
"UKR","2070","ug/m3",4.97716204943207
"USA","2070","ug/m3",6.84891795764034
"VNM","2070","ug/m3",10.2280600044866
"WAF","2070","ug/m3",25.2393511587036
