"region","year","units","value"
"ARG","2100","ppbv",35.6363377004534
"AUS","2100","ppbv",34.9249164457345
"AUT","2100","ppbv",56.3028617983518
"BGR","2100","ppbv",57.0500925636562
"BLX","2100","ppbv",53.8815910987897
"BRA","2100","ppbv",42.3814910554475
"CAN","2100","ppbv",51.4350777438396
"CHE","2100","ppbv",56.370903522138
"CHL","2100","ppbv",42.0798652211516
"CHN","2100","ppbv",52.5107503762092
"COR","2100","ppbv",58.9732591701192
"EAF","2100","ppbv",61.3997687409008
"EGY","2100","ppbv",75.8963302022874
"ESP","2100","ppbv",59.4046205092974
"FIN","2100","ppbv",41.7869619388692
"FRA","2100","ppbv",53.8734415074552
"GBR","2100","ppbv",49.4122010772951
"GOLF","2100","ppbv",76.2447073180141
"GRC","2100","ppbv",63.266941982931
"HUN","2100","ppbv",54.2616256195875
"IDN","2100","ppbv",45.516079210036
"ITA","2100","ppbv",64.570311635159
"JPN","2100","ppbv",58.1470675205552
"KAZ","2100","ppbv",49.0998235273354
"MEME","2100","ppbv",67.456890061395
"MEX","2100","ppbv",62.6089414800847
"MON","2100","ppbv",51.2116386084768
"MYS","2100","ppbv",50.4474393014534
"NDE","2100","ppbv",99.0093093863822
"NOA","2100","ppbv",68.6476681485246
"NOR","2100","ppbv",44.7094393403243
"NZL","2100","ppbv",35.3384051701852
"PAC","2100","ppbv",32.2119156819612
"PHL","2100","ppbv",41.5400610003844
"POL","2100","ppbv",50.8965823619897
"RCAM","2100","ppbv",46.4943450112473
"RCEU","2100","ppbv",59.2612197240505
"RCZ","2100","ppbv",54.1387935146076
"RFA","2100","ppbv",53.9657847048283
"RIS","2100","ppbv",59.9446196205883
"ROM","2100","ppbv",54.0000974899329
"RSA","2100","ppbv",50.3252562532013
"RSAM","2100","ppbv",39.6818742447316
"RSAS","2100","ppbv",96.8963608267599
"RSEA","2100","ppbv",66.6700950003265
"RUE","2100","ppbv",39.1369055973737
"RUS","2100","ppbv",47.7971453420766
"SAF","2100","ppbv",58.5352210498546
"SWE","2100","ppbv",46.4626184734606
"THA","2100","ppbv",58.5809340287826
"TUR","2100","ppbv",62.2049232415953
"TWN","2100","ppbv",58.5095271626878
"UKR","2100","ppbv",50.6222065322576
"USA","2100","ppbv",60.8074366375931
"VNM","2100","ppbv",49.0440754422854
"WAF","2100","ppbv",82.0506084458374
