"region","year","units","value"
"ARG","2100","ug/m3",4.67537528590722
"AUS","2100","ug/m3",4.58716378634754
"AUT","2100","ug/m3",5.95495642686125
"BGR","2100","ug/m3",10.7491716709128
"BLX","2100","ug/m3",6.7828139441041
"BRA","2100","ug/m3",4.43588285107958
"CAN","2100","ug/m3",5.20752203370131
"CHE","2100","ug/m3",6.1461913113813
"CHL","2100","ug/m3",7.84592743248077
"CHN","2100","ug/m3",19.2125928814639
"COR","2100","ug/m3",9.04976782398776
"EAF","2100","ug/m3",13.7800130276816
"EGY","2100","ug/m3",25.3607862703329
"ESP","2100","ug/m3",8.71718101807364
"FIN","2100","ug/m3",3.22325060146415
"FRA","2100","ug/m3",5.66754453162474
"GBR","2100","ug/m3",4.78116961637116
"GOLF","2100","ug/m3",39.8355886303858
"GRC","2100","ug/m3",7.54950827723196
"HUN","2100","ug/m3",6.70698292170418
"IDN","2100","ug/m3",8.92874872103084
"ITA","2100","ug/m3",9.36355484469049
"JPN","2100","ug/m3",8.23142379825713
"KAZ","2100","ug/m3",12.2931732168903
"MEME","2100","ug/m3",10.0932297321211
"MEX","2100","ug/m3",9.95760957343381
"MON","2100","ug/m3",7.53470866970651
"MYS","2100","ug/m3",4.89929183804762
"NDE","2100","ug/m3",31.0213985661619
"NOA","2100","ug/m3",20.6061741309304
"NOR","2100","ug/m3",2.82019300801943
"NZL","2100","ug/m3",14.8180797632666
"PAC","2100","ug/m3",5.36589921333796
"PHL","2100","ug/m3",4.46278905472769
"POL","2100","ug/m3",4.6312771625819
"RCAM","2100","ug/m3",7.61389394130012
"RCEU","2100","ug/m3",11.864779857231
"RCZ","2100","ug/m3",7.52858203440081
"RFA","2100","ug/m3",7.2028905414767
"RIS","2100","ug/m3",26.5870069603626
"ROM","2100","ug/m3",6.95393320451335
"RSA","2100","ug/m3",9.69103286779854
"RSAM","2100","ug/m3",5.94161747606541
"RSAS","2100","ug/m3",35.3545883561271
"RSEA","2100","ug/m3",13.9995684798767
"RUE","2100","ug/m3",4.56331626822389
"RUS","2100","ug/m3",5.62564497707704
"SAF","2100","ug/m3",7.71815798489746
"SWE","2100","ug/m3",3.7798726031411
"THA","2100","ug/m3",12.5024330828776
"TUR","2100","ug/m3",7.91907386218585
"TWN","2100","ug/m3",8.88713906749691
"UKR","2100","ug/m3",4.5207240232011
"USA","2100","ug/m3",6.80908734580325
"VNM","2100","ug/m3",9.59410094746172
"WAF","2100","ug/m3",25.7708264615471
