"region","year","units","NAT","PRIM","SEC"
"ARG","2020","ug/m3",1.1627605,3.56563830858374,1.38401763020348
"AUS","2020","ug/m3",3.0052166,1.50020787352666,0.805407730390972
"AUT","2020","ug/m3",1.042056,5.50182258016602,5.21636384958912
"BGR","2020","ug/m3",1.8198,6.32698883252349,8.79959837634955
"BLX","2020","ug/m3",1.359324,1.7705190496588,7.40447539190956
"BRA","2020","ug/m3",0.9836504,3.01884054402512,2.29710890844611
"CAN","2020","ug/m3",0.6443542,3.96438284167,2.52135403148027
"CHE","2020","ug/m3",1.279761,3.79719426715909,4.94744696859738
"CHL","2020","ug/m3",1.6399036,5.63985295901189,7.76223272760558
"CHN","2020","ug/m3",8.789343,9.45602111464762,22.5502541705802
"COR","2020","ug/m3",3.94339,11.1222590813163,12.7141699774332
"EAF","2020","ug/m3",4.871661,6.57343344881208,2.21626251049231
"EGY","2020","ug/m3",9.37511,5.90163216804866,6.98966008411315
"ESP","2020","ug/m3",2.73734,4.26639110617267,4.4566947410901
"FIN","2020","ug/m3",1.2169,2.61881764076008,1.32747830732226
"FRA","2020","ug/m3",1.702553,3.0723949585092,5.86421179112873
"GBR","2020","ug/m3",1.3688009,1.30600827182506,4.70927995381402
"GOLF","2020","ug/m3",28.321611,4.85227244654916,8.3220852155269
"GRC","2020","ug/m3",3.14708,2.81551190251144,5.95101690398871
"HUN","2020","ug/m3",0.921825,4.87373380088522,7.11659406410663
"IDN","2020","ug/m3",2.6008442,4.62954593779013,2.98479944439612
"ITA","2020","ug/m3",2.54789,2.96841071805155,7.87378973125754
"JPN","2020","ug/m3",3.00604,4.82636806510591,8.1759806500963
"KAZ","2020","ug/m3",8.551799,5.78497669226235,3.93355268617691
"MEME","2020","ug/m3",6.24876,1.77942375057469,7.03593688404349
"MEX","2020","ug/m3",1.14416,4.96076933546996,4.3142221967465
"MON","2020","ug/m3",3.991756,3.26283511421013,8.21966535064028
"MYS","2020","ug/m3",1.5224424,3.3990485548224,2.76477873231788
"NDE","2020","ug/m3",4.900028,14.3125280336363,18.6657457627575
"NOA","2020","ug/m3",10.20741,3.46155585170807,4.72974734718886
"NOR","2020","ug/m3",1.6076344,2.43881410321818,0.829320955059764
"NZL","2020","ug/m3",8.42064446,2.74209281801781,1.71254517361996
"PAC","2020","ug/m3",3.28317,0.945624574001826,1.22618245433786
"PHL","2020","ug/m3",1.519072,2.37747305881884,2.24649664122105
"POL","2020","ug/m3",1.10447,3.65469800930098,4.72896397208924
"RCAM","2020","ug/m3",4.03563,2.2454041068112,2.34402554623393
"RCEU","2020","ug/m3",1.787716,3.89441935748264,5.5317276092352
"RCZ","2020","ug/m3",0.922982,5.2105335423302,7.87731223501297
"RFA","2020","ug/m3",1.453758,2.55164921859977,7.44726280006596
"RIS","2020","ug/m3",19.038769,7.23432063479493,9.40419040548256
"ROM","2020","ug/m3",1.339967,3.8840506241188,7.55189404953489
"RSA","2020","ug/m3",2.257584,5.18653168472167,3.60269397828585
"RSAM","2020","ug/m3",1.550796,3.27188158838851,1.7021960961826
"RSAS","2020","ug/m3",5.335336,15.0091206193293,12.8907178263846
"RSEA","2020","ug/m3",1.643699,9.86573128527849,7.7583872842741
"RUE","2020","ug/m3",0.853914,4.40751056728442,2.25552128662188
"RUS","2020","ug/m3",2.525528,4.30521206592056,3.126350913262
"SAF","2020","ug/m3",1.1167017,4.31692752907123,1.16819448750474
"SWE","2020","ug/m3",1.1669862,2.68770606047141,2.61750511108785
"THA","2020","ug/m3",1.156308,8.36254899848651,8.50751057185592
"TUR","2020","ug/m3",3.003972,2.09088170860049,7.11088995907829
"TWN","2020","ug/m3",3.1639,2.98536511607781,10.6058463939595
"UKR","2020","ug/m3",1.40506,3.69269756992726,4.80943992768161
"USA","2020","ug/m3",1.023426,4.28115846565111,3.25585512502831
"VNM","2020","ug/m3",1.710101,9.19630645466461,7.6271547288815
"WAF","2020","ug/m3",15.776039,5.87484442176036,2.1727618261105
