"region","year","units","value"
"ARG","2005","ppbv",33.6518344265134
"AUS","2005","ppbv",33.1296754659234
"AUT","2005","ppbv",59.55530126364
"BGR","2005","ppbv",59.2273082298809
"BLX","2005","ppbv",48.6719349303794
"BRA","2005","ppbv",39.8980233336715
"CAN","2005","ppbv",50.7229973325705
"CHE","2005","ppbv",60.694140450003
"CHL","2005","ppbv",39.654616588536
"CHN","2005","ppbv",58.5678216210027
"COR","2005","ppbv",57.7118066064312
"EAF","2005","ppbv",45.03872344436
"EGY","2005","ppbv",67.2188509665463
"ESP","2005","ppbv",61.7829518050052
"FIN","2005","ppbv",41.8353192609636
"FRA","2005","ppbv",55.8499994642899
"GBR","2005","ppbv",44.1344033973899
"GOLF","2005","ppbv",72.3645353521176
"GRC","2005","ppbv",65.8228194422394
"HUN","2005","ppbv",57.2358509035587
"IDN","2005","ppbv",41.7933355617856
"ITA","2005","ppbv",72.2349371041308
"JPN","2005","ppbv",57.4468465407996
"KAZ","2005","ppbv",49.2417418474883
"MEME","2005","ppbv",67.1675232824461
"MEX","2005","ppbv",58.4227384067238
"MON","2005","ppbv",57.2631293389981
"MYS","2005","ppbv",48.3312103405639
"NDE","2005","ppbv",63.7612458321324
"NOA","2005","ppbv",61.4030071129546
"NOR","2005","ppbv",44.9682315673413
"NZL","2005","ppbv",33.2202283373697
"PAC","2005","ppbv",29.4773588899032
"PHL","2005","ppbv",40.3809853797298
"POL","2005","ppbv",52.2198161368865
"RCAM","2005","ppbv",45.6199915580173
"RCEU","2005","ppbv",61.0800935674361
"RCZ","2005","ppbv",55.3380429416051
"RFA","2005","ppbv",53.0615627975121
"RIS","2005","ppbv",59.7747866860588
"ROM","2005","ppbv",56.415912787953
"RSA","2005","ppbv",47.2075865799507
"RSAM","2005","ppbv",37.721137747181
"RSAS","2005","ppbv",61.2345774084047
"RSEA","2005","ppbv",59.5495671960384
"RUE","2005","ppbv",40.2726403633533
"RUS","2005","ppbv",48.7305693664661
"SAF","2005","ppbv",46.2718963037262
"SWE","2005","ppbv",46.2645941482299
"THA","2005","ppbv",56.107271331061
"TUR","2005","ppbv",63.4520633724188
"TWN","2005","ppbv",60.5391470132718
"UKR","2005","ppbv",52.609472410016
"USA","2005","ppbv",60.9497780329268
"VNM","2005","ppbv",51.1940999194459
"WAF","2005","ppbv",51.7213952345639
