"region","year","units","NAT","PRIM","SEC"
"ARG","2090","ug/m3",1.1627605,2.50127277418644,0.975073682884151
"AUS","2090","ug/m3",3.0052166,1.01939024524694,0.592033888712877
"AUT","2090","ug/m3",1.042056,0.78684876398729,4.2089207591261
"BGR","2090","ug/m3",1.8198,2.68838076253666,6.40530617547844
"BLX","2090","ug/m3",1.359324,0,5.56318451729495
"BRA","2090","ug/m3",0.9836504,1.83125890658747,1.64657109131642
"CAN","2090","ug/m3",0.6443542,1.90409087360412,2.67565957324809
"CHE","2090","ug/m3",1.279761,1.21211195971876,3.76413543817323
"CHL","2090","ug/m3",1.6399036,0,6.51378375052103
"CHN","2090","ug/m3",8.789343,2.79253775842921,8.94457915830756
"COR","2090","ug/m3",3.94339,0,5.62658154943734
"EAF","2090","ug/m3",4.871661,6.11874582628209,2.77140061137743
"EGY","2090","ug/m3",9.37511,11.774887415394,4.88766466841846
"ESP","2090","ug/m3",2.73734,3.05292221882507,2.81917352189896
"FIN","2090","ug/m3",1.2169,1.04864972470311,1.06277169978057
"FRA","2090","ug/m3",1.702553,0.387298676110049,3.71302981482435
"GBR","2090","ug/m3",1.3688009,0,3.50236625122429
"GOLF","2090","ug/m3",28.321611,5.45846100318154,5.48744638545956
"GRC","2090","ug/m3",3.14708,1.54316111595329,2.86797976742264
"HUN","2090","ug/m3",0.921825,0.370356321369215,5.57499705111722
"IDN","2090","ug/m3",2.6008442,4.09267313435237,2.33067222986678
"ITA","2090","ug/m3",2.54789,1.28091671523812,5.6481582679231
"JPN","2090","ug/m3",3.00604,1.20435164031616,4.26699085324049
"KAZ","2090","ug/m3",8.551799,1.5566533135035,2.4008582477565
"MEME","2090","ug/m3",6.24876,0.743470391695126,3.31392295904316
"MEX","2090","ug/m3",1.14416,4.771787103551,3.74464181634081
"MON","2090","ug/m3",3.991756,0.770917156628544,3.18475907427879
"MYS","2090","ug/m3",1.5224424,1.93685713812468,1.66773694876428
"NDE","2090","ug/m3",4.900028,8.17750157455002,19.9029859577622
"NOA","2090","ug/m3",10.20741,5.06666012171494,4.58572201878612
"NOR","2090","ug/m3",1.6076344,0.579699052131977,0.659930639775541
"NZL","2090","ug/m3",8.42064446,4.57164649678603,1.70456052551966
"PAC","2090","ug/m3",3.28317,0.872414060960052,1.23138540737697
"PHL","2090","ug/m3",1.519072,1.39893189981215,1.59440105046316
"POL","2090","ug/m3",1.10447,0.0539275215465405,3.62438956997375
"RCAM","2090","ug/m3",4.03563,1.55674758689898,2.00190887726831
"RCEU","2090","ug/m3",1.787716,5.21972173772893,4.52244675441746
"RCZ","2090","ug/m3",0.922982,0.506509157635888,6.33725311621544
"RFA","2090","ug/m3",1.453758,0.350924854176094,5.57602529752443
"RIS","2090","ug/m3",19.038769,0,7.89381783597952
"ROM","2090","ug/m3",1.339967,0.205516243195661,5.59862037427058
"RSA","2090","ug/m3",2.257584,4.73855761784871,2.84478721399754
"RSAM","2090","ug/m3",1.550796,2.98083690920118,1.43129658101895
"RSAS","2090","ug/m3",5.335336,13.6044167257878,16.1602563558074
"RSEA","2090","ug/m3",1.643699,7.2939940448872,5.8167135824716
"RUE","2090","ug/m3",0.853914,2.80257117160748,0.975976084334843
"RUS","2090","ug/m3",2.525528,1.42774599845783,1.72842395421743
"SAF","2090","ug/m3",1.1167017,4.00816789226979,2.6639351115155
"SWE","2090","ug/m3",1.1669862,0.811697670566241,1.95272331229754
"THA","2090","ug/m3",1.156308,6.59785967371404,5.45886078603588
"TUR","2090","ug/m3",3.003972,1.03409573602086,4.14334037599621
"TWN","2090","ug/m3",3.1639,0,5.82099419668279
"UKR","2090","ug/m3",1.40506,0,3.23637449454884
"USA","2090","ug/m3",1.023426,2.27229992097237,3.51736976822535
"VNM","2090","ug/m3",1.710101,4.84263878181161,2.93145367978999
"WAF","2090","ug/m3",15.776039,6.536932060387,3.1976424807405
