"region","year","units","NAT","PRIM","SEC"
"ARG","2030","ug/m3",1.1627605,3.16906233567108,1.31054602717485
"AUS","2030","ug/m3",3.0052166,1.06290438308156,0.725066397189508
"AUT","2030","ug/m3",1.042056,2.94018404084907,4.8378018094053
"BGR","2030","ug/m3",1.8198,4.64470661603037,8.0681531497046
"BLX","2030","ug/m3",1.359324,0.734626308870637,6.83820198138186
"BRA","2030","ug/m3",0.9836504,2.82233604687681,2.2351136961174
"CAN","2030","ug/m3",0.6443542,3.62773403760395,2.4928025871523
"CHE","2030","ug/m3",1.279761,2.66364357900899,4.42627728965423
"CHL","2030","ug/m3",1.6399036,4.83457066539653,7.95151773570315
"CHN","2030","ug/m3",8.789343,6.69475965508981,18.7203297425368
"COR","2030","ug/m3",3.94339,4.71324263888116,10.4847828018278
"EAF","2030","ug/m3",4.871661,6.68418761588734,2.40408414400882
"EGY","2030","ug/m3",9.37511,5.7444623114472,6.64823324860011
"ESP","2030","ug/m3",2.73734,4.24223660280011,3.65586970811271
"FIN","2030","ug/m3",1.2169,2.06041766582468,1.20665117542213
"FRA","2030","ug/m3",1.702553,1.26926418480175,5.06188115010771
"GBR","2030","ug/m3",1.3688009,0.468955578512685,4.28203349121129
"GOLF","2030","ug/m3",28.321611,4.74420746154625,7.73940216761302
"GRC","2030","ug/m3",3.14708,2.33370289374094,4.85985332403139
"HUN","2030","ug/m3",0.921825,2.95101154922798,6.6725540237132
"IDN","2030","ug/m3",2.6008442,4.48319593499956,3.09467152146819
"ITA","2030","ug/m3",2.54789,2.24467014716277,6.91699220004081
"JPN","2030","ug/m3",3.00604,3.43614619704562,6.72252138904736
"KAZ","2030","ug/m3",8.551799,4.35334677977709,3.55487212324386
"MEME","2030","ug/m3",6.24876,1.29754423660965,6.01570103620006
"MEX","2030","ug/m3",1.14416,5.27985434775175,4.24322778818977
"MON","2030","ug/m3",3.991756,2.17743268175802,6.73163186861187
"MYS","2030","ug/m3",1.5224424,3.14306443723363,2.71710000484405
"NDE","2030","ug/m3",4.900028,14.049555787582,24.1328938621245
"NOA","2030","ug/m3",10.20741,3.76237103822023,4.6366042995127
"NOR","2030","ug/m3",1.6076344,1.76818555535772,0.741291209758368
"NZL","2030","ug/m3",8.42064446,4.24815274312439,1.57743400671218
"PAC","2030","ug/m3",3.28317,0.935064989873853,1.23796649508691
"PHL","2030","ug/m3",1.519072,2.06485218798284,2.18780105757203
"POL","2030","ug/m3",1.10447,2.07770297516933,4.38971387189665
"RCAM","2030","ug/m3",4.03563,2.15283286164323,2.30802166507654
"RCEU","2030","ug/m3",1.787716,3.8792163869534,5.10130002861374
"RCZ","2030","ug/m3",0.922982,3.23482772642083,7.44226485032876
"RFA","2030","ug/m3",1.453758,1.37575857457854,6.72860827549932
"RIS","2030","ug/m3",19.038769,3.46567314537269,9.38666642955775
"ROM","2030","ug/m3",1.339967,2.07844073860035,7.01862597899789
"RSA","2030","ug/m3",2.257584,5.1026029153783,3.44434197790159
"RSAM","2030","ug/m3",1.550796,3.34292504021024,1.71160525068052
"RSAS","2030","ug/m3",5.335336,14.9603178654884,16.1908452968655
"RSEA","2030","ug/m3",1.643699,9.53637949719926,8.50280657667338
"RUE","2030","ug/m3",0.853914,3.97108189289626,1.81779312552473
"RUS","2030","ug/m3",2.525528,3.46814228519984,2.6191829924533
"SAF","2030","ug/m3",1.1167017,4.33326663728475,1.38344020735599
"SWE","2030","ug/m3",1.1669862,1.77278945752673,2.31188597994525
"THA","2030","ug/m3",1.156308,7.9403760084543,8.52746276272542
"TUR","2030","ug/m3",3.003972,1.5979719097147,6.21487783500968
"TWN","2030","ug/m3",3.1639,1.4632663833458,8.42438650750195
"UKR","2030","ug/m3",1.40506,1.59104043078999,4.31985050589464
"USA","2030","ug/m3",1.023426,3.65196926648556,3.15204967659152
"VNM","2030","ug/m3",1.710101,7.68854883646054,6.54676391558062
"WAF","2030","ug/m3",15.776039,6.17345957819736,2.28036931919772
