"region","year","units","value"
"ARG","2080","ppbv",22.3040884866271
"AUS","2080","ppbv",24.5730243279126
"AUT","2080","ppbv",33.0638785463234
"BGR","2080","ppbv",32.1564944940297
"BLX","2080","ppbv",31.8596768509736
"BRA","2080","ppbv",29.0334980042764
"CAN","2080","ppbv",29.8183600194434
"CHE","2080","ppbv",35.5714748355409
"CHL","2080","ppbv",26.7133866572372
"CHN","2080","ppbv",36.533423237442
"COR","2080","ppbv",31.6234892577618
"EAF","2080","ppbv",35.8776107807639
"EGY","2080","ppbv",40.8780031080329
"ESP","2080","ppbv",37.0612658458186
"FIN","2080","ppbv",25.4854523695266
"FRA","2080","ppbv",33.4374892842486
"GBR","2080","ppbv",31.2455609896144
"GOLF","2080","ppbv",42.9201161841202
"GRC","2080","ppbv",40.5836490826843
"HUN","2080","ppbv",29.3207665946072
"IDN","2080","ppbv",37.2533033142876
"ITA","2080","ppbv",39.1554734795006
"JPN","2080","ppbv",40.7422291167935
"KAZ","2080","ppbv",32.2159342612315
"MEME","2080","ppbv",39.7367612547552
"MEX","2080","ppbv",36.8352771550814
"MON","2080","ppbv",35.1712461399442
"MYS","2080","ppbv",44.164661085329
"NDE","2080","ppbv",64.2827555748668
"NOA","2080","ppbv",41.139259186174
"NOR","2080","ppbv",31.8511882825708
"NZL","2080","ppbv",27.4409430979813
"PAC","2080","ppbv",20.8503390824653
"PHL","2080","ppbv",33.5079463448497
"POL","2080","ppbv",30.82070974293
"RCAM","2080","ppbv",31.4671777657003
"RCEU","2080","ppbv",33.7838155489863
"RCZ","2080","ppbv",30.1299467691187
"RFA","2080","ppbv",30.4764756072322
"RIS","2080","ppbv",40.7147331995382
"ROM","2080","ppbv",30.8846558544929
"RSA","2080","ppbv",33.1158590199595
"RSAM","2080","ppbv",25.3858231087647
"RSAS","2080","ppbv",61.4901360986787
"RSEA","2080","ppbv",44.6091656980049
"RUE","2080","ppbv",26.8417351611756
"RUS","2080","ppbv",29.9662462597696
"SAF","2080","ppbv",31.9511511627874
"SWE","2080","ppbv",31.6711317579267
"THA","2080","ppbv",45.1132418015371
"TUR","2080","ppbv",39.4181091277187
"TWN","2080","ppbv",43.6329736853271
"UKR","2080","ppbv",31.4401144220727
"USA","2080","ppbv",34.5543795515534
"VNM","2080","ppbv",39.3320704639205
"WAF","2080","ppbv",41.9972514336456
