"region","year","units","NAT","PRIM","SEC"
"ARG","2005","ug/m3",1.1627605,3.51817125988599,1.09682060230448
"AUS","2005","ug/m3",3.0052166,1.4092401824653,0.948061158047
"AUT","2005","ug/m3",1.042056,5.30235587690918,5.80711314746022
"BGR","2005","ug/m3",1.8198,4.32196352398369,8.63117094231285
"BLX","2005","ug/m3",1.359324,3.62616732450902,9.09255524662415
"BRA","2005","ug/m3",0.9836504,6.23692450153266,1.72177062230533
"CAN","2005","ug/m3",0.6443542,2.46041523526097,2.75431755252127
"CHE","2005","ug/m3",1.279761,3.64465862311098,6.29441479095761
"CHL","2005","ug/m3",1.6399036,6.93433967223139,6.39729094238261
"CHN","2005","ug/m3",8.789343,10.1016071773646,15.2448748038933
"COR","2005","ug/m3",3.94339,10.9035532262622,11.4590704328367
"EAF","2005","ug/m3",4.871661,6.67437157886389,1.68280883333781
"EGY","2005","ug/m3",9.37511,5.54537165295458,6.35207891776746
"ESP","2005","ug/m3",2.73734,2.82392050180673,5.99875739855424
"FIN","2005","ug/m3",1.2169,1.71960465457028,1.40455644228974
"FRA","2005","ug/m3",1.702553,3.98249647748979,7.57828009205508
"GBR","2005","ug/m3",1.3688009,2.11564004916063,5.94500548784154
"GOLF","2005","ug/m3",28.321611,3.45208425758531,6.45669417257173
"GRC","2005","ug/m3",3.14708,2.00835178104216,6.6009734064208
"HUN","2005","ug/m3",0.921825,5.21015933147093,7.3076100641226
"IDN","2005","ug/m3",2.6008442,5.79934406958763,2.31675077634147
"ITA","2005","ug/m3",2.54789,3.25284557034712,10.1699791674041
"JPN","2005","ug/m3",3.00604,5.36789489195051,9.39795890044096
"KAZ","2005","ug/m3",8.551799,2.44122336340786,3.07903848094599
"MEME","2005","ug/m3",6.24876,1.3060001550369,5.91756709058986
"MEX","2005","ug/m3",1.14416,10.0381038948967,4.67540740820358
"MON","2005","ug/m3",3.991756,3.48141161565915,6.05810861899175
"MYS","2005","ug/m3",1.5224424,4.54259377301706,1.89100821466356
"NDE","2005","ug/m3",4.900028,6.85177963446418,7.08971131110572
"NOA","2005","ug/m3",10.20741,2.94082090682119,4.84286316838996
"NOR","2005","ug/m3",1.6076344,1.17243810922346,1.03377380992825
"NZL","2005","ug/m3",8.42064446,1.9321982399669,1.81286630947178
"PAC","2005","ug/m3",3.28317,0.986315041145243,1.17975408362919
"PHL","2005","ug/m3",1.519072,2.47334900385795,1.70531290197434
"POL","2005","ug/m3",1.10447,3.72515402609258,4.91950738538067
"RCAM","2005","ug/m3",4.03563,3.67405416482395,2.32989161976863
"RCEU","2005","ug/m3",1.787716,3.36762958900327,5.54092628897125
"RCZ","2005","ug/m3",0.922982,5.53836200385035,8.19184454546585
"RFA","2005","ug/m3",1.453758,3.40142544853172,9.09587743122537
"RIS","2005","ug/m3",19.038769,3.96289106853126,6.93963799032039
"ROM","2005","ug/m3",1.339967,5.76070437446442,7.29663329972378
"RSA","2005","ug/m3",2.257584,4.36496561216026,3.30305268278765
"RSAM","2005","ug/m3",1.550796,3.47591835797483,1.83328252737934
"RSAS","2005","ug/m3",5.335336,8.86365794608558,5.38527349201027
"RSEA","2005","ug/m3",1.643699,10.0217392040933,4.20381779464774
"RUE","2005","ug/m3",0.853914,3.66261649763924,2.06962625315859
"RUS","2005","ug/m3",2.525528,3.11404254018298,3.07678800216337
"SAF","2005","ug/m3",1.1167017,4.3857486353074,1.02919987402023
"SWE","2005","ug/m3",1.1669862,1.7102874987011,3.13869433606884
"THA","2005","ug/m3",1.156308,8.56526611997744,5.44069669868151
"TUR","2005","ug/m3",3.003972,1.80699015408987,5.58140166463577
"TWN","2005","ug/m3",3.1639,3.66268574922998,9.90227751801863
"UKR","2005","ug/m3",1.40506,1.44329394031443,4.60563162534751
"USA","2005","ug/m3",1.023426,4.04473373851729,4.13382653858601
"VNM","2005","ug/m3",1.710101,10.2553228713882,5.56081813370744
"WAF","2005","ug/m3",15.776039,5.76664001787469,1.96870801712166
