"region","year","units","NAT","PRIM","SEC"
"ARG","2070","ug/m3",1.1627605,2.42053172908625,1.06511094730836
"AUS","2070","ug/m3",3.0052166,1.00634720185636,0.611878244448567
"AUT","2070","ug/m3",1.042056,0.853516965782128,4.40888895373101
"BGR","2070","ug/m3",1.8198,2.66221464790308,6.91846553208238
"BLX","2070","ug/m3",1.359324,0,5.85564484894926
"BRA","2070","ug/m3",0.9836504,1.79594552524759,1.8556005147862
"CAN","2070","ug/m3",0.6443542,2.04251290947938,2.68670095294028
"CHE","2070","ug/m3",1.279761,1.36973574860759,3.93093395485423
"CHL","2070","ug/m3",1.6399036,0.242353498765964,7.18065778618731
"CHN","2070","ug/m3",8.789343,3.36904342329562,11.8134665791796
"COR","2070","ug/m3",3.94339,0,6.97000714856601
"EAF","2070","ug/m3",4.871661,6.26816449105518,2.79514100828701
"EGY","2070","ug/m3",9.37511,12.1573702881617,5.47869735910179
"ESP","2070","ug/m3",2.73734,2.55340955612507,3.00194161412687
"FIN","2070","ug/m3",1.2169,1.10562244049079,1.12383274119317
"FRA","2070","ug/m3",1.702553,0.436388089739084,3.99637768938056
"GBR","2070","ug/m3",1.3688009,0,3.67872086443433
"GOLF","2070","ug/m3",28.321611,4.58328696714029,5.95585430455984
"GRC","2070","ug/m3",3.14708,1.36405672898306,3.20725211046467
"HUN","2070","ug/m3",0.921825,0.49758496675603,5.99662364232077
"IDN","2070","ug/m3",2.6008442,4.04427121835804,2.67193432004519
"ITA","2070","ug/m3",2.54789,1.24718635875047,5.96374188433882
"JPN","2070","ug/m3",3.00604,1.3792945168645,4.86520455997462
"KAZ","2070","ug/m3",8.551799,1.89489379071058,2.80206130978294
"MEME","2070","ug/m3",6.24876,0.731237633811143,3.88356986640977
"MEX","2070","ug/m3",1.14416,4.47525226294454,3.87385761313999
"MON","2070","ug/m3",3.991756,0.946757295224166,4.15693998343955
"MYS","2070","ug/m3",1.5224424,2.09389862216919,2.09517361787407
"NDE","2070","ug/m3",4.900028,9.17684030275611,24.9199411718216
"NOA","2070","ug/m3",10.20741,3.69342273362014,4.68814941211244
"NOR","2070","ug/m3",1.6076344,0.680233931274504,0.684692991491449
"NZL","2070","ug/m3",8.42064446,4.42025797241873,1.73306301472041
"PAC","2070","ug/m3",3.28317,0.886390545971466,1.25778633222403
"PHL","2070","ug/m3",1.519072,1.4664703087581,1.74167502359322
"POL","2070","ug/m3",1.10447,0.106322223824548,3.94882201111642
"RCAM","2070","ug/m3",4.03563,1.58531482908456,2.0603147843559
"RCEU","2070","ug/m3",1.787716,4.41134956072607,4.57518760158702
"RCZ","2070","ug/m3",0.922982,0.740858604149547,6.83038946959859
"RFA","2070","ug/m3",1.453758,0.420235420250466,5.89126132296101
"RIS","2070","ug/m3",19.038769,0,8.72251847789888
"ROM","2070","ug/m3",1.339967,0.21231609956357,6.12922010913973
"RSA","2070","ug/m3",2.257584,4.67305305618096,3.11784934204219
"RSAM","2070","ug/m3",1.550796,2.95454611513416,1.61929398274671
"RSAS","2070","ug/m3",5.335336,13.2378622700469,18.0783123170756
"RSEA","2070","ug/m3",1.643699,7.57976410529787,7.59754746833514
"RUE","2070","ug/m3",0.853914,2.94500947453704,1.17730381434782
"RUS","2070","ug/m3",2.525528,1.60954205322781,1.93055679415295
"SAF","2070","ug/m3",1.1167017,4.04367013349739,2.5911557166077
"SWE","2070","ug/m3",1.1669862,0.863778269030527,2.07124182928362
"THA","2070","ug/m3",1.156308,6.58101708571568,7.15121086834716
"TUR","2070","ug/m3",3.003972,1.08707463887941,4.79623586508383
"TWN","2070","ug/m3",3.1639,0.0420226894958671,6.16408794294911
"UKR","2070","ug/m3",1.40506,0,3.57210204943206
"USA","2070","ug/m3",1.023426,2.31218656462294,3.5133053930174
"VNM","2070","ug/m3",1.710101,4.76536978771155,3.75258921677501
"WAF","2070","ug/m3",15.776039,6.45255407768193,3.01075808102168
