"region","year","units","value"
"ARG","2040","ppbv",22.6961736626876
"AUS","2040","ppbv",24.5477555794056
"AUT","2040","ppbv",32.0289864613062
"BGR","2040","ppbv",32.1215845718919
"BLX","2040","ppbv",30.557034930281
"BRA","2040","ppbv",29.8210005621679
"CAN","2040","ppbv",29.6333272586713
"CHE","2040","ppbv",34.8370808929284
"CHL","2040","ppbv",26.4914371296603
"CHN","2040","ppbv",39.5753653047761
"COR","2040","ppbv",32.4099746023468
"EAF","2040","ppbv",32.4408860120765
"EGY","2040","ppbv",40.8958032506852
"ESP","2040","ppbv",36.7423637608108
"FIN","2040","ppbv",26.5514861008395
"FRA","2040","ppbv",32.3619430916323
"GBR","2040","ppbv",30.7481480184213
"GOLF","2040","ppbv",44.0211648765687
"GRC","2040","ppbv",40.7400864101052
"HUN","2040","ppbv",28.8105670045172
"IDN","2040","ppbv",38.5163481883488
"ITA","2040","ppbv",38.5393777437828
"JPN","2040","ppbv",40.4384654159774
"KAZ","2040","ppbv",32.7426639206688
"MEME","2040","ppbv",39.7706144895539
"MEX","2040","ppbv",36.7597716963751
"MON","2040","ppbv",37.1447745435287
"MYS","2040","ppbv",47.0675918451201
"NDE","2040","ppbv",64.7007934648649
"NOA","2040","ppbv",40.5158147514108
"NOR","2040","ppbv",31.9797470280313
"NZL","2040","ppbv",26.5610470593392
"PAC","2040","ppbv",20.9384225476343
"PHL","2040","ppbv",35.1519355311509
"POL","2040","ppbv",30.3864811097226
"RCAM","2040","ppbv",32.2644760282711
"RCEU","2040","ppbv",34.0006010643221
"RCZ","2040","ppbv",29.1593905135513
"RFA","2040","ppbv",29.2121481499991
"RIS","2040","ppbv",41.0850086435078
"ROM","2040","ppbv",30.6822026963291
"RSA","2040","ppbv",32.5134168683908
"RSAM","2040","ppbv",26.6135136765126
"RSAS","2040","ppbv",59.2692887318233
"RSEA","2040","ppbv",47.1242172719936
"RUE","2040","ppbv",27.2075969361262
"RUS","2040","ppbv",30.0294689375299
"SAF","2040","ppbv",29.667715749221
"SWE","2040","ppbv",31.7524933528329
"THA","2040","ppbv",47.6007570416641
"TUR","2040","ppbv",39.9045211784787
"TWN","2040","ppbv",46.6308093062991
"UKR","2040","ppbv",31.5139906764524
"USA","2040","ppbv",34.4524941056446
"VNM","2040","ppbv",45.7106695465369
"WAF","2040","ppbv",35.5812941541612
