"region","year","units","value"
"ARG","2050","ppbv",22.4986026969872
"AUS","2050","ppbv",24.5131107570007
"AUT","2050","ppbv",32.3583434104527
"BGR","2050","ppbv",32.114037068519
"BLX","2050","ppbv",31.1266954990579
"BRA","2050","ppbv",29.4940195967344
"CAN","2050","ppbv",29.7232497543324
"CHE","2050","ppbv",35.1466691572919
"CHL","2050","ppbv",26.470305282825
"CHN","2050","ppbv",38.6296801743019
"COR","2050","ppbv",32.1733805765672
"EAF","2050","ppbv",33.1039964910096
"EGY","2050","ppbv",41.0486173435893
"ESP","2050","ppbv",36.8336027573363
"FIN","2050","ppbv",26.2864973318888
"FRA","2050","ppbv",32.7922100780039
"GBR","2050","ppbv",31.0093780699784
"GOLF","2050","ppbv",43.6773389486895
"GRC","2050","ppbv",40.6740339582618
"HUN","2050","ppbv",28.9420361444712
"IDN","2050","ppbv",38.2373767932892
"ITA","2050","ppbv",38.8365795030343
"JPN","2050","ppbv",40.3390744929717
"KAZ","2050","ppbv",32.5734946368469
"MEME","2050","ppbv",39.8238670501551
"MEX","2050","ppbv",36.5829699444629
"MON","2050","ppbv",36.5263959374646
"MYS","2050","ppbv",46.312247166184
"NDE","2050","ppbv",65.5833324615645
"NOA","2050","ppbv",40.6567668759126
"NOR","2050","ppbv",31.9492359462043
"NZL","2050","ppbv",26.6817322201847
"PAC","2050","ppbv",20.9079050952858
"PHL","2050","ppbv",34.5664302535039
"POL","2050","ppbv",30.5348867119294
"RCAM","2050","ppbv",31.8969263459465
"RCEU","2050","ppbv",33.9199216933326
"RCZ","2050","ppbv",29.4605123283157
"RFA","2050","ppbv",29.6055018650071
"RIS","2050","ppbv",40.9710059151098
"ROM","2050","ppbv",30.7249865194387
"RSA","2050","ppbv",32.607995735265
"RSAM","2050","ppbv",26.0660541720626
"RSAS","2050","ppbv",60.1230159294726
"RSEA","2050","ppbv",46.6211005849701
"RUE","2050","ppbv",27.1009954045701
"RUS","2050","ppbv",30.0296865439547
"SAF","2050","ppbv",30.073060561353
"SWE","2050","ppbv",31.7425362286071
"THA","2050","ppbv",46.7466063509956
"TUR","2050","ppbv",39.7364533430899
"TWN","2050","ppbv",45.656863250983
"UKR","2050","ppbv",31.5211471707063
"USA","2050","ppbv",34.5929160675993
"VNM","2050","ppbv",43.3910120060228
"WAF","2050","ppbv",36.7671256724818
