"region","year","units","NAT","PRIM","SEC"
"ARG","2050","ug/m3",1.1627605,2.61546864833535,1.1714078504444
"AUS","2050","ug/m3",3.0052166,1.02893584826118,0.649077513235762
"AUT","2050","ug/m3",1.042056,1.42128522578268,4.61546227138401
"BGR","2050","ug/m3",1.8198,3.17481690066086,7.45455150667621
"BLX","2050","ug/m3",1.359324,0.0958387470487949,6.26283981489057
"BRA","2050","ug/m3",0.9836504,2.31443179264058,2.05109879098434
"CAN","2050","ug/m3",0.6443542,2.89951543598735,2.62838554018509
"CHE","2050","ug/m3",1.279761,1.90094424071767,4.07485442601839
"CHL","2050","ug/m3",1.6399036,2.58128281995427,7.81864706832449
"CHN","2050","ug/m3",8.789343,4.59816873343039,15.0177988905342
"COR","2050","ug/m3",3.94339,0.993301604707271,8.56125944700146
"EAF","2050","ug/m3",4.871661,6.59755156412068,2.6024075070758
"EGY","2050","ug/m3",9.37511,6.70313684211424,6.08093239857268
"ESP","2050","ug/m3",2.73734,3.03844069228089,3.22066146718515
"FIN","2050","ug/m3",1.2169,1.3985617023535,1.16851244568736
"FRA","2050","ug/m3",1.702553,0.681100655506431,4.35582352495071
"GBR","2050","ug/m3",1.3688009,0.105426555608765,3.92045917713752
"GOLF","2050","ug/m3",28.321611,4.3393322573511,6.69215945375817
"GRC","2050","ug/m3",3.14708,1.60076833813998,3.77968180314889
"HUN","2050","ug/m3",0.921825,1.18199934875416,6.37678587823241
"IDN","2050","ug/m3",2.6008442,4.21081047393672,2.97777545245518
"ITA","2050","ug/m3",2.54789,1.57258020232045,6.27016776436285
"JPN","2050","ug/m3",3.00604,2.18029688059,5.59109315018302
"KAZ","2050","ug/m3",8.551799,2.73162625927337,3.18874248733592
"MEME","2050","ug/m3",6.24876,0.710636160315695,4.65307147961418
"MEX","2050","ug/m3",1.14416,4.89484894599995,4.05222442556784
"MON","2050","ug/m3",3.991756,1.38076601390084,5.30632139924664
"MYS","2050","ug/m3",1.5224424,2.5902470399845,2.47250453234609
"NDE","2050","ug/m3",4.900028,11.8915594745313,27.2119773714008
"NOA","2050","ug/m3",10.20741,3.76027732659209,4.71805915518373
"NOR","2050","ug/m3",1.6076344,1.09728339561576,0.700416712587457
"NZL","2050","ug/m3",8.42064446,4.27471752782758,1.69518557236441
"PAC","2050","ug/m3",3.28317,0.908125805861217,1.26504568133659
"PHL","2050","ug/m3",1.519072,1.76091407429427,1.97646320615259
"POL","2050","ug/m3",1.10447,0.644925529866721,4.22202158617706
"RCAM","2050","ug/m3",4.03563,1.81512926769372,2.15182168687931
"RCEU","2050","ug/m3",1.787716,4.1439003419605,4.70219185804789
"RCZ","2050","ug/m3",0.922982,1.44853801773402,7.26091696481983
"RFA","2050","ug/m3",1.453758,0.647624420710079,6.21296862590872
"RIS","2050","ug/m3",19.038769,0.399575079991857,9.40589231144295
"ROM","2050","ug/m3",1.339967,0.60584981059923,6.61246858435548
"RSA","2050","ug/m3",2.257584,4.80406647946726,3.23715570158072
"RSAM","2050","ug/m3",1.550796,3.18894289794458,1.75592922452514
"RSAS","2050","ug/m3",5.335336,14.1024801697542,18.4973847936752
"RSEA","2050","ug/m3",1.643699,8.5170425085519,8.61273792105573
"RUE","2050","ug/m3",0.853914,3.41147113241489,1.42603950926749
"RUS","2050","ug/m3",2.525528,2.3949869600489,2.19214261752613
"SAF","2050","ug/m3",1.1167017,4.22850949991185,1.99927527995392
"SWE","2050","ug/m3",1.1669862,1.16649292141898,2.15943107422372
"THA","2050","ug/m3",1.156308,7.29636256255549,8.26731107554602
"TUR","2050","ug/m3",3.003972,1.2361311530034,5.43021813914299
"TWN","2050","ug/m3",3.1639,0.397292841942967,7.05900182679374
"UKR","2050","ug/m3",1.40506,0,3.90555038477344
"USA","2050","ug/m3",1.023426,2.92019493345114,3.39453836045392
"VNM","2050","ug/m3",1.710101,5.48330587837557,4.64370236712341
"WAF","2050","ug/m3",15.776039,6.44364338766695,2.62878606022036
