"region","year","units","value"
"ARG","2080","ppbv",35.7456898947339
"AUS","2080","ppbv",35.1802915485686
"AUT","2080","ppbv",57.0971535434981
"BGR","2080","ppbv",57.7374343380918
"BLX","2080","ppbv",54.573031478132
"BRA","2080","ppbv",42.6975451709911
"CAN","2080","ppbv",51.8537372684377
"CHE","2080","ppbv",57.1664789497586
"CHL","2080","ppbv",42.287453767494
"CHN","2080","ppbv",54.9006514220231
"COR","2080","ppbv",60.3519147039734
"EAF","2080","ppbv",57.6218373452873
"EGY","2080","ppbv",75.9438845557103
"ESP","2080","ppbv",60.0500494368682
"FIN","2080","ppbv",42.290593983006
"FRA","2080","ppbv",54.5665682392933
"GBR","2080","ppbv",50.0080265000606
"GOLF","2080","ppbv",76.3818251685009
"GRC","2080","ppbv",63.9700314440721
"HUN","2080","ppbv",54.9979919349821
"IDN","2080","ppbv",46.3834914721814
"ITA","2080","ppbv",65.5202670121839
"JPN","2080","ppbv",58.8821565339007
"KAZ","2080","ppbv",49.7135310203728
"MEME","2080","ppbv",68.7063411886456
"MEX","2080","ppbv",61.5053053986352
"MON","2080","ppbv",52.9803922483837
"MYS","2080","ppbv",52.1239427559343
"NDE","2080","ppbv",102.847556591784
"NOA","2080","ppbv",68.0418953376572
"NOR","2080","ppbv",45.2739038955423
"NZL","2080","ppbv",35.5167309895014
"PAC","2080","ppbv",32.6122261812678
"PHL","2080","ppbv",42.2919435347022
"POL","2080","ppbv",51.6093720576269
"RCAM","2080","ppbv",46.7237684816898
"RCEU","2080","ppbv",59.9867551731045
"RCZ","2080","ppbv",54.8463827787828
"RFA","2080","ppbv",54.6525031808276
"RIS","2080","ppbv",60.7749748773945
"ROM","2080","ppbv",54.7645754862108
"RSA","2080","ppbv",50.4169726911915
"RSAM","2080","ppbv",39.8770764579112
"RSAS","2080","ppbv",94.0444677866499
"RSEA","2080","ppbv",68.5864053039791
"RUE","2080","ppbv",39.6384202888611
"RUS","2080","ppbv",48.3682180183671
"SAF","2080","ppbv",56.1724844599243
"SWE","2080","ppbv",47.1442957604785
"THA","2080","ppbv",59.8336176681567
"TUR","2080","ppbv",63.1388795099756
"TWN","2080","ppbv",59.9819634098307
"UKR","2080","ppbv",51.2921804079835
"USA","2080","ppbv",61.4071087751915
"VNM","2080","ppbv",50.7134352538318
"WAF","2080","ppbv",74.3275059034807
