"region","year","units","NAT","PRIM","SEC"
"ARG","2040","ug/m3",1.1627605,2.79062098387247,1.22956935126427
"AUS","2040","ug/m3",3.0052166,0.973205913714414,0.677187146254007
"AUT","2040","ug/m3",1.042056,1.95297807048083,4.64346626706349
"BGR","2040","ug/m3",1.8198,3.6701198302492,7.67139852085139
"BLX","2040","ug/m3",1.359324,0.269472966349961,6.42256588843233
"BRA","2040","ug/m3",0.9836504,2.48031726584344,2.13013079923159
"CAN","2040","ug/m3",0.6443542,3.07992170366424,2.50799203424502
"CHE","2040","ug/m3",1.279761,2.04481680802766,4.15193365528456
"CHL","2040","ug/m3",1.6399036,3.91275475765789,7.91747398367267
"CHN","2040","ug/m3",8.789343,5.41677168452479,16.6112263913227
"COR","2040","ug/m3",3.94339,2.3997174101512,9.36796012855008
"EAF","2040","ug/m3",4.871661,6.67982966629902,2.4878074871573
"EGY","2040","ug/m3",9.37511,5.81671448919634,6.27081906094748
"ESP","2040","ug/m3",2.73734,3.31224760420015,3.29791296122524
"FIN","2040","ug/m3",1.2169,1.60483233173394,1.16288305555233
"FRA","2040","ug/m3",1.702553,0.835843450546352,4.5707862079226
"GBR","2040","ug/m3",1.3688009,0.205846152331302,3.99997658462979
"GOLF","2040","ug/m3",28.321611,4.47764936075488,7.01827674456406
"GRC","2040","ug/m3",3.14708,1.80774280831506,4.19134438914449
"HUN","2040","ug/m3",0.921825,1.86692071506413,6.42735206384329
"IDN","2040","ug/m3",2.6008442,4.31178489361031,3.07554099497914
"ITA","2040","ug/m3",2.54789,1.74509165292471,6.43775640092543
"JPN","2040","ug/m3",3.00604,2.61139058771519,5.99870859444683
"KAZ","2040","ug/m3",8.551799,3.34110591345863,3.33091557151939
"MEME","2040","ug/m3",6.24876,0.898587415223478,5.12635051736122
"MEX","2040","ug/m3",1.14416,5.08041029603822,4.12254744731764
"MON","2040","ug/m3",3.991756,1.66998225059792,5.89760089969509
"MYS","2040","ug/m3",1.5224424,2.83236056365241,2.6176578583966
"NDE","2040","ug/m3",4.900028,13.3453790875419,26.635631258948
"NOA","2040","ug/m3",10.20741,3.7800001043206,4.62781101800896
"NOR","2040","ug/m3",1.6076344,1.28665566727596,0.698838628500272
"NZL","2040","ug/m3",8.42064446,4.54438825153312,1.61996333051981
"PAC","2040","ug/m3",3.28317,0.918700915890165,1.25523294852136
"PHL","2040","ug/m3",1.519072,1.92972853327154,2.08473436721537
"POL","2040","ug/m3",1.10447,1.14062020838052,4.20323973265316
"RCAM","2040","ug/m3",4.03563,1.95425995793002,2.22342260749189
"RCEU","2040","ug/m3",1.787716,3.99798091370845,4.83529700780878
"RCZ","2040","ug/m3",0.922982,2.14435619163546,7.22455815327777
"RFA","2040","ug/m3",1.453758,0.824444007798049,6.30910281519345
"RIS","2040","ug/m3",19.038769,1.12640238858671,9.31946828802681
"ROM","2040","ug/m3",1.339967,1.15482891776425,6.70606466836889
"RSA","2040","ug/m3",2.257584,4.94062314863264,3.29863241892226
"RSAM","2040","ug/m3",1.550796,3.24178885919565,1.85995830327417
"RSAS","2040","ug/m3",5.335336,14.5130261316604,17.8490834915361
"RSEA","2040","ug/m3",1.643699,8.95106821802232,8.77845835158552
"RUE","2040","ug/m3",0.853914,3.56840429969264,1.56320421138903
"RUS","2040","ug/m3",2.525528,2.68723007852499,2.31213832155947
"SAF","2040","ug/m3",1.1167017,4.28837812863174,1.65737448607966
"SWE","2040","ug/m3",1.1669862,1.3483417965882,2.16159469232349
"THA","2040","ug/m3",1.156308,7.58705448994088,8.59710772973244
"TUR","2040","ug/m3",3.003972,1.34322624783189,5.67215912313688
"TWN","2040","ug/m3",3.1639,0.788981177148352,7.6843922908166
"UKR","2040","ug/m3",1.40506,0.149147915595726,4.01392446199863
"USA","2040","ug/m3",1.023426,3.11416849415886,3.21079587935324
"VNM","2040","ug/m3",1.710101,6.27053210927888,5.35468684465616
"WAF","2040","ug/m3",15.776039,6.27153374685928,2.43520573123321
