"region","year","units","value"
"ARG","2010","ppbv",23.3745259158938
"AUS","2010","ppbv",24.8075406086461
"AUT","2010","ppbv",29.9921747282494
"BGR","2010","ppbv",32.3785305475808
"BLX","2010","ppbv",24.1559851206569
"BRA","2010","ppbv",30.3566148045369
"CAN","2010","ppbv",29.2660054096342
"CHE","2010","ppbv",31.9987317020601
"CHL","2010","ppbv",26.4861597354996
"CHN","2010","ppbv",43.0591043957372
"COR","2010","ppbv",29.4452742595174
"EAF","2010","ppbv",31.2339125721429
"EGY","2010","ppbv",40.6857184450611
"ESP","2010","ppbv",36.4230776477632
"FIN","2010","ppbv",25.4692758739551
"FRA","2010","ppbv",29.7358715169326
"GBR","2010","ppbv",25.8704384845489
"GOLF","2010","ppbv",44.9484688610778
"GRC","2010","ppbv",41.7581318460153
"HUN","2010","ppbv",28.1369534023824
"IDN","2010","ppbv",37.9126334863861
"ITA","2010","ppbv",36.8541120354375
"JPN","2010","ppbv",39.807338936129
"KAZ","2010","ppbv",33.6000831458533
"MEME","2010","ppbv",40.700175069495
"MEX","2010","ppbv",38.0388870228298
"MON","2010","ppbv",39.6041962460326
"MYS","2010","ppbv",48.1926297546421
"NDE","2010","ppbv",47.4226999546239
"NOA","2010","ppbv",40.6452605818077
"NOR","2010","ppbv",31.7801089916014
"NZL","2010","ppbv",27.5400048161179
"PAC","2010","ppbv",21.0495479522497
"PHL","2010","ppbv",36.8997303560959
"POL","2010","ppbv",29.3234811331038
"RCAM","2010","ppbv",33.4737703408283
"RCEU","2010","ppbv",34.9364367882422
"RCZ","2010","ppbv",27.1686756956331
"RFA","2010","ppbv",24.4960534722773
"RIS","2010","ppbv",41.577521935566
"ROM","2010","ppbv",30.6712803171092
"RSA","2010","ppbv",32.5211995610893
"RSAM","2010","ppbv",28.5877227228649
"RSAS","2010","ppbv",45.6817094048026
"RSEA","2010","ppbv",44.5744517168715
"RUE","2010","ppbv",27.6532995928526
"RUS","2010","ppbv",29.8813555137836
"SAF","2010","ppbv",29.0386192915029
"SWE","2010","ppbv",31.2567903838354
"THA","2010","ppbv",48.5390310387941
"TUR","2010","ppbv",41.3822583579987
"TWN","2010","ppbv",49.8536031255886
"UKR","2010","ppbv",31.5913065194296
"USA","2010","ppbv",33.407622551543
"VNM","2010","ppbv",49.4058266193882
"WAF","2010","ppbv",32.9924572818963
