"region","year","units","value"
"ARG","2040","ppbv",35.9193523287595
"AUS","2040","ppbv",34.8787203536267
"AUT","2040","ppbv",57.6190806046858
"BGR","2040","ppbv",58.3348752908998
"BLX","2040","ppbv",53.6669653499278
"BRA","2040","ppbv",43.7707937236759
"CAN","2040","ppbv",51.5916036283855
"CHE","2040","ppbv",57.8550158103723
"CHL","2040","ppbv",42.0515222595591
"CHN","2040","ppbv",60.3888070848449
"COR","2040","ppbv",62.6142182117784
"EAF","2040","ppbv",50.5668284658364
"EGY","2040","ppbv",75.084608495674
"ESP","2040","ppbv",59.9275108677341
"FIN","2040","ppbv",42.7488039346961
"FRA","2040","ppbv",54.891881034796
"GBR","2040","ppbv",49.4052297340984
"GOLF","2040","ppbv",78.7337166176068
"GRC","2040","ppbv",64.4540896832742
"HUN","2040","ppbv",55.6375820565783
"IDN","2040","ppbv",47.2574747619184
"ITA","2040","ppbv",66.4655427872443
"JPN","2040","ppbv",58.7514404125849
"KAZ","2040","ppbv",50.4907551782581
"MEME","2040","ppbv",70.1916955671385
"MEX","2040","ppbv",60.3121732939399
"MON","2040","ppbv",56.7959917419016
"MYS","2040","ppbv",55.2754448136142
"NDE","2040","ppbv",103.699380732845
"NOA","2040","ppbv",65.58290040514
"NOR","2040","ppbv",45.3195687750934
"NZL","2040","ppbv",34.7878273334869
"PAC","2040","ppbv",32.2137847045184
"PHL","2040","ppbv",43.2116220548733
"POL","2040","ppbv",51.8338037516576
"RCAM","2040","ppbv",47.4985897473546
"RCEU","2040","ppbv",60.0337327817659
"RCZ","2040","ppbv",54.9707802616986
"RFA","2040","ppbv",54.2902280913913
"RIS","2040","ppbv",62.7851017665717
"ROM","2040","ppbv",55.5350269168673
"RSA","2040","ppbv",49.7321052117196
"RSAM","2040","ppbv",40.1145091554779
"RSAS","2040","ppbv",88.643914379744
"RSEA","2040","ppbv",71.1391715856017
"RUE","2040","ppbv",40.4352840907065
"RUS","2040","ppbv",49.0791692317164
"SAF","2040","ppbv",50.6219280131537
"SWE","2040","ppbv",46.9416032855299
"THA","2040","ppbv",63.0659525202308
"TUR","2040","ppbv",64.399057445478
"TWN","2040","ppbv",63.0953750217121
"UKR","2040","ppbv",52.1808980711909
"USA","2040","ppbv",60.8263775468407
"VNM","2040","ppbv",54.471459170064
"WAF","2040","ppbv",60.4269863379552
