"region","year","units","value"
"ARG","2030","ppbv",36.4146136481623
"AUS","2030","ppbv",34.8120101617465
"AUT","2030","ppbv",58.1726505097551
"BGR","2030","ppbv",59.0095885233884
"BLX","2030","ppbv",53.0138177484581
"BRA","2030","ppbv",44.6476357405561
"CAN","2030","ppbv",51.5921001683291
"CHE","2030","ppbv",58.5481835335519
"CHL","2030","ppbv",42.1012866764733
"CHN","2030","ppbv",62.6377162816826
"COR","2030","ppbv",62.799563085472
"EAF","2030","ppbv",49.4367561861984
"EGY","2030","ppbv",74.5367913800981
"ESP","2030","ppbv",60.4241385807735
"FIN","2030","ppbv",42.95010003339
"FRA","2030","ppbv",55.2532536164075
"GBR","2030","ppbv",48.7130897763545
"GOLF","2030","ppbv",81.1947398400369
"GRC","2030","ppbv",65.201184009211
"HUN","2030","ppbv",56.2861962395981
"IDN","2030","ppbv",47.1109398126841
"ITA","2030","ppbv",67.5168614815257
"JPN","2030","ppbv",59.176782750466
"KAZ","2030","ppbv",50.9849804906392
"MEME","2030","ppbv",71.3299057028864
"MEX","2030","ppbv",61.0444238809705
"MON","2030","ppbv",58.338993636278
"MYS","2030","ppbv",54.7351427275712
"NDE","2030","ppbv",98.8117724660537
"NOA","2030","ppbv",65.1423241238738
"NOR","2030","ppbv",45.5617969754978
"NZL","2030","ppbv",34.7520846076142
"PAC","2030","ppbv",31.9348711673659
"PHL","2030","ppbv",43.4204906356063
"POL","2030","ppbv",52.2041695534634
"RCAM","2030","ppbv",48.0036796718929
"RCEU","2030","ppbv",60.6015057521648
"RCZ","2030","ppbv",55.2888073387199
"RFA","2030","ppbv",54.3100749975061
"RIS","2030","ppbv",63.9093651544277
"ROM","2030","ppbv",56.1730021806951
"RSA","2030","ppbv",50.00232758129
"RSAM","2030","ppbv",39.7312711957809
"RSAS","2030","ppbv",85.1954825711676
"RSEA","2030","ppbv",70.9383522209105
"RUE","2030","ppbv",40.9562878837071
"RUS","2030","ppbv",49.630741670407
"SAF","2030","ppbv",49.7797325745202
"SWE","2030","ppbv",47.0772353000065
"THA","2030","ppbv",64.2859809465443
"TUR","2030","ppbv",65.489995326284
"TWN","2030","ppbv",64.358938503253
"UKR","2030","ppbv",52.7829620673334
"USA","2030","ppbv",60.9375329804433
"VNM","2030","ppbv",56.0547513095861
"WAF","2030","ppbv",57.8443403763727
