"region","year","units","value"
"ARG","2020","ppbv",23.4391620345442
"AUS","2020","ppbv",24.7717877216648
"AUT","2020","ppbv",31.0003381305826
"BGR","2020","ppbv",32.3227717055862
"BLX","2020","ppbv",27.9907507799863
"BRA","2020","ppbv",31.0093341885501
"CAN","2020","ppbv",29.4356931859722
"CHE","2020","ppbv",33.8452522115867
"CHL","2020","ppbv",26.5791424887002
"CHN","2020","ppbv",43.0161301693444
"COR","2020","ppbv",31.4626780912802
"EAF","2020","ppbv",31.4906980965506
"EGY","2020","ppbv",40.9406855732059
"ESP","2020","ppbv",36.7035936996118
"FIN","2020","ppbv",26.1183383359861
"FRA","2020","ppbv",31.1263296515089
"GBR","2020","ppbv",28.8349899313351
"GOLF","2020","ppbv",45.7213154042994
"GRC","2020","ppbv",41.5638259273128
"HUN","2020","ppbv",28.4537496992887
"IDN","2020","ppbv",38.3607349035293
"ITA","2020","ppbv",37.8627886130396
"JPN","2020","ppbv",40.7098508608627
"KAZ","2020","ppbv",33.5898837916085
"MEME","2020","ppbv",40.4342533558977
"MEX","2020","ppbv",37.770871370626
"MON","2020","ppbv",39.5154816024612
"MYS","2020","ppbv",47.4504827621631
"NDE","2020","ppbv",56.4926849539454
"NOA","2020","ppbv",40.5647609678886
"NOR","2020","ppbv",32.2210986813167
"NZL","2020","ppbv",27.0882200923547
"PAC","2020","ppbv",20.9171089223005
"PHL","2020","ppbv",36.5168009131711
"POL","2020","ppbv",29.8037683815086
"RCAM","2020","ppbv",33.122622081282
"RCEU","2020","ppbv",34.5659875187141
"RCZ","2020","ppbv",28.149887877097
"RFA","2020","ppbv",27.1818870600115
"RIS","2020","ppbv",41.7200427228856
"ROM","2020","ppbv",30.7223692528849
"RSA","2020","ppbv",32.5819724092673
"RSAM","2020","ppbv",27.6600649451048
"RSAS","2020","ppbv",53.0216018135546
"RSEA","2020","ppbv",46.4866612816718
"RUE","2020","ppbv",27.6959958680363
"RUS","2020","ppbv",30.0273473624806
"SAF","2020","ppbv",29.158053958961
"SWE","2020","ppbv",31.7330422797806
"THA","2020","ppbv",48.7680441968148
"TUR","2020","ppbv",40.9144418119931
"TWN","2020","ppbv",50.0089621483084
"UKR","2020","ppbv",31.7398878988304
"USA","2020","ppbv",34.3759664174566
"VNM","2020","ppbv",51.0333345114478
"WAF","2020","ppbv",33.6217254987518
