"region","year","units","NAT","PRIM","SEC"
"ARG","2010","ug/m3",1.1627605,4.24123116905314,1.3151908415652
"AUS","2010","ug/m3",3.0052166,1.6381648385388,0.947630941563394
"AUT","2010","ug/m3",1.042056,6.39489487424378,5.83716295414303
"BGR","2010","ug/m3",1.8198,6.45497051288825,9.06714678244322
"BLX","2010","ug/m3",1.359324,3.85588695468363,8.61453659196407
"BRA","2010","ug/m3",0.9836504,3.88972076898605,1.94615775011076
"CAN","2010","ug/m3",0.6443542,2.53453664968289,2.71948397703046
"CHE","2010","ug/m3",1.279761,4.93042210330318,6.12444774759995
"CHL","2010","ug/m3",1.6399036,8.38964043400969,7.20575295638086
"CHN","2010","ug/m3",8.789343,11.6944009640998,21.4672240411022
"COR","2010","ug/m3",3.94339,13.5868714548279,13.3879507936588
"EAF","2010","ug/m3",4.871661,6.97826915079514,1.99779772072181
"EGY","2010","ug/m3",9.37511,6.13803121917611,6.93698482716168
"ESP","2010","ug/m3",2.73734,3.91507218227266,5.59152475362832
"FIN","2010","ug/m3",1.2169,2.42129784266434,1.43376505638071
"FRA","2010","ug/m3",1.702553,4.52970219511511,7.20759109518382
"GBR","2010","ug/m3",1.3688009,2.32171306430768,5.54367177881261
"GOLF","2010","ug/m3",28.321611,4.61271685389834,8.06795111660461
"GRC","2010","ug/m3",3.14708,2.82895006065497,6.70159180923059
"HUN","2010","ug/m3",0.921825,6.69860174707961,7.57509298691545
"IDN","2010","ug/m3",2.6008442,5.98849670067114,2.53223004264093
"ITA","2010","ug/m3",2.54789,3.88089306560815,9.64184936569104
"JPN","2010","ug/m3",3.00604,6.20403409124191,9.36052990529033
"KAZ","2010","ug/m3",8.551799,8.29928138123351,3.66323653632797
"MEME","2010","ug/m3",6.24876,2.02302329289757,7.06828227214311
"MEX","2010","ug/m3",1.14416,3.83923735175509,4.52608189199918
"MON","2010","ug/m3",3.991756,4.98624040532012,8.06359940720579
"MYS","2010","ug/m3",1.5224424,5.22077265547459,2.34773873597406
"NDE","2010","ug/m3",4.900028,12.0693822667833,10.3167447577092
"NOA","2010","ug/m3",10.20741,3.21965706333122,4.93842848233511
"NOR","2010","ug/m3",1.6076344,2.13723675958341,1.04548461467747
"NZL","2010","ug/m3",8.42064446,2.72760164595515,1.88127778806038
"PAC","2010","ug/m3",3.28317,1.01936910212888,1.2159996367855
"PHL","2010","ug/m3",1.519072,2.88197416052075,2.07898929573614
"POL","2010","ug/m3",1.10447,5.9106080547431,5.09415324781129
"RCAM","2010","ug/m3",4.03563,2.32035837277709,2.40096883524729
"RCEU","2010","ug/m3",1.787716,3.76555921554502,5.83112425078135
"RCZ","2010","ug/m3",0.922982,7.14503038620396,8.42476587471741
"RFA","2010","ug/m3",1.453758,3.83489821418366,8.82228288880022
"RIS","2010","ug/m3",19.038769,21.394778686132,8.38721713313977
"ROM","2010","ug/m3",1.339967,6.85009065324742,7.79406892776252
"RSA","2010","ug/m3",2.257584,4.87170291057926,3.53752469379067
"RSAM","2010","ug/m3",1.550796,3.77877748207832,2.10875461973814
"RSAS","2010","ug/m3",5.335336,12.4492069018577,7.69715637050818
"RSEA","2010","ug/m3",1.643699,12.1369189799871,5.89991149746294
"RUE","2010","ug/m3",0.853914,4.23434336231412,2.29060973685905
"RUS","2010","ug/m3",2.525528,3.88951614595258,3.2742283216982
"SAF","2010","ug/m3",1.1167017,4.60333095376964,1.06911004755037
"SWE","2010","ug/m3",1.1669862,2.43413135591093,3.09585997161115
"THA","2010","ug/m3",1.156308,10.1933356098094,7.42573411952869
"TUR","2010","ug/m3",3.003972,2.23960053749223,6.6980967152324
"TWN","2010","ug/m3",3.1639,4.53478012632124,11.0719635660751
"UKR","2010","ug/m3",1.40506,4.99497280378448,5.07237846017273
"USA","2010","ug/m3",1.023426,3.98725889747268,4.03157091123079
"VNM","2010","ug/m3",1.710101,12.2873033725647,7.19407477898795
"WAF","2010","ug/m3",15.776039,5.84054699819506,2.13819325675073
