region,RESP
AUT,7.800879199
CHE,7.800879199
BLX,7.800879199
ESP,7.800879199
FIN,7.800879199
FRA,7.800879199
GBR,7.800879199
GRC,7.800879199
ITA,7.800879199
RFA,7.800879199
SWE,7.800879199
TUR,9.780906276
NOR,7.800879199
BGR,9.780906276
HUN,10.9083559
POL,9.780906276
RCEU,9.780906276
RCZ,7.800879199
ROM,9.780906276
MEME,7.800879199
NOA,12.72453097
EGY,12.50827444
GOLF,10.66618972
WAF,12.72453097
EAF,12.94490286
SAF,12.94490286
RSA,12.94490286
KAZ,10.9083559
RIS,9.780906276
RUS,9.780906276
RUE,9.780906276
UKR,10.9083559
COR,8.924470927
JPN,6.918485796
AUS,6.918485796
NZL,6.918485796
PAC,8.924470927
MON,12.70984292
CHN,8.924470927
TWN,8.924470927
RSAS,12.50827444
NDE,12.70984292
IDN,11.21767395
THA,11.21767395
MYS,6.918485796
PHL,8.924470927
VNM,8.924470927
RSEA,8.924470927
CAN,8.499686215
USA,8.499686215
BRA,8.897647366
MEX,8.897647366
RCAM,8.897647366
CHL,8.897647366
ARG,8.897647366
RSAM,8.622294619
