PM,MED,95CL_L,95CL_H
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1.000911367,1.000046668,1.009269632
7,1.007630883,1.001095537,1.03282767
8,1.015718904,1.003181608,1.050630728
9,1.02430818,1.006129885,1.067154402
10,1.033707552,1.009889127,1.082177645
11,1.043304446,1.014055864,1.095911257
12,1.052985558,1.018897711,1.109825389
13,1.062868586,1.024224804,1.123200622
14,1.07367505,1.030068913,1.136848468
15,1.08411903,1.036381838,1.149735979
16,1.094888482,1.043149232,1.162337329
17,1.105660655,1.050362762,1.173577811
18,1.11614535,1.057277218,1.185005771
19,1.127091605,1.063602466,1.196607218
20,1.138271909,1.071935034,1.207530968
21,1.148913276,1.080509409,1.219310341
22,1.159598111,1.087649776,1.231611589
23,1.170632263,1.097064754,1.245979603
24,1.182208864,1.106786837,1.261459203
25,1.193409937,1.115073361,1.273382369
26,1.204255536,1.123684642,1.287423475
27,1.215224919,1.133553021,1.301846837
28,1.226421882,1.143367018,1.317797478
29,1.237976233,1.152768643,1.330004501
30,1.250868405,1.160767555,1.347780184
31,1.262883924,1.170626041,1.363528196
32,1.27439123,1.177540961,1.381384478
33,1.286092672,1.185104382,1.39628511
34,1.298089439,1.193354209,1.411916743
35,1.309805466,1.199691499,1.427471398
36,1.320746977,1.205828016,1.443314926
37,1.331678689,1.212439514,1.461756493
38,1.343583316,1.218662789,1.475598118
39,1.355649174,1.225472882,1.493383429
40,1.366982104,1.23073872,1.511168362
41,1.378123644,1.239019631,1.528878796
42,1.38994504,1.245166069,1.549581173
43,1.400931845,1.250318346,1.567829783
44,1.412259101,1.255961416,1.587354274
45,1.42326976,1.263558538,1.608187296
46,1.43477858,1.271198979,1.627715698
47,1.446015276,1.277038725,1.645638513
48,1.457752069,1.282179391,1.664644684
49,1.469782404,1.286565169,1.682606671
50,1.481762818,1.291331271,1.701743756
51,1.493501525,1.296138872,1.720046268
52,1.504464599,1.303309958,1.740041346
53,1.515500319,1.309453956,1.758783757
54,1.526736304,1.3162221,1.778464742
55,1.537482019,1.320983709,1.798976027
56,1.548763321,1.325716219,1.817707394
57,1.560104101,1.330445147,1.836112701
58,1.571922562,1.335171418,1.854712253
59,1.582460988,1.3403523,1.87365544
60,1.593225621,1.346151396,1.893649342
61,1.602973119,1.349996969,1.912888822
62,1.613767609,1.353813314,1.932061179
63,1.625185752,1.35822169,1.952326071
64,1.637652129,1.362734681,1.973831082
65,1.647558882,1.36722372,1.991853008
66,1.657802718,1.371689272,2.009835063
67,1.668007371,1.376131786,2.027775513
68,1.678287617,1.380556058,2.045988801
69,1.689376007,1.384990943,2.063524952
70,1.700311093,1.389404245,2.081068475
71,1.710972674,1.393796345,2.098376799
72,1.721632998,1.398167614,2.115588749
73,1.731772701,1.402518407,2.132702469
74,1.74297536,1.407924534,2.150177233
75,1.753124066,1.414324084,2.169096504
76,1.76366008,1.420727905,2.188550075
77,1.774305542,1.426476166,2.207851809
78,1.784530338,1.430621272,2.226899861
79,1.794697929,1.434747529,2.245787213
80,1.804901342,1.438855253,2.264509657
81,1.81569417,1.442944749,2.2830632
82,1.826721228,1.447016316,2.301444058
83,1.837073716,1.451070241,2.320329794
84,1.846659212,1.455079979,2.340245988
85,1.856357466,1.459063568,2.359986641
86,1.866165577,1.463030191,2.377319983
87,1.874964709,1.466980108,2.393155482
88,1.884098051,1.470963316,2.41113021
89,1.892926515,1.475968231,2.428285444
90,1.901668199,1.481583681,2.447246079
91,1.910363572,1.487183455,2.46600615
92,1.91865237,1.491452029,2.484091428
93,1.927375835,1.49461299,2.501483442
94,1.936565467,1.497755625,2.517430228
95,1.945518719,1.500880215,2.5316513
96,1.954423787,1.503987036,2.5456088
97,1.963930876,1.50708512,2.560672871
98,1.973289603,1.510521206,2.573926669
99,1.982972203,1.514912532,2.593134542
100,1.991973788,1.518927951,2.612299436
101,2.000804673,1.52312547,2.630932893
102,2.009842291,1.527307438,2.644960274
103,2.018216873,1.531474443,2.658868598
104,2.026291878,1.535640017,2.672627815
105,2.034721133,1.539790461,2.688261602
106,2.042538848,1.543925899,2.704704105
107,2.050810252,1.548046448,2.720993287
108,2.058441926,1.551885165,2.734963364
109,2.066751977,1.554954584,2.752672242
110,2.074745099,1.558007862,2.769189901
111,2.082396983,1.561045199,2.783171703
112,2.089717426,1.564066788,2.79443783
113,2.097792506,1.567072819,2.804318784
114,2.105754646,1.570063477,2.813997829
115,2.113746135,1.573038944,2.823477276
116,2.122612554,1.575999399,2.834413704
117,2.130347113,1.579270935,2.849021143
118,2.1375446,1.582802431,2.863549596
119,2.144690413,1.586327846,2.877998937
120,2.152213479,1.589860373,2.892369053
121,2.16008651,1.593382037,2.906095291
122,2.16789207,1.596892951,2.919887073
123,2.175324701,1.600393227,2.934210482
124,2.182811597,1.603882975,2.944689871
125,2.190071789,1.60759445,2.955018917
126,2.197021211,1.611313114,2.965198752
127,2.204442302,1.615018005,2.975230532
128,2.212606285,1.618709211,2.985634677
129,2.220585215,1.622386823,2.996453603
130,2.226783972,1.626050926,3.007157716
131,2.23400049,1.629701607,3.01940033
132,2.241184989,1.633338951,3.033784452
133,2.248337633,1.636963043,3.048034949
134,2.253895329,1.640573964,3.06103937
135,2.260845252,1.644171797,3.069923901
136,2.267762416,1.647756623,3.078612639
137,2.274646993,1.651328522,3.087200747
138,2.281499155,1.654887572,3.098444746
139,2.288319071,1.658229536,3.109571632
140,2.294419253,1.661380444,3.120581904
141,2.299712472,1.664085608,3.131476078
142,2.306028247,1.666350333,3.142254685
143,2.31084113,1.668598555,3.150999122
144,2.31658987,1.671879924,3.158821199
145,2.323278566,1.675325657,3.166457409
146,2.33005667,1.678761928,3.173818096
147,2.336816093,1.682188806,3.182723773
148,2.343768213,1.685606358,3.190208143
149,2.351131378,1.689014651,3.195457806
150,2.358450155,1.691986942,3.201637627
151,2.365441048,1.695300229,3.207265979
152,2.371809791,1.69840576,3.214654747
153,2.37797267,1.701428283,3.220975566
154,2.382977243,1.704441495,3.227145706
155,2.387560105,1.70744547,3.233167642
156,2.392620831,1.710391761,3.23904385
157,2.397692451,1.713478489,3.244776801
158,2.403309554,1.716755662,3.250368967
159,2.40913892,1.719924285,3.255822814
160,2.415079063,1.723085347,3.261215624
161,2.421551008,1.726238909,3.268847045
162,2.427435462,1.72938503,3.276390775
163,2.432811413,1.732523766,3.283847541
164,2.437632796,1.735655176,3.291218072
165,2.443238052,1.738779315,3.298503096
166,2.448549039,1.741896239,3.305703341
167,2.454240279,1.745006003,3.312819534
168,2.459894526,1.747561588,3.319852403
169,2.465522844,1.749653051,3.326802673
170,2.4710928,1.751735588,3.333671069
171,2.476637207,1.754218513,3.340458316
172,2.48214538,1.757050033,3.347165135
173,2.487473221,1.759873447,3.354066434
174,2.491532009,1.762688814,3.361412069
175,2.496412363,1.76549619,3.368659529
176,2.500701357,1.768307236,3.375809652
177,2.504908792,1.771132087,3.383944406
178,2.509292587,1.773949177,3.393891856
179,2.514388448,1.776758559,3.403767054
180,2.519726566,1.779311337,3.413570208
181,2.52413537,1.781581971,3.421373165
182,2.52922494,1.784301,3.427342273
183,2.534430096,1.787572668,3.433237846
184,2.538339715,1.79062534,3.439060599
185,2.542297241,1.793362197,3.444811243
186,2.545652032,1.796091528,3.450490488
187,2.548958889,1.798813383,3.458925606
188,2.552267129,1.801527812,3.469356462
189,2.55705197,1.804235105,3.479736196
190,2.561829019,1.806960305,3.490041141
191,2.56614045,1.809678338,3.500137705
192,2.567529151,1.812178476,3.51018351
193,2.570659524,1.814362245,3.513281981
194,2.575270175,1.816539444,3.51518121
195,2.580287647,1.818710123,3.517021454
196,2.583339236,1.820990026,3.5187038
197,2.585867407,1.824063802,3.520247623
198,2.590407256,1.827130286,3.521736954
199,2.592892968,1.830189509,3.523173439
200,2.59425539,1.833241505,3.524558685
201,2.597899884,1.836286305,3.526434742
202,2.602283814,1.838969047,3.531138335
203,2.605633601,1.841580537,3.535929021
204,2.608253994,1.84418544,3.540646274
205,2.612363896,1.846783798,3.545290953
206,2.616070225,1.84937565,3.549863914
207,2.620048768,1.851961034,3.554366007
208,2.622392286,1.854539989,3.55879808
209,2.624904214,1.857112554,3.563160977
210,2.628651264,1.859678765,3.567455534
211,2.631161701,1.86223866,3.572273747
212,2.634176915,1.864792277,3.577310144
213,2.638560666,1.867339652,3.5822802
214,2.642912043,1.86988082,3.584846989
215,2.647208167,1.872415818,3.588077102
216,2.650406734,1.874944681,3.592061843
217,2.652818694,1.877245779,3.595983522
218,2.656689415,1.879403553,3.599842926
219,2.660921939,1.881551457,3.603640834
220,2.665788353,1.883689548,3.607378025
221,2.669764072,1.88581788,3.611055269
222,2.673589687,1.887936509,3.614673332
223,2.677533258,1.89004549,3.618232975
224,2.680215926,1.892144877,3.621716444
225,2.682193786,1.894234724,3.625073198
226,2.685673517,1.896315084,3.628374552
227,2.687099973,1.898386009,3.632104093
228,2.688937676,1.900447554,3.635854214
229,2.692740636,1.902499769,3.638112154
230,2.695721923,1.904542707,3.641316087
231,2.699450786,1.90657642,3.644467489
232,2.702148468,1.908600957,3.647567065
233,2.704494752,1.91061637,3.650615516
234,2.706535669,1.91262271,3.653613536
235,2.709557001,1.914620026,3.656561813
236,2.712901836,1.916608367,3.65946103
237,2.716111431,1.918587783,3.662311863
238,2.718374048,1.920558323,3.665114982
239,2.72061342,1.922520035,3.667841515
240,2.721751864,1.924472967,3.670519001
241,2.723486496,1.926417168,3.673150789
242,2.726628976,1.928352684,3.675737529
243,2.72976427,1.930279562,3.678279866
244,2.732430446,1.93219785,3.680778435
245,2.735929098,1.934107594,3.684444501
246,2.739951715,1.93600884,3.690072016
247,2.743023481,1.937901634,3.695634089
248,2.745760728,1.939786021,3.701151563
249,2.749528952,1.941662046,3.706624703
250,2.752841736,1.943529754,3.712053775
251,2.754856818,1.94538919,3.717439045
252,2.756838101,1.947240398,3.72277019
253,2.757590392,1.949083421,3.724094831
254,2.758332919,1.950918304,3.725389533
255,2.759817079,1.952745089,3.726654914
256,2.761945614,1.95456382,3.72789158
257,2.765122813,1.956374539,3.72906598
258,2.768282536,1.958177289,3.730184315
259,2.772055147,1.959972111,3.731687474
260,2.776565774,1.961759048,3.734840051
261,2.778813948,1.963538141,3.737955674
262,2.780578866,1.965309431,3.741034711
263,2.7826327,1.967072959,3.744077529
264,2.784296704,1.968828766,3.74708449
265,2.785858045,1.970576893,3.751010403
266,2.787968769,1.972317379,3.757551217
267,2.79047865,1.974050264,3.764054952
268,2.793852169,1.975775588,3.768749258
269,2.796156196,1.977493391,3.768935931
270,2.798517472,1.979203711,3.769023624
271,2.800706868,1.980906587,3.769097616
272,2.803273142,1.982602058,3.769892125
273,2.805873722,1.984290162,3.772592315
274,2.808383105,1.985970936,3.775260142
275,2.809727879,1.98764442,3.777982125
276,2.811887437,1.98931065,3.782923442
277,2.813112024,1.990969664,3.787830861
278,2.815036132,1.992621499,3.793050927
279,2.816144147,1.994266191,3.798503898
280,2.818291435,1.995903778,3.802442547
281,2.820925279,1.997534295,3.80730653
282,2.822642219,1.999157778,3.812088328
283,2.824330869,2.000774265,3.813543848
284,2.825815149,2.002383789,3.814052143
285,2.827078927,2.003986387,3.814547304
286,2.829328311,2.005582094,3.814944903
287,2.831105588,2.007170945,3.815320359
288,2.833224047,2.008752974,3.815684096
289,2.835265758,2.010328216,3.816664166
290,2.836727106,2.011896705,3.818273595
291,2.837867645,2.013458476,3.819857175
292,2.840092754,2.015013562,3.821415268
293,2.841956237,2.016561997,3.822948234
294,2.843063554,2.018103815,3.824456426
295,2.844158261,2.019639048,3.826804769
296,2.846134419,2.021117415,3.83271954
297,2.847946855,2.022478279,3.836365783
298,2.849048801,2.023834567,3.837198594
299,2.850621879,2.025186302,3.838017238
300,2.853313015,2.026548765,3.838821966
301,2.855409223,2.027909544,3.839613024
302,2.857462327,2.029265834,3.840390656
303,2.859285351,2.030617658,3.841155102
304,2.861307199,2.03196504,3.842870342
305,2.863314503,2.033308003,3.844740749
306,2.865298566,2.03464657,3.846530722
307,2.866328619,2.035980763,3.848298147
308,2.867086434,2.037310606,3.850043277
309,2.867836288,2.038636121,3.851766363
310,2.868578273,2.03995733,3.853467655
311,2.869764807,2.0419454,3.855147398
312,2.870948157,2.044255194,3.856805836
313,2.871325004,2.046363362,3.858443212
314,2.871694845,2.04777122,3.860059764
315,2.872057805,2.049173091,3.861655731
316,2.873211685,2.050569004,3.863231346
317,2.873619483,2.051958988,3.864786844
318,2.875894503,2.053343073,3.866322454
319,2.878186916,2.054721286,3.867838406
320,2.879580893,2.056093658,3.870698836
321,2.880664669,2.057460215,3.873645412
322,2.881738439,2.058820987,3.876568268
323,2.882684336,2.060176002,3.879467571
324,2.883482953,2.061525288,3.882343486
325,2.884442082,2.062868872,3.885196181
326,2.885393593,2.064206783,3.888025818
327,2.886337551,2.065539047,3.890832562
328,2.88823568,2.066865693,3.893615397
329,2.890228836,2.068186746,3.896366477
330,2.892056379,2.069502235,3.89909529
331,2.893804236,2.070812186,3.901801995
332,2.895540925,2.072116626,3.904325496
333,2.897266523,2.073415581,3.904619394
334,2.898981111,2.074709642,3.904869501
335,2.900189115,2.075373892,3.905113523
336,2.901953664,2.075418932,3.905351596
337,2.903248352,2.075463698,3.905583855
338,2.904043289,2.075985781,3.905810434
339,2.904828773,2.077488999,3.906031462
340,2.905460083,2.079012824,3.908533348
341,2.905785021,2.080533807,3.911372359
342,2.906296573,2.082051962,3.911999009
343,2.908051034,2.083567301,3.912615598
344,2.90960731,2.085080622,3.913143598
345,2.910886439,2.086600895,3.913643613
346,2.912377315,2.0881184,3.914134452
347,2.914927403,2.089633149,3.914616269
348,2.917492693,2.091145155,3.915089217
349,2.91940484,2.092654429,3.915553448
350,2.921290258,2.094160982,3.916009109
351,2.923799249,2.095664827,3.916456346
352,2.924989935,2.097165974,3.916895303
353,2.926899246,2.098378419,3.917411788
354,2.928641881,2.099578698,3.92103481
355,2.929527882,2.10077405,3.921064157
356,2.929972508,2.101964498,3.921067895
357,2.931404641,2.103150065,3.921071481
358,2.932090241,2.104330775,3.922720439
359,2.933256446,2.10550665,3.92292239
360,2.933777489,2.106677712,3.923121187
361,2.934068517,2.108007859,3.927223084
362,2.934972255,2.10952487,3.931912149
363,2.935848931,2.111038913,3.936585671
364,2.936433201,2.112549999,3.941217641
365,2.936712651,2.114058139,3.945759586
366,2.936987433,2.115563346,3.950098066
367,2.937257621,2.11706563,3.950507413
368,2.93761219,2.118565003,3.950910298
369,2.938307047,2.120061476,3.951306838
