PM,MED,95CL_L,95CL_H
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1.001133344,1.000012182,1.036024069
7,1.011513886,1.001004046,1.072938922
8,1.024948798,1.004319334,1.092218631
9,1.040616145,1.011091617,1.108030809
10,1.056998412,1.020738126,1.121419584
11,1.07392611,1.032351424,1.136872575
12,1.092666212,1.044502609,1.156528518
13,1.111492422,1.05466738,1.179647894
14,1.129311944,1.063052412,1.205709518
15,1.148691635,1.069923508,1.239168362
16,1.167505044,1.075965277,1.277254032
17,1.186153242,1.081691161,1.323681233
18,1.207777288,1.085389595,1.371013399
19,1.229556274,1.088623335,1.422203185
20,1.251402662,1.091726619,1.481863666
21,1.272995592,1.094713156,1.539852782
22,1.295461361,1.097995884,1.589278378
23,1.315347562,1.101250009,1.639062983
24,1.335331553,1.104415359,1.681432168
25,1.355056887,1.107498821,1.718619723
26,1.377200799,1.110506417,1.75065955
27,1.398637292,1.113443455,1.765899259
28,1.417806968,1.11632001,1.784514976
29,1.437620746,1.119140418,1.79762317
30,1.457528622,1.121775558,1.813026409
31,1.474017193,1.124159164,1.831858799
32,1.496472295,1.126491385,1.84508809
33,1.515553829,1.128775134,1.860004862
34,1.534267881,1.131013062,1.883527676
35,1.551553098,1.133207583,1.902661059
36,1.56850112,1.135360911,1.92757552
37,1.589255754,1.137475074,1.952037634
38,1.607798793,1.139551942,1.97217892
39,1.62427366,1.141593239,1.995604821
40,1.639668109,1.143600562,2.019297886
41,1.657411528,1.145753928,2.038632417
42,1.673252443,1.147984691,2.056581701
43,1.689740431,1.150185794,2.072867538
44,1.705360689,1.152358366,2.089924103
45,1.720549789,1.154503464,2.103254953
46,1.73384571,1.156448613,2.120311051
47,1.747885473,1.158252791,2.138217827
48,1.762451355,1.160032826,2.15186939
49,1.775310816,1.16178958,2.160837133
50,1.786977399,1.163523866,2.167765295
51,1.798513603,1.165236451,2.181404405
52,1.810149633,1.166928061,2.195158049
53,1.821315282,1.168455618,2.205075077
54,1.832412808,1.1697845,2.211536614
55,1.840592185,1.171095742,2.220844702
56,1.850579486,1.172389922,2.230246129
57,1.858434826,1.173667589,2.23539561
58,1.866686996,1.175087128,2.24282097
59,1.876128323,1.176630844,2.253296307
60,1.882826839,1.178157887,2.258128968
61,1.892572772,1.179668718,2.262678458
62,1.902457937,1.181172171,2.268941149
63,1.910497593,1.182666176,2.274524326
64,1.919843419,1.184145187,2.279699544
65,1.92924658,1.185609592,2.283757791
66,1.938190225,1.187059759,2.287280611
67,1.946929094,1.188734049,2.290470283
68,1.954999528,1.190407348,2.294094329
69,1.962915891,1.19206708,2.298517741
70,1.96985197,1.193715281,2.301570887
71,1.977004822,1.195356141,2.305953233
72,1.982578492,1.196984293,2.309626723
73,1.990321892,1.198592215,2.313432672
74,1.996459401,1.199956088,2.316482918
75,2.002381428,1.201308731,2.319120287
76,2.004069724,1.20265039,2.319500114
77,2.008822716,1.20422079,2.319687598
78,2.013423149,1.205805371,2.324041518
79,2.01728773,1.207379269,2.325549621
80,2.021878976,1.208942685,2.329984413
81,2.026491668,1.210495814,2.332334366
82,2.031404314,1.212038845,2.333970362
83,2.034859471,1.213511945,2.336540656
84,2.040014549,1.214607913,2.338465229
85,2.044637121,1.215697722,2.338787571
86,2.047472024,1.216780432,2.339440235
87,2.051357153,1.217854741,2.342969304
88,2.05531296,1.218920812,2.345570802
89,2.057749233,1.219978804,2.346688573
90,2.061589123,1.221203856,2.349942042
91,2.064677538,1.222549248,2.352541473
92,2.068155435,1.223886159,2.354570134
93,2.072422459,1.225214729,2.354968545
94,2.076282168,1.226535095,2.355002559
95,2.077601259,1.227849285,2.355310721
96,2.079455412,1.229157592,2.357000259
97,2.079715411,1.230458073,2.35851492
98,2.082578021,1.23161949,2.359934641
99,2.084900152,1.232510694,2.361204008
100,2.086199746,1.233400697,2.362429768
101,2.088230116,1.234285603,2.363589568
102,2.090169872,1.235164518,2.36463239
103,2.091605129,1.236157776,2.365601993
104,2.094229229,1.237484111,2.366548958
105,2.096568121,1.238803636,2.367449974
106,2.097603851,1.240116446,2.368259322
107,2.098347632,1.241427305,2.370388922
108,2.098518114,1.242733015,2.371456258
109,2.099218682,1.244032262,2.371686171
110,2.100099638,1.245325133,2.371861755
111,2.102421969,1.246421951,2.374906648
112,2.104274449,1.247412464,2.37587175
113,2.105876779,1.248397164,2.376315593
114,2.106403916,1.249376133,2.376726216
115,2.107560652,1.250349455,2.377105908
116,2.108437576,1.25131721,2.378525749
117,2.10987815,1.252279475,2.378681427
118,2.111310699,1.253236328,2.378802133
119,2.113124815,1.254187843,2.379384075
120,2.114636193,1.255134093,2.381000983
121,2.115718657,1.25607515,2.382536434
122,2.116178533,1.257011084,2.382641684
123,2.116477362,1.257941963,2.382651138
124,2.118004618,1.258867854,2.382659364
125,2.120108937,1.259788823,2.383629487
126,2.121761148,1.260704934,2.384180203
127,2.123259709,1.261616249,2.385126816
128,2.123868105,1.26252283,2.386368809
129,2.124062145,1.263424736,2.387578952
130,2.124313465,1.264322028,2.38869385
131,2.125208284,1.265214763,2.389769385
132,2.126353203,1.266102997,2.389953193
133,2.127143855,1.266986785,2.390019322
134,2.128323834,1.267866182,2.390080638
135,2.129482128,1.268741241,2.390137528
136,2.129803926,1.269612015,2.390190349
137,2.12995077,1.270478554,2.390239427
138,2.130052467,1.271340908,2.390925739
139,2.130097267,1.272199128,2.392749377
140,2.130139114,1.273053813,2.394521765
141,2.130454678,1.273907399,2.396244212
142,2.130692653,1.274756986,2.397917997
143,2.13091819,1.275602619,2.399528331
144,2.131856391,1.276508023,2.399717132
145,2.132052901,1.277539032,2.399759271
146,2.132269907,1.278566027,2.399795365
147,2.132501321,1.279589048,2.399817031
148,2.133822373,1.280608136,2.399836947
149,2.134218067,1.281623329,2.400840938
150,2.134469405,1.282634666,2.402154307
151,2.135383107,1.283642185,2.402154764
152,2.136378573,1.284646036,2.402155164
153,2.136745955,1.28564765,2.402155513
154,2.137837151,1.286645556,2.402155818
155,2.138315842,1.28763979,2.402156085
156,2.139414435,1.288630388,2.402156317
157,2.139620322,1.289617384,2.402228262
158,2.13979301,1.29060081,2.402501706
159,2.140237425,1.291580702,2.403452919
160,2.140585291,1.292557091,2.404093682
161,2.141371139,1.29353001,2.404685116
162,2.14192539,1.294499491,2.405258888
163,2.14282423,1.295465564,2.405815512
164,2.144325191,1.296428261,2.406355484
165,2.145424245,1.297387612,2.406879289
166,2.147049873,1.298343647,2.407370738
167,2.147523256,1.299296394,2.407846203
168,2.147523258,1.300245884,2.408307389
169,2.147523259,1.301192145,2.408754715
170,2.147691646,1.302135205,2.40888805
171,2.148461475,1.303075091,2.408933615
172,2.148578052,1.304011831,2.40904467
173,2.149043898,1.304945451,2.409423707
174,2.149056255,1.305711421,2.409788816
175,2.149811177,1.306324974,2.410016957
176,2.150035493,1.306935986,2.410035762
177,2.150038305,1.307544481,2.410053514
178,2.150245259,1.308150483,2.410070276
179,2.151106939,1.308754017,2.410086107
180,2.151682287,1.309357736,2.410101062
181,2.152234969,1.309960802,2.410115191
182,2.152404128,1.310561462,2.410128544
183,2.15255748,1.311159738,2.410209072
184,2.153116309,1.311755654,2.410556551
185,2.153887402,1.31234923,2.411837711
186,2.154388839,1.312940488,2.413327116
187,2.154396363,1.31352945,2.413567088
188,2.154579148,1.314116137,2.413781641
189,2.154931463,1.314731829,2.413988051
190,2.154931471,1.315655612,2.414128313
191,2.154931478,1.31657665,2.41414481
192,2.155235,1.317494964,2.4141604
193,2.155265408,1.318410574,2.414175135
194,2.155515313,1.319323499,2.414667979
195,2.156110868,1.320233758,2.415106014
196,2.156137518,1.321141371,2.415281749
197,2.156163017,1.322046357,2.415434817
198,2.156256156,1.32294926,2.415581976
199,2.156590763,1.323853643,2.415723443
200,2.156766749,1.324755446,2.41585943
201,2.157640687,1.325462427,2.415990137
202,2.15798286,1.32614342,2.41611576
203,2.158265637,1.326822163,2.416236489
204,2.158717029,1.327498672,2.416352505
205,2.158717029,1.328172967,2.416463983
206,2.159051668,1.328845064,2.416571094
207,2.159051668,1.329514981,2.416674001
208,2.159440785,1.330183645,2.416772861
209,2.159775521,1.330850164,2.416867827
210,2.160019907,1.33151455,2.416959045
211,2.160261195,1.332176819,2.417046658
212,2.160266381,1.332836988,2.4171308
213,2.160271284,1.333495072,2.417211605
214,2.160356713,1.334151087,2.417289199
215,2.160462358,1.334805048,2.417363704
216,2.160565143,1.335456971,2.417435237
217,2.16069326,1.336106872,2.417503914
218,2.161192652,1.336754765,2.417569842
219,2.1612873,1.337400665,2.417633128
220,2.161385793,1.338044587,2.417693874
221,2.161511539,1.338686544,2.417752176
222,2.161702824,1.339326553,2.417792293
223,2.161889065,1.339964626,2.417823982
224,2.162070389,1.340600777,2.417861892
225,2.162845207,1.341235021,2.417941565
226,2.16323732,1.341867371,2.418012966
227,2.163685583,1.342497841,2.418059683
228,2.164239311,1.343126443,2.418104507
229,2.165287983,1.343753192,2.418147513
230,2.165902745,1.3443781,2.41818877
231,2.166020516,1.345001179,2.418228348
232,2.166023031,1.345622444,2.418266313
233,2.166231428,1.346241906,2.418302727
234,2.166254635,1.346859577,2.418337652
235,2.166807105,1.347475471,2.418371147
236,2.167276793,1.348089599,2.418403268
237,2.167318989,1.348701973,2.418655791
238,2.167499447,1.349312605,2.418755336
239,2.167501058,1.349921508,2.41881218
240,2.167502586,1.350528692,2.418856915
241,2.167504034,1.351134169,2.418899998
242,2.167505407,1.351737951,2.418941475
243,2.167508591,1.352340048,2.418981402
244,2.167512099,1.352940473,2.419019836
245,2.16761922,1.353569277,2.41905683
246,2.168091143,1.354245871,2.419092437
247,2.168281552,1.354920715,2.419126707
248,2.168281552,1.355593821,2.419159688
249,2.168281552,1.356265198,2.419191427
250,2.168281552,1.356934859,2.419221969
251,2.168281552,1.357602813,2.419244889
252,2.168281552,1.35826907,2.419246897
253,2.168281552,1.358933642,2.419248806
254,2.168281552,1.359596537,2.41925062
255,2.168372918,1.360257767,2.419252344
256,2.168913125,1.36091734,2.419253983
257,2.169108429,1.361575268,2.419255541
258,2.169109569,1.362231559,2.419257021
259,2.16955354,1.362886224,2.419258428
260,2.16986665,1.363539271,2.419259766
261,2.169867629,1.364190711,2.419261037
262,2.16986856,1.364840553,2.419262246
263,2.169869445,1.365488806,2.419263395
264,2.169870286,1.36613548,2.419264487
265,2.170231204,1.366731153,2.419265525
266,2.170645446,1.367252718,2.419266513
267,2.170844438,1.367772947,2.419267451
268,2.17095546,1.368291849,2.419558953
269,2.171113413,1.368809431,2.419640781
270,2.171269075,1.36932589,2.419654783
271,2.17142248,1.369842139,2.419668244
272,2.171641985,1.370357093,2.419681182
273,2.1718478,1.37087076,2.41969362
274,2.172019025,1.371383146,2.419705574
275,2.172019025,1.371894261,2.419717063
276,2.172029942,1.372404112,2.419728105
277,2.172148122,1.372912706,2.419738717
278,2.172264207,1.37342005,2.419748914
279,2.172378232,1.373926153,2.419758714
280,2.172381134,1.374431022,2.41976813
281,2.172381134,1.374934663,2.419777178
282,2.172381134,1.375437085,2.41978587
283,2.172381134,1.375938294,2.419794222
284,2.172722774,1.376438297,2.419802246
285,2.173024517,1.376937102,2.419809954
286,2.173024517,1.377518785,2.419817358
287,2.173024517,1.378103102,2.419824471
288,2.173024517,1.378687237,2.419831303
289,2.173024517,1.379273093,2.419837865
290,2.173134978,1.379857668,2.419844168
291,2.173262744,1.380440968,2.419850221
292,2.173344738,1.38107766,2.419856034
293,2.173344739,1.381726017,2.419861616
294,2.173423362,1.382372912,2.419866977
295,2.173599184,1.383018353,2.419872124
296,2.173709771,1.383662345,2.419877067
297,2.173709771,1.384304896,2.419881812
298,2.173709771,1.384946014,2.419886369
299,2.173709771,1.385585704,2.419890743
300,2.173709771,1.386223975,2.419894942
301,2.173709771,1.386860832,2.419898973
302,2.173709771,1.387496283,2.419902528
303,2.174070891,1.388130334,2.419902628
304,2.174123514,1.388762991,2.419902723
305,2.174273825,1.389394262,2.419902815
306,2.174617096,1.390024154,2.419902902
307,2.174719444,1.390652671,2.419902986
308,2.174719444,1.391279822,2.419903067
309,2.174719444,1.391905611,2.419903144
310,2.174993592,1.392530047,2.419903218
311,2.175485354,1.393153134,2.419903289
312,2.175730317,1.39377488,2.419903356
313,2.175846872,1.394395289,2.419903421
314,2.175961617,1.39501437,2.419903484
315,2.176074578,1.395632127,2.419903543
316,2.176185782,1.396248567,2.419903601
317,2.176295255,1.396863695,2.419903655
318,2.176379589,1.397477518,2.419903708
319,2.176379589,1.398090042,2.419903758
320,2.176379589,1.398701272,2.419903807
321,2.176379589,1.399311215,2.419903853
322,2.176379589,1.399919875,2.419903897
323,2.176379589,1.400527259,2.41990394
324,2.176379589,1.401133373,2.41990398
325,2.176379589,1.401738222,2.419904019
326,2.176379589,1.402341812,2.419904057
327,2.176379589,1.402944148,2.419904092
328,2.176379589,1.403545236,2.419904127
329,2.176379589,1.404145082,2.41990416
330,2.176443588,1.40474369,2.419904191
331,2.17652637,1.405341067,2.419904221
332,2.176559879,1.405879792,2.41990425
333,2.176559879,1.406317494,2.419904278
334,2.176559879,1.406754255,2.419904304
335,2.176559879,1.407190081,2.41990433
336,2.176559879,1.407624976,2.419904354
337,2.176559879,1.408058944,2.419904377
338,2.176559879,1.40849199,2.4199044
339,2.176559879,1.40892412,2.419904421
340,2.176559879,1.409355336,2.419904442
341,2.176589352,1.409785644,2.419904461
342,2.176938853,1.410215049,2.41990448
343,2.177183597,1.410643554,2.419904498
344,2.177183597,1.411071164,2.419904516
345,2.177183597,1.411497883,2.419904532
346,2.177183597,1.411923716,2.419904548
347,2.177183597,1.412348667,2.419904563
348,2.177346877,1.41277274,2.419904578
349,2.177654684,1.413195939,2.419904592
350,2.177864228,1.413618269,2.419904605
351,2.177864228,1.414039734,2.419904618
352,2.177864228,1.414460337,2.41990463
353,2.177864228,1.414880084,2.419904642
354,2.177864228,1.415298977,2.419904653
355,2.177864228,1.415717021,2.419904664
356,2.177864228,1.41613422,2.419904674
357,2.177864228,1.416550578,2.419904684
358,2.177864228,1.416966099,2.419992047
359,2.177864228,1.417380787,2.419999859
360,2.177866346,1.417838379,2.420000196
361,2.178066214,1.41834274,2.420000518
362,2.178066222,1.418846201,2.420000826
363,2.178066229,1.419348768,2.420001122
364,2.178066236,1.419850443,2.420001405
365,2.178140365,1.420351231,2.420001676
366,2.178284089,1.420851136,2.420001935
367,2.178284095,1.42135016,2.420002183
368,2.1782841,1.421848309,2.420002421
369,2.178284106,1.422345585,2.420002649
