region,ALRI,LC,IHD,STROKE,COPD,RESP,CP
AUT,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
CHE,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
BLX,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
ESP,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
FIN,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
FRA,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
GBR,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
GRC,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
ITA,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
RFA,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
SWE,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
TUR,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
NOR,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
BGR,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
HUN,16.98533963,13.88266536,10.89913836,10.10248025,10.9083559,13.44525972,10.79654513
POL,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
RCEU,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
RCZ,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
ROM,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
MEME,6.129992956,11.66191203,8.027940392,6.980354997,7.800879199,7.116238401,7.508047907
NOA,14.54858668,13.53972807,12.68544333,13.04146699,12.72453097,14.3852032,13.5752597
EGY,12.42698946,14.16705545,12.78935286,11.76526233,12.50827444,12.94992449,12.61494942
GOLF,12.04323478,13.21581089,12.12029164,10.8406032,10.66618972,11.55764151,11.70057039
WAF,14.54858668,13.53972807,12.68544333,13.04146699,12.72453097,14.3852032,13.5752597
EAF,14.26513566,14.58985259,12.87071155,13.17225615,12.94490286,14.25978859,13.57280622
SAF,14.26513566,14.58985259,12.87071155,13.17225615,12.94490286,14.25978859,13.57280622
RSA,14.26513566,14.58985259,12.87071155,13.17225615,12.94490286,14.25978859,13.57280622
KAZ,16.98533963,13.88266536,10.89913836,10.10248025,10.9083559,13.44525972,10.79654513
RIS,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
RUS,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
RUE,10.95412903,13.74573687,10.76659671,10.26410197,9.780906276,10.73321804,10.59140308
UKR,16.98533963,13.88266536,10.89913836,10.10248025,10.9083559,13.44525972,10.79654513
COR,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
JPN,5.709498241,9.899878645,8.360179923,7.372089447,6.918485796,6.17599621,7.208888354
AUS,5.709498241,9.899878645,8.360179923,7.372089447,6.918485796,6.17599621,7.208888354
NZL,5.709498241,9.899878645,8.360179923,7.372089447,6.918485796,6.17599621,7.208888354
PAC,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
MON,11.92686047,13.39150213,12.87168547,11.72261856,12.70984292,12.54937683,12.50954125
CHN,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
TWN,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
RSAS,12.42698946,14.16705545,12.78935286,11.76526233,12.50827444,12.94992449,12.61494942
NDE,11.92686047,13.39150213,12.87168547,11.72261856,12.70984292,12.54937683,12.50954125
IDN,12.32683076,13.45949826,12.61703345,11.26120563,11.21767395,12.09201244,12.06241799
THA,12.32683076,13.45949826,12.61703345,11.26120563,11.21767395,12.09201244,12.06241799
MYS,5.709498241,9.899878645,8.360179923,7.372089447,6.918485796,6.17599621,7.208888354
PHL,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
VNM,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
RSEA,9.147579051,13.20533737,10.33785062,10.30870928,8.924470927,9.191235031,9.865983596
CAN,6.806362772,11.38625787,8.323400387,7.587942821,8.499686215,8.021626436,8.107959272
USA,6.806362772,11.38625787,8.323400387,7.587942821,8.499686215,8.021626436,8.107959272
BRA,9.239723861,13.01452519,10.85301988,10.67260505,8.897647366,9.435397561,10.3490882
MEX,9.239723861,13.01452519,10.85301988,10.67260505,8.897647366,9.435397561,10.3490882
RCAM,9.239723861,13.01452519,10.85301988,10.67260505,8.897647366,9.435397561,10.3490882
CHL,9.239723861,13.01452519,10.85301988,10.67260505,8.897647366,9.435397561,10.3490882
ARG,9.239723861,13.01452519,10.85301988,10.67260505,8.897647366,9.435397561,10.3490882
RSAM,9.679572439,12.60877015,10.59126937,11.42796335,8.622294619,10.0805929,10.59393941
