disease,region,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ALRI,AUT,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,CHE,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,BLX,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,ESP,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,FIN,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,FRA,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,GBR,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,GRC,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,ITA,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
ALRI,RFA,0.000654838,0.000624602,0.00059437,0.000564131,0.000536689,0.000509248,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807,0.000481807
