PM,IHD,IHD,IHD,STROKE,STROKE,STROKE,COPD,COPD,COPD,ALRI,ALRI,ALRI,LC,LC,LC,,,,,,,,,
,MED,95CL_L,95CL_H,MED,95CL_L,95CL_H,MED,95CL_L,95CL_H,MED,95CL_L,95CL_H,MED,95CL_L,95CL_H,,,,,,,,,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
6,1.041936333,1.003287714,1.084374643,1.001133344,1.000012182,1.036024069,1.005568022,1.000782182,1.015148333,1.000911367,1.000046668,1.009269632,1.005539724,1.000335807,1.014799192,,,,,,,,,
7,1.08162362,1.021738,1.136878665,1.011513886,1.001004046,1.072938922,1.018930035,1.0038211,1.042955055,1.007630883,1.001095537,1.03282767,1.021337946,1.002082434,1.047851291,,,,,,,,,
8,1.102595024,1.039730778,1.160962912,1.024948798,1.004319334,1.092218631,1.028527149,1.006497406,1.060932982,1.015718904,1.003181608,1.050630728,1.03340244,1.003839348,1.071077929,,,,,,,,,
9,1.118889744,1.057765519,1.180393609,1.040616145,1.011091617,1.108030809,1.037060692,1.009018209,1.075534707,1.02430818,1.006129885,1.067154402,1.044253833,1.005601212,1.090822478,,,,,,,,,
10,1.132113046,1.074557809,1.194995416,1.056998412,1.020738126,1.121419584,1.044691113,1.011442921,1.088520883,1.033707552,1.009889127,1.082177645,1.054152182,1.007366397,1.108489952,,,,,,,,,
11,1.144100293,1.0883717,1.206309143,1.07392611,1.032351424,1.136872575,1.051649955,1.013855667,1.100707097,1.043304446,1.014055864,1.095911257,1.063387378,1.009134081,1.124599911,,,,,,,,,
12,1.154880585,1.101438477,1.220467359,1.092666212,1.044502609,1.156528518,1.058386626,1.016232043,1.112598684,1.052985558,1.018897711,1.109825389,1.072173112,1.010903767,1.139526165,,,,,,,,,
13,1.166014061,1.109849386,1.231656158,1.111492422,1.05466738,1.179647894,1.064931389,1.018570303,1.122514014,1.062868586,1.024224804,1.123200622,1.080671207,1.012675119,1.153611239,,,,,,,,,
14,1.176120243,1.118789639,1.241641837,1.129311944,1.063052412,1.205709518,1.071064895,1.020876205,1.132094967,1.07367505,1.030068913,1.136848468,1.088821791,1.014447897,1.167227286,,,,,,,,,
