PM,IHD,IHD,IHD,STROKE,STROKE,STROKE,COPD,COPD,COPD,ALRI,ALRI,ALRI,LC,LC,LC,,,,,,,,,
15,1.185387042,1.124361339,1.251209794,1.148691635,1.069923508,1.239168362,1.076905717,1.02315382,1.141640845,1.08411903,1.036381838,1.149735979,1.096813172,1.016221918,1.18034393,,,,,,,,,
16,1.193239034,1.130842492,1.26200724,1.167505044,1.075965277,1.277254032,1.082633057,1.025406479,1.150783415,1.094888482,1.043149232,1.162337329,1.104517982,1.017997041,1.192977179,,,,,,,,,
17,1.201071888,1.135811666,1.27351802,1.186153242,1.081691161,1.323681233,1.088097872,1.027598518,1.160075002,1.105660655,1.050362762,1.173577811,1.112009452,1.01977315,1.205189876,,,,,,,,,
18,1.208279274,1.140567958,1.287661227,1.207777288,1.085389595,1.371013399,1.093278876,1.029624499,1.168709917,1.11614535,1.057277218,1.185005771,1.119258601,1.021550152,1.217031859,,,,,,,,,
19,1.214795983,1.14506767,1.303523522,1.229556274,1.088623335,1.422203185,1.098304994,1.031622017,1.177170453,1.127091605,1.063602466,1.196607218,1.12635032,1.023327968,1.228543485,,,,,,,,,
20,1.220388961,1.149273641,1.31823741,1.251402662,1.091726619,1.481863666,1.103438327,1.033593573,1.187378971,1.138271909,1.071935034,1.207530968,1.133302086,1.025106532,1.239758017,,,,,,,,,
21,1.225924525,1.153211243,1.331977887,1.272995592,1.094713156,1.539852782,1.108377907,1.035541288,1.19468897,1.148913276,1.080509409,1.219310341,1.140152392,1.026885786,1.250703278,,,,,,,,,
22,1.23108017,1.157418992,1.347011137,1.295461361,1.097995884,1.589278378,1.113335152,1.037585977,1.202109758,1.159598111,1.087649776,1.231611589,1.146883974,1.028665682,1.26140284,,,,,,,,,
23,1.236586842,1.161211759,1.361499999,1.315347562,1.101250009,1.639062983,1.118027163,1.039625415,1.208861079,1.170632263,1.097064754,1.245979603,1.153506553,1.030446175,1.271876893,,,,,,,,,
24,1.240841392,1.164660959,1.378610441,1.335331553,1.104415359,1.681432168,1.122699611,1.041650989,1.216304595,1.182208864,1.106786837,1.261459203,1.160047918,1.032227226,1.282142895,,,,,,,,,
25,1.245203891,1.1684106,1.396410811,1.355056887,1.107498821,1.718619723,1.127172959,1.043665781,1.223272532,1.193409937,1.115073361,1.273382369,1.166518633,1.034008802,1.292216078,,,,,,,,,
26,1.249824186,1.17178017,1.410018229,1.377200799,1.110506417,1.75065955,1.131477405,1.045611702,1.229957633,1.204255536,1.123684642,1.287423475,1.172902351,1.035790872,1.302109825,,,,,,,,,
27,1.253900465,1.174893404,1.42199493,1.398637292,1.113443455,1.765899259,1.135927181,1.047466984,1.237296104,1.215224919,1.133553021,1.301846837,1.179204457,1.037573407,1.311835978,,,,,,,,,
28,1.258386683,1.178003644,1.437651083,1.417806968,1.11632001,1.784514976,1.140412954,1.049303345,1.243429099,1.226421882,1.143367018,1.317797478,1.185469819,1.039356384,1.32140508,,,,,,,,,
29,1.262227365,1.180940314,1.452984642,1.437620746,1.119140418,1.79762317,1.14482762,1.051125834,1.250040992,1.237976233,1.152768643,1.330004501,1.191689729,1.041139779,1.330826567,,,,,,,,,
30,1.265371982,1.183795137,1.468000048,1.457528622,1.121775558,1.813026409,1.149115894,1.053092041,1.256650528,1.250868405,1.160767555,1.347780184,1.19784232,1.042923571,1.340108928,,,,,,,,,
31,1.268765177,1.18657354,1.483292631,1.474017193,1.124159164,1.831858799,1.153323901,1.055052144,1.262715849,1.262883924,1.170626041,1.363528196,1.203931047,1.044707741,1.349259835,,,,,,,,,
32,1.271756517,1.18928039,1.49769672,1.496472295,1.126491385,1.84508809,1.157283673,1.056908911,1.268571582,1.27439123,1.177540961,1.381384478,1.209916449,1.046492272,1.358286251,,,,,,,,,
33,1.275429532,1.191920078,1.511124308,1.515553829,1.128775134,1.860004862,1.161250356,1.058751344,1.275447075,1.286092672,1.185104382,1.39628511,1.215778024,1.048277147,1.367194519,,,,,,,,,
34,1.27832536,1.194496572,1.525646226,1.534267881,1.131013062,1.883527676,1.165091937,1.060583542,1.281046932,1.298089439,1.193354209,1.411916743,1.221569008,1.050062351,1.375990441,,,,,,,,,
35,1.281603643,1.197013478,1.538577593,1.551553098,1.133207583,1.902661059,1.169086759,1.062405916,1.28831589,1.309805466,1.199691499,1.427471398,1.227358526,1.05184787,1.384677617,,,,,,,,,
36,1.28479507,1.19947408,1.55183312,1.56850112,1.135360911,1.92757552,1.173078473,1.064218842,1.295681456,1.320746977,1.205828016,1.443314926,1.233115731,1.053633691,1.393260513,,,,,,,,,
37,1.287456852,1.201881381,1.564815898,1.589255754,1.137475074,1.952037634,1.176925264,1.0660633,1.301480205,1.331678689,1.212439514,1.461756493,1.238823831,1.055419801,1.401678118,,,,,,,,,
38,1.290173581,1.204238134,1.577520957,1.607798793,1.139551942,1.97217892,1.180801829,1.067906572,1.309306098,1.343583316,1.218662789,1.475598118,1.244503425,1.05720619,1.409892041,,,,,,,,,
39,1.293074094,1.206548287,1.589909551,1.62427366,1.141593239,1.995604821,1.184544245,1.069742393,1.31750992,1.355649174,1.225472882,1.493383429,1.250096685,1.058992847,1.418014857,,,,,,,,,
40,1.295843041,1.208813367,1.602042955,1.639668109,1.143600562,2.019297886,1.188266755,1.071571009,1.322603286,1.366982104,1.23073872,1.511168362,1.255693896,1.060779761,1.426042793,,,,,,,,,
41,1.298526023,1.211034899,1.613175763,1.657411528,1.145753928,2.038632417,1.191810794,1.073392649,1.327627899,1.378123644,1.239019631,1.528878796,1.26121477,1.062566923,1.433985583,,,,,,,,,
42,1.300943737,1.213214879,1.623300221,1.673252443,1.147984691,2.056581701,1.195344622,1.075207531,1.332586597,1.38994504,1.245166069,1.549581173,1.26667742,1.064354324,1.441847582,,,,,,,,,
43,1.303308187,1.21535516,1.637093407,1.689740431,1.150185794,2.072867538,1.199271512,1.077015857,1.337482025,1.400931845,1.250318346,1.567829783,1.272011543,1.066141955,1.449507966,,,,,,,,,
44,1.305567305,1.217507096,1.648384385,1.705360689,1.152358366,2.089924103,1.202758198,1.078817821,1.342316653,1.412259101,1.255961416,1.587354274,1.277392029,1.06792981,1.457066716,,,,,,,,,
45,1.307781705,1.219625151,1.659388875,1.720549789,1.154503464,2.103254953,1.206222593,1.080613603,1.348596043,1.42326976,1.263558538,1.608187296,1.282692691,1.069717879,1.464552243,,,,,,,,,
46,1.310192487,1.221593284,1.670123921,1.73384571,1.156448613,2.120311051,1.209630797,1.082403374,1.355516213,1.43477858,1.271198979,1.627715698,1.287960834,1.071506156,1.471967097,,,,,,,,,
47,1.312338995,1.223545731,1.681000016,1.747885473,1.158252791,2.138217827,1.212986065,1.084187299,1.362395894,1.446015276,1.277038725,1.645638513,1.293193963,1.073294634,1.479313676,,,,,,,,,
48,1.314495622,1.225508136,1.690986817,1.762451355,1.160032826,2.15186939,1.216333457,1.085965531,1.368909677,1.457752069,1.282179391,1.664644684,1.298393147,1.075083306,1.486594243,,,,,,,,,
49,1.316873785,1.22743965,1.701125596,1.775310816,1.16178958,2.160837133,1.219864479,1.087738216,1.373896976,1.469782404,1.286565169,1.682606671,1.303559399,1.076872166,1.493810933,,,,,,,,,
50,1.319170913,1.229341432,1.711055855,1.786977399,1.163523866,2.167765295,1.223189559,1.089505494,1.37882276,1.481762818,1.291331271,1.701743756,1.308693679,1.078661209,1.500965765,,,,,,,,,
51,1.321299072,1.23121457,1.722025729,1.798513603,1.165236451,2.181404405,1.226488519,1.091267498,1.383700277,1.493501525,1.296138872,1.720046268,1.313796898,1.080450428,1.50806065,,,,,,,,,
52,1.323516616,1.233060934,1.733338765,1.810149633,1.166928061,2.195158049,1.229762125,1.093024355,1.388531034,1.504464599,1.303309958,1.740041346,1.318869922,1.082239819,1.515097398,,,,,,,,,
53,1.325454549,1.234881985,1.744437664,1.821315282,1.168455618,2.205075077,1.233011106,1.094776184,1.393316456,1.515500319,1.309453956,1.758783757,1.323948997,1.084029375,1.522077728,,,,,,,,,
54,1.327457035,1.236677281,1.75532502,1.832412808,1.1697845,2.211536614,1.236377478,1.096523102,1.3980579,1.526736304,1.3162221,1.778464742,1.329081951,1.085819093,1.529003272,,,,,,,,,
55,1.32948145,1.23844769,1.765147168,1.840592185,1.171095742,2.220844702,1.239599689,1.098265218,1.402718401,1.537482019,1.320983709,1.798976027,1.334188146,1.087608966,1.535875583,,,,,,,,,
56,1.331684907,1.240194031,1.775386646,1.850579486,1.172389922,2.230246129,1.242882792,1.100002639,1.407259484,1.548763321,1.325716219,1.817707394,1.33930106,1.089398992,1.542696139,,,,,,,,,
57,1.333483108,1.242140461,1.784331179,1.858434826,1.173667589,2.23539561,1.246120847,1.101735465,1.411760124,1.560104101,1.330445147,1.836112701,1.344370132,1.091189165,1.549466347,,,,,,,,,
58,1.33569104,1.244429155,1.793223039,1.866686996,1.175087128,2.24282097,1.249243323,1.103463794,1.416221449,1.571922562,1.335171418,1.854712253,1.349329912,1.092979481,1.556186979,,,,,,,,,
59,1.338119613,1.246214992,1.802194584,1.876128323,1.176630844,2.253296307,1.252316183,1.105187717,1.420644533,1.582460988,1.3403523,1.87365544,1.354232796,1.094769936,1.563049358,,,,,,,,,
60,1.340134633,1.247929593,1.810939008,1.882826839,1.178157887,2.258128968,1.25533363,1.106907326,1.425030403,1.593225621,1.346151396,1.893649342,1.359111197,1.096560526,1.569987163,,,,,,,,,
61,1.342034487,1.249623313,1.819716836,1.892572772,1.179668718,2.262678458,1.258440373,1.108622704,1.429380039,1.602973119,1.349996969,1.912888822,1.364020472,1.098351248,1.576880975,,,,,,,,,
62,1.343602089,1.251093573,1.828485285,1.902457937,1.181172171,2.268941149,1.261570888,1.110333936,1.433694378,1.613767609,1.353813314,1.932061179,1.368819166,1.100142098,1.583731857,,,,,,,,,
63,1.345469876,1.252477177,1.837083826,1.910497593,1.182666176,2.274524326,1.264758484,1.1120411,1.437974317,1.625185752,1.35822169,1.952326071,1.373605078,1.101933072,1.590540825,,,,,,,,,
64,1.347269294,1.254122551,1.845515354,1.919843419,1.184145187,2.279699544,1.267964532,1.113744274,1.442220595,1.637652129,1.362734681,1.973831082,1.378391011,1.103724167,1.597308856,,,,,,,,,
65,1.349282879,1.255794004,1.853782735,1.92924658,1.185609592,2.283757791,1.27115341,1.11544353,1.446430254,1.647558882,1.36722372,1.991853008,1.383202801,1.105515379,1.604036887,,,,,,,,,
66,1.351130874,1.257449158,1.861518446,1.938190225,1.187059759,2.287280611,1.274325489,1.117138939,1.450607981,1.657802718,1.371689272,2.009835063,1.387997699,1.107306707,1.610725818,,,,,,,,,
67,1.352774544,1.259090166,1.868757957,1.946929094,1.188734049,2.290470283,1.277481125,1.118830572,1.454891579,1.668007371,1.376131786,2.027775513,1.392792202,1.109098145,1.617376515,,,,,,,,,
68,1.354697848,1.260713607,1.875868526,1.954999528,1.190407348,2.294094329,1.280620661,1.120518493,1.459425797,1.678287617,1.380556058,2.045988801,1.397568523,1.110889693,1.623978417,,,,,,,,,
69,1.356598836,1.262278344,1.882825933,1.962915891,1.19206708,2.298517741,1.283593762,1.122204087,1.463885054,1.689376007,1.384990943,2.063524952,1.4023252,1.112681346,1.630292236,,,,,,,,,
70,1.358418065,1.263716196,1.889660645,1.96985197,1.193715281,2.301570887,1.286505898,1.123886562,1.467916817,1.700311093,1.389404245,2.081068475,1.407062621,1.114473102,1.636569249,,,,,,,,,
71,1.36011562,1.265106167,1.896487589,1.977004822,1.195356141,2.305953233,1.289402045,1.12556553,1.471920097,1.710972674,1.393796345,2.098376799,1.411781158,1.116264958,1.642810236,,,,,,,,,
72,1.361793911,1.266456072,1.902983762,1.982578492,1.196984293,2.309626723,1.292474709,1.12724105,1.475891511,1.721632998,1.398167614,2.115588749,1.416448275,1.118056912,1.649015952,,,,,,,,,
73,1.363361339,1.267791846,1.909483573,1.990321892,1.198592215,2.313432672,1.295537517,1.12889004,1.479831975,1.731772701,1.402518407,2.132702469,1.421030881,1.119848961,1.655187123,,,,,,,,,
74,1.364980416,1.269113838,1.915868967,1.996459401,1.199956088,2.316482918,1.298586084,1.130488475,1.483745757,1.74297536,1.407924534,2.150177233,1.425670692,1.121641103,1.66132445,,,,,,,,,
75,1.366523209,1.270422384,1.922142181,2.002381428,1.201308731,2.319120287,1.301503032,1.132082996,1.487976927,1.753124066,1.414324084,2.169096504,1.430233601,1.123433336,1.66742861,,,,,,,,,
76,1.368141174,1.271717806,1.928305398,2.004069724,1.20265039,2.319500114,1.304390244,1.133673667,1.492356945,1.76366008,1.420727905,2.188550075,1.434778793,1.125225656,1.673496488,,,,,,,,,
77,1.369820435,1.273000414,1.934360753,2.008822716,1.20422079,2.319687598,1.307419007,1.135260552,1.496712434,1.774305542,1.426476166,2.207851809,1.439306584,1.127018062,1.679532121,,,,,,,,,
78,1.371624963,1.274270506,1.940310332,2.013423149,1.205805371,2.324041518,1.310419331,1.136843712,1.501043856,1.784530338,1.430621272,2.226899861,1.443817281,1.128810552,1.685536469,,,,,,,,,
79,1.373411722,1.275552113,1.946156174,2.01728773,1.207379269,2.325549621,1.313296046,1.138423205,1.505297623,1.794697929,1.434747529,2.245787213,1.448352869,1.130603124,1.691510124,,,,,,,,,
80,1.375139689,1.276901659,1.951900273,2.021878976,1.208942685,2.329984413,1.316159671,1.13999909,1.509228979,1.804901342,1.438855253,2.264509657,1.452853438,1.132395775,1.697453659,,,,,,,,,
81,1.376661183,1.278246303,1.957544578,2.026491668,1.210495814,2.332334366,1.319009806,1.141571423,1.513409453,1.81569417,1.442944749,2.2830632,1.457324013,1.134188504,1.703367627,,,,,,,,,
82,1.378171114,1.279540359,1.963090996,2.031404314,1.212038845,2.333970362,1.32189936,1.143140257,1.517538694,1.826721228,1.447016316,2.301444058,1.461778715,1.135981308,1.709252565,,,,,,,,,
83,1.379808296,1.280738007,1.968439446,2.034859471,1.213511945,2.336540656,1.324746948,1.144705646,1.521261075,1.837073716,1.451070241,2.320329794,1.466217807,1.137774186,1.715108992,,,,,,,,,
84,1.381460279,1.281925776,1.972939898,2.040014549,1.214607913,2.338465229,1.32763716,1.14626764,1.524961671,1.846659212,1.455079979,2.340245988,1.470662173,1.139567136,1.720937413,,,,,,,,,
85,1.382994238,1.283105429,1.977328565,2.044637121,1.215697722,2.338787571,1.330422651,1.14782629,1.528640885,1.856357466,1.459063568,2.359986641,1.47510934,1.141360156,1.726738317,,,,,,,,,
86,1.384383207,1.284302622,1.981623376,2.047472024,1.216780432,2.339440235,1.333196183,1.149381644,1.532324808,1.866165577,1.463030191,2.377319983,1.479541854,1.143153244,1.732512176,,,,,,,,,
87,1.385840387,1.285601576,1.985826419,2.051357153,1.217854741,2.342969304,1.335938572,1.150933749,1.536101138,1.874964709,1.466980108,2.393155482,1.483959943,1.144946398,1.738259452,,,,,,,,,
88,1.387281941,1.286891465,1.990361998,2.05531296,1.218920812,2.345570802,1.338599983,1.152482651,1.539857069,1.884098051,1.470963316,2.41113021,1.488363831,1.146739618,1.743980591,,,,,,,,,
89,1.38878345,1.28817081,1.994856915,2.057749233,1.219978804,2.346688573,1.341181613,1.154028395,1.543592953,1.892926515,1.475968231,2.428285444,1.492753733,1.1485329,1.749676028,,,,,,,,,
90,1.390059724,1.289439817,1.999246809,2.061589123,1.221203856,2.349942042,1.343838952,1.155571024,1.547483653,1.901668199,1.481583681,2.447246079,1.49712986,1.150326245,1.755346183,,,,,,,,,
91,1.391458123,1.290698685,2.003436697,2.064677538,1.222549248,2.352541473,1.346438152,1.157110581,1.551671424,1.910363572,1.487183455,2.46600615,1.501492415,1.15211965,1.760991467,,,,,,,,,
92,1.392968604,1.291947606,2.007319608,2.068155435,1.223886159,2.354570134,1.349003665,1.158647107,1.555840913,1.91865237,1.491452029,2.484091428,1.505841599,1.153913113,1.766612278,,,,,,,,,
93,1.394405352,1.293185135,2.011117962,2.072422459,1.225214729,2.354968545,1.351558182,1.160180642,1.559992396,1.927375835,1.49461299,2.501483442,1.510177605,1.155706633,1.772209003,,,,,,,,,
94,1.395644779,1.294337004,2.014833617,2.076282168,1.226535095,2.355002559,1.354223663,1.161711227,1.564126145,1.936565467,1.497755625,2.517430228,1.514500623,1.157500209,1.777788492,,,,,,,,,
95,1.396873362,1.295479807,2.018468389,2.077601259,1.227849285,2.355310721,1.356950577,1.163238898,1.568242422,1.945518719,1.500880215,2.5316513,1.518810836,1.159293839,1.783638342,,,,,,,,,
96,1.398074318,1.296613712,2.022024055,2.079455412,1.229157592,2.357000259,1.359615082,1.164759604,1.572341481,1.954423787,1.503987036,2.5456088,1.523108424,1.161087523,1.789466071,,,,,,,,,
97,1.399276893,1.297738881,2.025502349,2.079715411,1.230458073,2.35851492,1.362269613,1.166283392,1.576423574,1.963930876,1.50708512,2.560672871,1.527393563,1.162881257,1.795272004,,,,,,,,,
98,1.400555929,1.298855471,2.028904971,2.082578021,1.23161949,2.359934641,1.364914314,1.167798619,1.580488942,1.973289603,1.510521206,2.573926669,1.531666422,1.164675042,1.801056458,,,,,,,,,
99,1.401811468,1.299963637,2.032233578,2.084900152,1.232510694,2.361204008,1.367602355,1.16931105,1.584537823,1.982972203,1.514912532,2.593134542,1.535938654,1.166468876,1.806819743,,,,,,,,,
100,1.402929871,1.301063528,2.035489796,2.086199746,1.233400697,2.362429768,1.370248518,1.170820721,1.588570447,1.991973788,1.518927951,2.612299436,1.540204335,1.168262757,1.812562159,,,,,,,,,
101,1.404239181,1.302155288,2.03867521,2.088230116,1.234285603,2.363589568,1.372835874,1.172327665,1.59258704,2.000804673,1.52312547,2.630932893,1.5444583,1.170056685,1.818284,,,,,,,,,
102,1.405649161,1.303239058,2.041789931,2.090169872,1.235164518,2.36463239,1.375413894,1.173831915,1.596587821,2.009842291,1.527307438,2.644960274,1.548624189,1.171850658,1.823985553,,,,,,,,,
103,1.407067827,1.304314975,2.04483217,2.091605129,1.236157776,2.365601993,1.377943557,1.175333503,1.600573005,2.018216873,1.531474443,2.658868598,1.552777128,1.173644676,1.829667096,,,,,,,,,
104,1.408475677,1.305383173,2.047807971,2.094229229,1.237484111,2.366548958,1.380405534,1.176832461,1.604542802,2.026291878,1.535640017,2.672627815,1.55691847,1.175438735,1.835328904,,,,,,,,,
105,1.409672909,1.306443781,2.050718797,2.096568121,1.238803636,2.367449974,1.382858207,1.178328819,1.608554505,2.034721133,1.539790461,2.688261602,1.561048365,1.177232837,1.840971242,,,,,,,,,
106,1.41085311,1.307500839,2.053566075,2.097603851,1.240116446,2.368259322,1.38555729,1.179822607,1.612466241,2.042538848,1.543925899,2.704704105,1.565166959,1.179026979,1.84659437,,,,,,,,,
107,1.412000014,1.308576515,2.056553887,2.098347632,1.241427305,2.370388922,1.388209381,1.181313855,1.616422213,2.050810252,1.548046448,2.720993287,1.569274395,1.180821161,1.852198543,,,,,,,,,
108,1.413070338,1.309606825,2.059680365,2.098518114,1.242733015,2.371456258,1.390660189,1.182802592,1.621878593,2.058441926,1.551885165,2.734963364,1.573370829,1.182615381,1.857784009,,,,,,,,,
109,1.414132678,1.310705842,2.062744741,2.099218682,1.244032262,2.371686171,1.393102199,1.184288845,1.625639356,2.066751977,1.554954584,2.752672242,1.577456984,1.184409639,1.863351011,,,,,,,,,
110,1.415312405,1.311759727,2.065748259,2.100099638,1.245325133,2.371861755,1.395535525,1.185772643,1.629385463,2.074745099,1.558007862,2.769189901,1.58153237,1.186203932,1.868899786,,,,,,,,,
111,1.416500267,1.312806578,2.068428581,2.102421969,1.246421951,2.374906648,1.397960278,1.187254013,1.633117104,2.082396983,1.561045199,2.783171703,1.585565904,1.187998261,1.874430565,,,,,,,,,
112,1.417679341,1.313846503,2.071292068,2.104274449,1.247412464,2.37587175,1.400376568,1.188732981,1.63683446,2.089717426,1.564066788,2.79443783,1.589652238,1.189792625,1.879943575,,,,,,,,,
113,1.41876365,1.314879611,2.07444595,2.105876779,1.248397164,2.376315593,1.402784502,1.190209572,1.640537711,2.097792506,1.567072819,2.804318784,1.593728339,1.191587022,1.885439039,,,,,,,,,
114,1.419840177,1.315906004,2.07724385,2.106403916,1.249376133,2.376726216,1.405184183,1.191683814,1.644227033,2.105754646,1.570063477,2.813997829,1.597891006,1.193381451,1.890917173,,,,,,,,,
115,1.420909046,1.316900593,2.07998681,2.107560652,1.250349455,2.377105908,1.407575713,1.193155729,1.647895042,2.113746135,1.573038944,2.823477276,1.602009112,1.195175911,1.89637819,,,,,,,,,
116,1.421970378,1.317873438,2.082659449,2.108437576,1.25131721,2.378525749,1.409959194,1.194625343,1.651464121,2.122612554,1.575999399,2.834413704,1.60617782,1.196970403,1.901822297,,,,,,,,,
117,1.42302429,1.318840153,2.085277706,2.10987815,1.252279475,2.378681427,1.412334722,1.196094545,1.655058202,2.130347113,1.579270935,2.849021143,1.610450442,1.198764923,1.907081119,,,,,,,,,
118,1.423913983,1.31980083,2.087777323,2.111310699,1.253236328,2.378802133,1.414702392,1.197563524,1.658677713,2.1375446,1.582802431,2.863549596,1.614714365,1.200559473,1.912302453,,,,,,,,,
119,1.424787354,1.320755558,2.089962074,2.113124815,1.254187843,2.379384075,1.417121815,1.199030293,1.662440228,2.144690413,1.586327846,2.877998937,1.618951619,1.20235405,1.917507051,,,,,,,,,
120,1.425872861,1.321704423,2.092093648,2.114636193,1.255134093,2.381000983,1.419573513,1.200494874,1.666090627,2.152213479,1.589860373,2.892369053,1.62317479,1.204148654,1.922695113,,,,,,,,,
121,1.427044862,1.322647511,2.094679839,2.115718657,1.25607515,2.382536434,1.421905922,1.201957291,1.669692221,2.16008651,1.593382037,2.906095291,1.627355103,1.205943285,1.927866834,,,,,,,,,
122,1.428218811,1.323584906,2.097555712,2.116178533,1.257011084,2.382641684,1.424218355,1.203417564,1.673281166,2.16789207,1.596892951,2.919887073,1.631456244,1.207737941,1.933022408,,,,,,,,,
123,1.42928897,1.324516688,2.099993197,2.116477362,1.257941963,2.382651138,1.426658473,1.204875714,1.676857609,2.175324701,1.600393227,2.934210482,1.635512195,1.209532621,1.938162021,,,,,,,,,
124,1.430352114,1.325442937,2.102287193,2.118004618,1.258867854,2.382659364,1.429065856,1.206331761,1.680421691,2.182811597,1.603882975,2.944689871,1.639539254,1.211327325,1.943513883,,,,,,,,,
125,1.431361987,1.32636373,2.103984992,2.120108937,1.259788823,2.383629487,1.431427946,1.207785728,1.683973551,2.190071789,1.60759445,2.955018917,1.643486972,1.213122052,1.948964034,,,,,,,,,
126,1.432262699,1.327279144,2.106248503,2.121761148,1.260704934,2.384180203,1.433850908,1.209237632,1.687513325,2.197021211,1.611313114,2.965198752,1.647447031,1.214916801,1.954399423,,,,,,,,,
127,1.433157507,1.328189254,2.108467223,2.123259709,1.261616249,2.385126816,1.436211344,1.210687494,1.691041147,2.204442302,1.615018005,2.975230532,1.651577734,1.216711571,1.959820209,,,,,,,,,
128,1.434046496,1.32909413,2.110642033,2.123868105,1.26252283,2.386368809,1.438564954,1.212135333,1.694557147,2.212606285,1.618709211,2.985634677,1.65570048,1.218506362,1.965226548,,,,,,,,,
129,1.43492975,1.329944694,2.112767729,2.124062145,1.263424736,2.387578952,1.441004774,1.213581168,1.698061455,2.220585215,1.622386823,2.996453603,1.659907006,1.220301173,1.970618592,,,,,,,,,
130,1.435834391,1.330792708,2.113718729,2.124313465,1.264322028,2.38869385,1.443464452,1.215025018,1.701554196,2.226783972,1.626050926,3.007157716,1.664051734,1.222096004,1.975996491,,,,,,,,,
131,1.436906373,1.331689272,2.11460652,2.125208284,1.265214763,2.389769385,1.445917725,1.2164669,1.705035494,2.23400049,1.629701607,3.01940033,1.668168002,1.223890852,1.981360393,,,,,,,,,
132,1.437936889,1.332546275,2.115538105,2.126353203,1.266102997,2.389953193,1.448282998,1.217906833,1.708505471,2.241184989,1.633338951,3.033784452,1.67216836,1.225685719,1.986710441,,,,,,,,,
133,1.438848954,1.33335105,2.118211411,2.127143855,1.266986785,2.390019322,1.450561189,1.219363797,1.711964246,2.248337633,1.636963043,3.048034949,1.676160737,1.227480602,1.992046778,,,,,,,,,
134,1.439730517,1.334151247,2.120842831,2.128323834,1.267866182,2.390080638,1.452832885,1.220885912,1.715411935,2.253895329,1.640573964,3.06103937,1.680197469,1.229275502,1.997231913,,,,,,,,,
135,1.440606679,1.334948683,2.123432175,2.129482128,1.268741241,2.390137528,1.455098154,1.222406518,1.718848654,2.260845252,1.644171797,3.069923901,1.684239313,1.231070417,2.002397991,,,,,,,,,
136,1.441477513,1.335742725,2.125735737,2.129803926,1.269612015,2.390190349,1.457429467,1.223925627,1.722274515,2.267762416,1.647756623,3.078612639,1.688273589,1.232865348,2.007550555,,,,,,,,,
137,1.442422025,1.336591482,2.126479127,2.12995077,1.270478554,2.390239427,1.459986287,1.22544325,1.72568963,2.274646993,1.651328522,3.087200747,1.692201195,1.234660293,2.012689742,,,,,,,,,
138,1.443515101,1.337474742,2.127184519,2.130052467,1.271340908,2.390925739,1.462537536,1.226959399,1.729094106,2.281499155,1.654887572,3.098444746,1.696125989,1.236455252,2.017815689,,,,,,,,,
