GCAM_commod,crop
biomass,maize
Corn,maize
FiberCrop,rice
FiberCrop,wheat
FodderGrass,maize
FodderHerb_C4,maize
FodderHerb,rice
FodderHerb,wheat
FodderHerb,soybean
Fruits,rice
Fruits,wheat
Legumes,soybean
MiscCrop,rice
MiscCrop,wheat
MiscCrop,soybean
NutsSeeds,rice
NutsSeeds,wheat
NutsSeeds,soybean
OilCrop,soybean
OilPalm,soybean
OtherGrain_C4,maize
OtherGrain,rice
OtherGrain,wheat
Pasture,maize
Rice,rice
RootTuber,maize
RootTuber,rice
RootTuber,wheat
Soybean,soybean
SugarCrop_C4,maize
SugarCrop,rice
SugarCrop,wheat
UnmanagedLand,rice
UnmanagedLand,wheat
UnmanagedLand,soybean
Vegetables,maize
Vegetables,rice
Vegetables,wheat
Wheat,wheat
