COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC
RUS,0.409334672,0.599565461,0.527633612,0.187276708,0.478810714,0.297322215,0.512428872,0.185613495,0.558205209,0.289778884
RUE,0.590665328,0.400434539,0.472366388,0.812723292,0.521189286,0.702677785,0.487571128,0.814386505,0.441794791,0.710221116
