crop,iso,irrtype,harvested.area
cassava,ago,rfc_plus_irc,883620
cassava,arg,rfc_plus_irc,18089
cassava,atg,rfc_plus_irc,18.2
cassava,bdi,rfc_plus_irc,168314.9
cassava,ben,rfc_plus_irc,242747.7
cassava,bfa,rfc_plus_irc,2595.2
cassava,bhs,rfc_plus_irc,28.8
cassava,blz,rfc_plus_irc,25.2
cassava,bol,rfc_plus_irc,32579.2
cassava,bra,rfc_plus_irc,1765183.8
cassava,brb,rfc_plus_irc,19
cassava,brn,rfc_plus_irc,174.7
cassava,caf,rfc_plus_irc,224077.4
cassava,chn,rfc_plus_irc,274902.5
cassava,civ,rfc_plus_irc,349693.9
cassava,cmr,rfc_plus_irc,267747.4
cassava,cod,rfc_plus_irc,1907719.5
cassava,cog,rfc_plus_irc,134686.1
cassava,col,rfc_plus_irc,196538.4
cassava,com,rfc_plus_irc,11014.2
cassava,cpv,rfc_plus_irc,378.2
cassava,cri,rfc_plus_irc,12394.8
cassava,cub,rfc_plus_irc,74060.8
cassava,dom,rfc_plus_irc,20296.8
cassava,ecu,rfc_plus_irc,18881.3
cassava,gab,rfc_plus_irc,52180
cassava,gha,rfc_plus_irc,846336.2
cassava,gin,rfc_plus_irc,137106.5
cassava,glp,rfc_plus_irc,127.8
cassava,gmb,rfc_plus_irc,2695.8
cassava,gnb,rfc_plus_irc,5534.4
cassava,gnq,rfc_plus_irc,21311.7
cassava,gtm,rfc_plus_irc,5411.8
cassava,guf,rfc_plus_irc,4586.1
cassava,guy,rfc_plus_irc,980
cassava,hnd,rfc_plus_irc,4004.8
cassava,hti,rfc_plus_irc,122512.4
cassava,idn,rfc_plus_irc,1157786.1
cassava,ind,rfc_plus_irc,241028
cassava,jam,rfc_plus_irc,911.4
cassava,ken,rfc_plus_irc,60997.6
cassava,khm,rfc_plus_irc,219298.6
cassava,lao,rfc_plus_irc,26074
cassava,lbr,rfc_plus_irc,70755.2
cassava,lka,rfc_plus_irc,23658.9
cassava,mdg,rfc_plus_irc,424339.9
cassava,mex,rfc_plus_irc,1344.6
cassava,mli,rfc_plus_irc,3786.3
cassava,mmr,rfc_plus_irc,35312.6
cassava,moz,rfc_plus_irc,1012806
cassava,mtq,rfc_plus_irc,96.5
cassava,mus,rfc_plus_irc,27.1
cassava,mwi,rfc_plus_irc,188569.8
cassava,mys,rfc_plus_irc,3057.5
cassava,ncl,rfc_plus_irc,326.6
cassava,ner,rfc_plus_irc,7554.5
cassava,nga,rfc_plus_irc,4622169.2
cassava,nic,rfc_plus_irc,18832.9
cassava,pan,rfc_plus_irc,1555
cassava,per,rfc_plus_irc,99026.9
cassava,phl,rfc_plus_irc,213658.8
cassava,png,rfc_plus_irc,13420
cassava,pri,rfc_plus_irc,71.2
cassava,pry,rfc_plus_irc,212650.6
cassava,reu,rfc_plus_irc,13.7
cassava,rwa,rfc_plus_irc,169339.7
cassava,sdn,rfc_plus_irc,6705.875
