Country_iso,Sector,Fuel,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
abw,RCOC,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01E-06,8.69E-06,0.00250879,0.006724858,0.008413583,0.012006505,0.005894209,0.00608691,0.005771041,0.005712543
abw,RCOC,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOC,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOC,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOO,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.000315959,0.000243015,0.000233402,0.000219779,0.000207812,0.000139468,0.001348294,0.000684754,0.00086592,0.000980361,0.000866269,0.000102793,0.000119487,7.07E-05,0.00485106,0.005692521,0.000879026,0.00205573,0.002766681,0.002967573,0.006415811,0.006559582,0.005729188,0.005981582,0.006301021,0.005699232,0.005621112,0.00675242,0.010453758,0.029618219,0.027892767,0.028022321,0.024842776,0.023313777,0.024696928,0.022998979,0.018075342,0.022180754,0.020832637,0.019945761,0.017402976,0.016254781,0.012875982,0.006813833,0.007842464,0.007381665,0.009224859,0.00910966
abw,RCOO,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOO,SOLID_BIOFUEL,kt C/year,3.78E-05,3.90E-05,3.87E-05,3.85E-05,3.82E-05,3.77E-05,3.72E-05,3.65E-05,3.59E-05,3.54E-05,3.50E-05,3.49E-05,3.50E-05,3.51E-05,0.000102022,0.000101411,1.00E-04,9.78E-05,9.59E-05,9.50E-05,9.58E-05,9.86E-05,0.000102912,0.000108124,0.000113133,0.000117254,0.000120336,0.000122528,0.000124166,0.000125753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOO,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOR,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.001184834,0.000169345,0.000184262,0.000157651,0.000167892,0.000361244,0.001123331,0.000507392,0.000519165,0.000573712,0.000738867,0.00078166,0.000887556,0.000526986,0.002338485,0.001797426,0.000243225,0.00057871,0.00112738,0.001113201,0.002631819,0.002419687,0.002453222,0.002503995,0.002654422,0.002604666,0.003009635,0.003879804,0.016129449,0.016165454,0.004840183,0.004334441,0.00443765,0.003412778,0.00304894,0.003112174,0.003112767,0.002986723,0.002695266,0.002567434,0.001310607,0.001090421,0.00081239,0.000545582,0.000552839,0.000717539,0.000856184,0.000850258
abw,RCOR,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,RCOR,SOLID_BIOFUEL,kt C/year,0.004945291,0.004977664,0.005012075,0.005046648,0.005071344,0.005082975,0.005076921,0.00505828,0.005036036,0.005025522,0.005035032,0.005076579,0.005143796,0.005217608,0.005405882,0.005639176,0.005263365,0.011352477,0.011223397,0.011224108,0.010244154,0.011404541,0.011939954,0.014787473,0.01558994,0.016290875,0.016843849,0.017620288,0.018358207,0.018762449,0.012585426,0.012761484,0.012806384,0.013046479,0.013156419,0.013312643,0.013332665,0.013295674,0.013232589,0.013366399,0.013340485,0.008741013,0.008102666,0.00748592,0.008362233,0.008193665,0.007496898,0.007520071
abw,RCOR,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,ROAD,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.006337721,0.006000496,0.005940028,0.006239136,0.007058295,0.006693794,0.014847865,0.00694459,0.007578119,0.006763422,0.011075956,0.016268957,0.019467691,0.011918752,0.024579779,0.026741981,0.003770569,0.010502916,0.013965343,0.014520943,0.032971615,0.036678463,0.03303641,0.034980954,0.037390912,0.039497866,0.039096573,0.044125399,0.071070128,0.077275211,0.09174688,0.092469619,0.082115792,0.087011597,0.100164988,0.104271261,0.106647668,0.113187838,0.106708591,0.108040725,0.115008218,0.057093583,0.044189483,0.027279461,0.026996595,0.025767984,0.025770313,0.024657822
abw,ROAD,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,ROAD,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,ROAD,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SHP,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SHP,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SHP,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SHP,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SLV,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SLV,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
