Content:,Emissions by country and main source category
Compound:,CO2
Start year:,1970
End year:,2021
Unit:,kt
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v7.0_GHG (1970 - 2021) of September 2022. For the energy related sectors the activity data are mainly based on IEA data from IEA (2021) World Energy Balances, www.iea.org/statistics, All rights reserved, as modified by Joint Research Centre, European Commission.",
Users of the data are obliged to acknowledge the source of the data with a reference to the EDGARv7.0_GHG website (https://edgar.jrc.ec.europa.eu/dataset_ghg70) to Crippa et. al. (2022) and to the DOI (https://data.europa.eu/doi/10.2904/JRC_DATASET_EDGAR),
Data download:,https://edgar.jrc.ec.europa.eu
,
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021
Non-Annex_I,Rest Central America,ABW,Aruba,CO2,95.06542353,94.50370866,105.8478138,109.863856,99.97717945,114.6505368,105.0986104,113.4857116,115.6101358,109.3610493,110.202655,111.9356353,102.8310968,104.9941487,121.1856887,118.8711337,117.5975859,120.9982659,428.3109882,522.5963511,531.673589,626.1699108,726.3464114,697.6715072,763.6724363,820.7304666,550.8234305,838.0362161,839.623484,886.5369775,950.9880941,977.166414,996.5117898,1288.471086,1338.638889,1377.27413,1339.132001,1369.656688,1288.139642,1387.899058,1345.968976,1286.369279,1637.822831,1605.689731,1633.58442,1626.23405,1597.398255,1335.792882,1366.614574,1404.705123,1166.018409,1295.818804
Non-Annex_I,India +,AFG,Afghanistan,CO2,3343.054709,3318.411036,3545.865063,3592.563616,4075.638761,3968.135977,3876.509247,4152.041045,3871.999215,3934.218974,3832.229099,4021.254088,4005.965881,4637.96444,4786.285169,5632.903237,5392.432342,4841.959263,4544.738313,4318.738932,4315.742439,4218.646151,3105.436547,3246.796483,3269.470692,3483.69143,3716.706154,3910.140351,4036.375669,3884.130274,3504.449671,3456.670869,3967.05003,4382.530772,4027.989583,5001.569608,4949.225837,5880.817069,7366.305492,10791.18753,12061.63762,15573.2241,14462.28881,12796.26848,12478.10878,12551.08767,11760.79938,12117.69374,12736.81183,12215.71709,12525.01133,12553.57637
Non-Annex_I,Southern_Africa,AGO,Angola,CO2,20393.27407,19959.92697,21860.85172,22960.87581,23436.33063,22666.19627,19201.30117,24020.70041,26410.70851,26487.02746,26861.30809,25888.63327,25620.80557,26293.85427,26643.6478,27616.24267,28099.08566,28632.24298,29310.77681,29702.18313,26025.38269,27096.48165,27801.15092,28127.60833,27787.67687,29453.9006,32430.32598,33295.92083,34310.55649,35354.81008,34104.66959,34184.39714,34324.97698,36045.57175,36788.07882,35325.28345,36353.19347,37491.02093,39679.77403,42655.5641,44770.49944,46455.16848,45747.27698,51282.17427,53677.19199,56211.79289,55507.49308,51285.30007,49702.30585,51343.73554,49153.12691,50275.12347
Non-Annex_I,Rest Central America,AIA,Anguilla,CO2,2.168291706,2.168324664,2.263752982,2.108963397,2.350261032,2.584030483,2.434477246,2.537064914,2.901613649,3.213010678,4.412635382,6.63977296,7.018852729,6.088890726,5.801135776,3.670825503,3.154646121,6.125875829,5.797212703,6.148497882,6.114424455,7.579439899,7.902935644,9.952196087,13.13126987,16.39566503,16.2133442,13.56375197,12.44876389,11.7508324,15.53153371,15.91075851,10.85891545,14.10781774,13.47189009,13.66161642,12.81244341,12.35472912,15.26847719,20.16095787,24.00449613,26.00805487,26.02322758,27.94051199,27.89606068,28.00542611,28.33988089,29.06244509,28.22299426,27.57999313,22.77948761,25.40872021
Int. Aviation,Int. Aviation,AIR,Int. Aviation,CO2,169300.9966,169300.9966,179147.4871,186892.0964,179793.3309,173866.0196,174273.7906,190068.9782,197222.6278,203975.128,202807.8889,202067.9932,209348.4682,211187.45,219125.3968,225156.1683,247390.9532,261563.7429,276366.7128,290296.6454,258993.7813,251900.9032,260067.8582,265022.0847,278583.5702,289103.4251,300847.6628,315607.7036,326243.0757,340142.0871,352628.8292,346128.0979,366703.2383,364670.144,393904.6399,418838.7904,434148.6542,448063.4932,455899.9822,434205.4923,458205.0418,472112.4083,472721.1187,480909.1262,496627.6965,524654.0345,548207.7774,582230.4897,609630.4816,617763.2293,338144.0834,390166.2501
Non-Annex_I,Central Europe,ALB,Albania,CO2,6495.392463,6496.58602,7188.642875,6638.229748,7019.793539,7114.455431,7521.745767,7940.199286,8565.44645,9678.272609,9809.572473,8814.708823,9027.594338,9558.221909,10192.56319,9829.803811,9912.654164,10057.33389,9961.581293,9665.90358,8351.949654,6050.58622,4027.377643,3855.833102,3897.864976,3556.673695,3459.484932,2948.366105,3221.214037,4320.016972,4459.571897,4647.513871,5208.678792,5163.579817,5515.47951,5267.495304,5225.143163,5270.311646,5246.886972,5322.543477,5588.209069,5999.725996,5552.760992,5768.874245,6132.941803,5973.175769,5732.06428,6375.06369,6413.341464,6153.321435,5823.438133,5710.290725
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,CO2,14518.57795,14518.62317,14117.44726,15611.53251,14126.87683,10199.6664,10852.06526,10986.13715,9274.807593,9185.47445,8680.769054,8045.164892,7299.429195,6832.014553,6693.843991,4502.37565,4300.26991,3968.543919,3462.629724,2961.996006,2669.764376,2769.207375,2887.101622,2370.680359,2669.045137,2675.335876,2703.883089,5306.27356,5479.993097,5448.954102,5670.832893,5708.378907,5462.690116,5478.935282,5721.185912,6032.200307,5938.961771,6451.530792,6385.793401,5986.949446,4435.063336,5683.879999,5130.824005,4685.495472,5258.290891,5311.484306,4549.638271,3619.473578,2877.02226,2210.519648,1831.085097,2035.324074
Non-Annex_I,Middle_East,ARE,United Arab Emirates,CO2,19437.56412,25404.10771,27718.76051,35806.20549,35971.03927,36642.26884,45538.71711,45835.86877,52580.31244,37854.51736,41121.10976,38047.94185,38070.39185,36804.41858,49998.31001,51833.7339,50253.80741,52089.44351,51009.6591,56952.2829,56902.78971,64731.97035,62683.45302,66054.76738,72701.95776,77543.30744,81009.88792,84423.98697,86603.67569,89294.6121,88602.09792,101417.8985,103693.6925,108997.7952,115244.7483,122708.3819,127480.0787,137474.7458,164590.167,165719.1549,172341.4696,176644.4999,186280.4758,195830.0175,197454.8515,208010.2104,212772.1517,208899.0736,188126.8634,199501.7823,189510.7209,193679.6407
Non-Annex_I,Rest South America,ARG,Argentina,CO2,117798.0232,119174.3572,120834.0142,125833.4466,125787.3795,122996.1102,128321.0158,131222.9768,132315.37,137942.9417,134455.6418,134327.6049,135657.639,138644.5529,139339.6939,130158.1109,136494.5241,141882.0361,145876.4669,139561.413,134484.625,144232.2368,145387.7838,146367.5964,151102.0786,159505.7311,167218.3783,179662.582,190276.4942,192090.8702,188652.272,185010.7824,177763.7434,196076.8784,210895.9508,214303.5826,224648.3799,238088.9278,246785.6871,223378.3747,245540.6073,261557.2703,258991.336,267559.0246,269735.6799,274226.3102,276035.5582,281637.8668,274346.7309,272683.3954,259387.1023,279152.1764
Non-Annex_I,Russia +,ARM,Armenia,CO2,11059.93908,11079.15159,11878.74159,12933.4558,13966.56678,15323.96698,15838.0925,16416.65176,17026.76175,17672.8322,18779.67464,19165.01312,19684.28974,19776.28936,19874.1784,20118.19662,20259.42907,20521.10134,20539.22273,20190.32054,20825.96005,21674.26623,11125.35287,5307.402397,2995.063488,3729.297773,2798.378897,3548.013935,3689.900588,3319.322484,3768.053163,3843.701408,3323.313866,3691.211659,3981.867702,4663.971819,4692.721217,5421.958884,5918.240054,4771.85884,4571.060604,5215.620984,5999.601879,5702.551158,5813.986093,6051.657008,6018.366393,6314.390966,6361.73478,6730.649658,6855.562752,7237.271628
