Content:,Emissions by country and main source category
Compound:,CH4
Start year:,1970
End year:,2021
Unit:,kt
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v7.0_GHG (1970 - 2021) of September 2022. For the energy related sectors the activity data are mainly based on IEA data from IEA (2021) World Energy Balances, www.iea.org/statistics, All rights reserved, as modified by Joint Research Centre, European Commission.",
Users of the data are obliged to acknowledge the source of the data with a reference to the EDGARv7.0_GHG website (https://edgar.jrc.ec.europa.eu/dataset_ghg70) to Crippa et. al. (2022) and to the DOI (https://data.europa.eu/doi/10.2904/JRC_DATASET_EDGAR),
Data download:,https://edgar.jrc.ec.europa.eu
,
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021
Non-Annex_I,Rest Central America,ABW,Aruba,CH4,0.690057804,0.711647419,0.715404432,0.723177698,0.724303122,0.723671123,0.719860672,0.717313249,0.711808764,0.709784499,0.708220258,0.721666855,0.722149979,0.725588495,0.733078361,0.730638054,0.726193511,0.71644203,0.737848114,0.749010773,0.767409813,0.811361079,0.844983588,0.887408434,0.9380929,0.976657914,0.972595625,1.028608945,1.04007888,1.064618167,3.145710332,2.941114584,2.945525325,3.10993356,3.363766683,3.393971624,2.383611284,2.402679163,2.254523771,2.13011427,1.765679416,2.013590221,1.315298867,1.205947477,1.215895362,1.215990935,1.212791234,1.216260913,1.2290635,1.238812498,1.236950807,1.253603202
Non-Annex_I,India +,AFG,Afghanistan,CH4,460.4689522,459.9874976,410.0792725,424.2944733,447.5329875,471.2927462,473.6802537,466.6520716,463.9698295,454.5492391,455.4269102,450.7206231,444.9809615,422.7001014,380.9192693,351.7741702,307.7709367,312.5361508,322.5006401,304.7999982,309.6546379,315.2930438,321.0967548,328.6416954,342.3992528,358.5773139,399.7253835,431.2887813,454.5828259,484.2666338,435.1005187,385.5705459,467.0115046,483.1575685,488.3258037,482.4595968,487.2121298,505.5637132,548.5452492,567.6076239,634.7105856,649.0490924,635.1082981,633.8994167,652.4555641,634.2181436,631.6188208,631.5183338,648.6040638,666.4023608,678.8951488,686.6954121
Non-Annex_I,Southern_Africa,AGO,Angola,CH4,331.4738601,338.7852844,365.4732366,387.0239038,394.2975671,384.0284762,376.1992611,372.3690274,368.465679,388.0790903,399.0769903,386.4738984,385.5606721,436.023703,466.897456,491.6519898,540.0319114,605.6687985,684.0009962,686.5745421,711.5609813,692.0128683,645.3544212,773.1531718,1167.202511,1364.300308,1633.251724,1707.221194,1848.541986,1847.199477,1736.191491,1665.65159,1642.070077,1600.042348,1789.978706,1816.40679,1555.241526,1508.248518,1573.92209,1544.953577,1717.931662,1638.297432,1678.470088,1704.843512,1687.072973,1771.758159,1735.070851,1708.445361,1629.852315,1582.485324,1409.209127,1391.401764
Non-Annex_I,Rest Central America,AIA,Anguilla,CH4,0.087643837,0.067903395,0.067979359,0.068016472,0.068075792,0.068034594,0.067764051,0.06757967,0.067414093,0.067100037,0.067203233,0.067557459,0.0697958,0.069242016,0.069118513,0.068929856,0.071550861,0.075649454,0.079299918,0.08304119,0.086620808,0.090279888,0.093497025,0.096915201,0.100817671,0.104434542,0.106575336,0.108335622,0.110141394,0.112370869,0.115464831,0.118746169,0.120964362,0.124722551,0.127729819,0.13096313,0.133153451,0.135473332,0.138286793,0.141624457,0.144462639,0.146498094,0.148215572,0.150215479,0.151825458,0.153367265,0.154159339,0.154924962,0.155362344,0.156325498,0.156623961,0.157886415
Int. Aviation,Int. Aviation,AIR,Int. Aviation,CH4,1.184419104,1.184419104,1.253157566,1.307281801,1.25747967,1.216015431,1.218798907,1.329227808,1.379332037,1.426529152,1.418385228,1.41317594,1.464108839,1.476944843,1.532448094,1.57466692,1.730198464,1.829260493,1.932730047,2.030136909,1.811271281,1.76164856,1.818766026,1.853399966,1.948254917,2.021845801,2.103947351,2.207186238,2.281576989,2.378782726,2.466053163,2.420601908,2.564509029,2.550197594,2.754643502,2.928992903,3.036050875,3.133321874,3.188123118,3.036414889,3.204229075,3.301495194,3.305746688,3.363027226,3.472954525,3.668980049,3.849978626,4.09775179,4.294434552,4.332702451,2.371584499,2.736443653
Non-Annex_I,Central Europe,ALB,Albania,CH4,93.59295532,92.20178009,100.5833786,102.3828262,98.3710404,102.0186164,107.5414134,110.7264687,119.0673749,119.7458308,121.8920595,121.7733137,136.5216651,146.3445562,134.3474084,132.2952349,136.3786209,141.7970519,140.0807599,143.6381185,128.1805909,130.8072517,103.980349,108.506791,123.5318989,122.1766855,115.5192178,107.8679952,103.5134462,105.2210409,106.5077362,105.3355411,104.9890783,105.6827505,103.6922573,102.2018951,101.8687775,98.10410839,94.13231019,90.80086442,91.91127529,90.95326336,93.41435093,95.93441584,98.43453941,99.78515514,98.25394436,97.60440916,97.75031494,89.46940477,82.39661976,80.95811345
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,CH4,13.05213821,13.17688433,12.58526056,14.12631361,13.07172557,9.12951568,9.558855071,9.596508233,9.675549243,9.42169098,9.911917483,9.240567997,8.538916101,8.636460976,7.583450076,4.526858852,4.432187801,4.83666126,4.891570327,4.836541198,4.970743058,4.930629648,5.382330192,5.483296267,5.541459847,5.544741731,5.541966168,5.455372125,5.603950325,5.045525622,5.120067286,5.465634523,4.856846955,4.616287074,5.053485529,5.199751782,4.981427748,5.203696161,5.038242154,4.853194093,3.448717404,4.596561528,4.650882803,4.71063661,4.915408813,4.802819611,4.552091807,3.487760373,3.163420634,2.845573034,2.624212312,2.518313618
Non-Annex_I,Middle_East,ARE,United Arab Emirates,CH4,322.0032726,323.805715,365.0080696,462.1019183,503.5153352,514.8198176,589.1837574,632.3862755,612.353163,623.1567318,608.6616394,568.4078403,514.2711038,477.5420256,505.1962896,538.4157335,609.3877589,682.584481,703.0485282,827.8908511,892.8855417,937.9789252,974.8698992,1093.313191,1071.989972,1130.95109,1202.439411,1164.405591,1120.701147,1124.931682,1187.897454,1215.445221,1166.864248,1235.730429,1233.540157,1297.720323,1359.064308,1365.653032,1374.841396,1358.814498,1431.190163,1511.726792,1578.404984,1626.537876,1614.608545,1751.67822,1791.901333,1683.976667,1625.379338,1723.494237,1813.289057,1686.036489
Non-Annex_I,Rest South America,ARG,Argentina,CH4,3989.135911,4082.899738,4243.728548,4385.424439,4399.710236,4483.77417,4590.536382,4791.5971,4596.431346,4585.116777,4528.96126,4442.009047,4369.250148,4478.346054,4542.925481,4508.056083,4471.441736,4432.505188,4604.666805,4706.21047,4762.283422,4718.276343,4774.371697,4740.180379,4787.61278,4841.032839,4732.137351,4757.984259,4680.590787,4863.147947,4876.606415,4893.776829,5084.679177,5410.635024,5532.579672,5498.065321,5605.583173,5506.840451,5408.82084,5161.062926,4836.031319,4767.970812,4903.351089,4970.695563,4999.72941,5080.661886,5080.533305,5228.722388,5212.093198,5328.219162,5383.225501,5568.807507
Non-Annex_I,Russia +,ARM,Armenia,CH4,75.22732459,79.37497471,82.01550653,84.22968007,87.06862245,89.24976634,89.97331569,90.74641055,92.4045639,93.56102734,94.37280118,93.90350719,94.30448992,95.22349649,96.75082339,97.84275381,98.46385042,99.59740324,107.4978618,109.9723072,108.4530855,100.8700896,90.91232854,77.96889483,78.5186101,76.4396891,77.40757549,77.60473956,74.10231065,75.06410794,75.11001369,75.99216212,79.02656678,82.27087984,85.18863327,86.63507743,88.40638405,85.91069281,86.43715495,81.94963376,80.74207888,81.11424709,84.1780294,89.45681651,91.49464283,93.41482454,95.20164027,91.51301516,85.79426465,84.07462284,82.56773533,81.1280582
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,CH4,2.103069149,2.302471414,2.268953302,2.289619314,2.290574619,2.316314767,2.33369116,2.367314144,2.505089854,2.703061827,2.842152715,2.838391017,2.897398621,2.863913219,2.860327853,2.961752715,2.940947436,2.931968043,2.916550078,2.78624695,2.780870641,2.817633407,2.834218949,2.871870652,2.929090652,2.94815355,2.934709702,2.960278688,2.974456555,3.01301788,3.02718899,3.038666374,3.041619145,3.062456834,3.083259392,3.077980955,3.09194051,3.083964666,3.060560219,3.015366007,2.3393747,2.343202205,2.348436582,2.350331002,2.357542173,2.362178226,2.378894569,2.387398919,2.393944457,2.338410086,2.324932531,2.333221005
Annex_I,Oceania,AUS,Australia,CH4,4259.667706,4365.692798,4571.022349,4537.146938,4659.273136,4714.008519,4713.955275,4548.978729,4374.128951,4320.895816,4238.24096,4289.861234,4305.480459,4243.611148,4381.828944,4409.967371,4518.142501,4536.207546,4489.066421,4690.986921,4809.982148,4833.911956,4784.571243,4744.680055,4718.613284,4693.066368,4751.819528,4848.719047,4867.605297,4868.163984,4991.476243,5062.906048,5078.264194,4845.835502,4943.588373,5016.624339,5011.542357,4971.35109,4840.805878,4904.153737,4919.553099,5048.202564,5081.01499,4910.905366,4833.675866,4866.662071,4563.229329,4614.672064,4469.80973,4530.144205,4312.545785,4363.548402
Annex_I,OECD_Europe,AUT,Austria,CH4,496.3254189,505.2316757,503.5618922,510.1402494,514.286292,510.8125209,511.6236926,515.4647017,515.2868682,524.4614593,526.7616904,524.4528708,530.7945386,529.4179144,538.3230033,544.3647428,541.5412091,534.7257503,537.948703,528.3839577,525.0649057,526.5864472,516.13364,506.2521836,494.5068409,481.7170702,475.1190527,465.823877,457.4203513,455.7599612,450.3482721,448.3143445,451.0489097,471.9202232,436.5138049,428.5509126,427.9067113,420.3978638,420.7444385,415.5112954,424.6521364,420.1215892,414.4511962,418.4967517,413.9871641,400.8174764,404.3981672,405.1366526,399.9823269,394.4887407,388.2204012,387.3833405
Non-Annex_I,Russia +,AZE,Azerbaijan,CH4,286.7317929,297.2820864,305.6373276,313.8110897,325.9622099,337.7462757,345.4654643,351.5162634,361.6503116,370.6555055,378.7333744,384.4302945,393.3584756,403.1973086,415.2384233,426.9022574,440.4420585,451.8478528,458.1123497,464.366842,470.0838596,446.2472392,425.8771506,393.658131,371.2856542,368.2667116,366.2000134,370.4654425,379.7442869,413.5661378,420.4683158,433.8452312,432.094766,446.8680611,455.5128842,496.2576856,531.6799956,689.8190629,778.3237952,731.6594822,745.6716186,732.5301666,750.6930537,765.1802803,781.0260861,781.8120291,773.6284979,761.4790743,773.6349133,840.9528886,671.8080563,671.4173985
Non-Annex_I,Eastern_Africa,BDI,Burundi,CH4,58.69160253,58.54331468,60.94911908,62.5058605,63.24404628,64.79455669,65.1358269,65.99084462,66.91694182,68.55578855,62.59658929,57.58652156,58.76685576,59.84685974,61.83443527,60.74894868,65.9960956,66.34195194,68.02570727,69.56140754,77.87801031,79.29676393,80.50678194,80.89292383,79.94884799,82.24614168,84.04596182,85.97331536,84.49139401,72.00666633,73.69946454,83.98783741,84.17889437,86.83238206,90.05535582,93.40558183,98.3372744,103.0654725,107.822331,115.3734434,123.3307781,129.522404,118.5950041,140.1644846,141.4427235,142.9902182,152.3595938,170.0555509,172.3118681,160.8005628,161.6088422,164.5342543
Annex_I,OECD_Europe,BEL,Belgium,CH4,757.4611718,747.2290369,740.9401576,754.5924591,766.6358814,754.7446134,752.9867609,761.2561307,753.0944922,759.1279095,763.8231265,761.2224609,760.9937411,755.8322078,766.3754126,774.1129294,759.1170388,740.785806,706.7015567,712.2734834,715.4488174,721.5542664,716.6980136,711.2708324,723.4884676,736.6216837,718.9068646,712.1478906,704.9835723,717.6460905,722.2952396,707.5086755,698.0880288,710.5955274,738.4721223,726.1184085,715.0511505,713.1608635,709.6707694,713.9511378,716.9787422,714.9737792,702.4895339,703.2595423,701.4257394,704.5858805,698.0443158,690.1038036,692.5464155,688.7668183,684.6332293,682.6405215
Non-Annex_I,Western_Africa,BEN,Benin,CH4,61.93132195,63.14213943,66.22995334,69.7811768,69.40948716,73.21720206,75.09140032,76.62445998,78.67779026,80.47755815,84.34259485,87.14525384,89.56901475,93.50419242,96.56770365,100.2453611,95.47618434,96.57017751,98.32652102,99.26204315,104.8793245,108.2918913,111.2018502,113.1801072,121.1327085,116.0215491,121.9597741,123.9771074,125.8528658,132.7792217,135.396082,140.6520104,144.5336334,147.1152607,151.5258794,155.0800435,161.9321628,166.9920733,172.5611614,178.7625457,194.7937017,201.4260529,208.1395095,225.5474701,227.1187782,231.813894,240.6154858,246.9322584,261.1365629,265.6310251,270.1317725,277.3887151
