Region,Country,ISO 3,Pollutant,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,,
Africa_Eastern,DJIBOUTI,DJI,BC,0.000220287,0.000649738,0.000693245,0.000729314,0.000769076,0.000886445,0.001048798,0.001146255,0.001175399,0.001202016,0.001246849,0.001270066,,
Africa_Eastern,ETHIOPIA,ETH,BC,0.291683526,0.289146869,0.29297761,0.297679066,0.305591242,0.311540487,0.315020254,0.328352721,0.333876229,0.338397348,0.345389128,0.351381125,,
Africa_Eastern,KENYA,KEN,BC,0.061276751,0.077437807,0.080100513,0.082620533,0.086171487,0.091943861,0.097963973,0.104345847,0.106578995,0.109009771,0.112499843,0.115313213,,
Africa_Eastern,MADAGASCAR,MDG,BC,0.084271007,0.084385443,0.08429933,0.084517507,0.08500622,0.085374357,0.085245946,0.087153513,0.087033572,0.086743695,0.086844035,0.086687518,,
Africa_Eastern,RWANDA,RWA,BC,0.014895202,0.016692216,0.017223959,0.01777611,0.018600573,0.019702673,0.021099031,0.022555627,0.022949535,0.023526253,0.024329187,0.024993213,,
Africa_Eastern,SUDAN,SDN,BC,0.454005021,0.434450849,0.425754194,0.417042535,0.40259971,0.387454758,0.374214757,0.346826286,0.338331872,0.330172412,0.317337219,0.306807242,,
Africa_Eastern,UGANDA,UGA,BC,0.093648207,0.097237077,0.098951147,0.099634935,0.101261693,0.103097419,0.105407242,0.109619751,0.110054397,0.110948505,0.112353739,0.113547624,,
Africa_Eastern,DJIBOUTI,DJI,CH4,0.003131257,0.003422799,0.003651226,0.003880934,0.004039136,0.004364538,0.004678541,0.004856781,0.004764724,0.004827586,0.004702459,0.004818664,,
Africa_Eastern,ETHIOPIA,ETH,CH4,0.278991009,0.280943171,0.284435899,0.282201521,0.281853115,0.283364615,0.290948022,0.296949725,0.299824307,0.306015823,0.310396157,0.314087833,,
Africa_Eastern,KENYA,KEN,CH4,0.126056631,0.136123518,0.142776863,0.149097607,0.155719953,0.16611193,0.177023773,0.182137727,0.179321671,0.182504851,0.181078521,0.183628735,,
Africa_Eastern,MADAGASCAR,MDG,CH4,0.102740186,0.104063762,0.105786985,0.105285499,0.105051076,0.105465629,0.107453509,0.108356569,0.109840094,0.112673533,0.11400927,0.115351076,,
Africa_Eastern,RWANDA,RWA,CH4,0.015871309,0.016719771,0.017143386,0.017289865,0.017859881,0.019115942,0.021063241,0.022198564,0.021538334,0.022370503,0.022300033,0.02304636,,
