COUNTRY,BC,CH4,CO2,CO,N2O,NH3,NOX,OM,SO2,VOC,PM25
*TOTAL*,7672392906,2.95747E+11,3.4269E+13,1.05658E+12,12394744414,47419696273,1.2356E+11,46415707030,1.05596E+11,2.07831E+11,54083140666
AIR,4959270,0,0,0,0,0,2758670000,0,0,0,0
SHIP,131348216,433075613,0,1188789480,0,0,17889718800,181220230,11086829600,2928535430,312568446
ARG,73502000,4823580000,2.118E+11,5878600000,298762900,643394400,858340000,337589000,203835000,1607600000,411091000
AUS,172618000,5698110000,8.237E+11,24285400409,383892300,757151000,2419100039,1385760000,2456670009,3891670000,1558378000
AUT,12598500,478361000,83916000000,908965000,23778200,37144900,252534000,28881000,127488500,213230000,41479500
BGR,6626300,380210000,94220000000,840634000,22159100,147541000,217859100,35173000,1030546000,163894000,41799300
BLX,27928742,1209403220,3.48317E+11,1854494000,91812566.1,123703434,614403170,31805010,198074333,501224380,59733752
BRA,462398000,15738900000,1.1348E+12,54770100000,806596000,2421300000,3430300000,3492730000,1954920000,10716800000,3955128000
CAN,79144000,5453750000,6.911E+11,20476679100,204720000,930355100,2637570000,871393000,2386039000,4312800000,950537000
CHE,2712400,192910000,49674300000,371943000,12110630,17189700,92448200,7154100,24693900,98706000,9866500
CHL,21944900,730140000,56091000000,1822300000,33403530,83756500,318870200,79393000,1099034000,179240000,101337900
CHN,1344830000,44309500000,3.7929E+12,1.2233E+11,1768988800,6550846000,11678619800,4073640000,18614052960,23490500000,5418470000
COR,98355230,1333849800,4.52687E+11,4551953000,38213940,109473960,1271279900,165001300,819891990,1411421000,263356530
EAF,932951000,14027650000,2.5962E+12,1.36515E+11,1002189600,2716500588,6181390000,8061049000,1042535000,20748500000,8994000000
EGY,30128140,993815000,1.30311E+11,3587531000,70765740,24223673,588312200,57753400,547754520,717646100,87881540
ESP,54754000,1551740000,3.87816E+11,4197440000,160030000,762792000,1194490000,114700000,1785089000,733820000,169454000
FIN,8044557,311455990,57349889000,818424900,14261987.6,26664930,794428460,21328950,78942940,98563100,29373507
FRA,70527600,3041940000,4.19716E+11,6964775100,286747000,855032000,1375874000,116761000,576443100,1852280000,187288600
GBR,49323901,3647031010,6.01554E+11,4250926700,251796147.6,474849543,1883090841,53828190,1294802795,1323621400,103152091
GOLF,90590420,10598841600,9.52711E+11,18426079500,263967295,620792280,3148113450,262276870,5561375686,12605632900,352867290
GRC,8729900,233088000,98363000000,1048632000,45210200,259948600,272165000,17658000,529191500,183630000,26387900
HUN,10070200,390099000,59218000000,715720000,24391160,89839390,228939200,36014000,453690000,241007200,46084200
IDN,386780000,15267000000,1.2217E+12,95077200000,267466100,4620902500,2867240000,4519786000,2081775000,18859800000,4906566000
ITA,42933400,1993579000,4.65262E+11,4732140000,103558000,496722000,1243958950,55360000,757388000,1309596000,98293400
JPN,118560200,1234625000,1.2652E+12,6764430000,92895400,328780700,2240878000,163314000,864619400,2085630000,281874200
KAZ,40973400,1589260000,2.31649E+11,4883107000,43794600,283677900,587816000,296752000,1665681000,1167780000,337725400
MEME,17907500,845192000,1.69761E+11,2278700000,44132700,73954300,458877000,52318000,738329800,488945000,70225500
