COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	-0.01431	0.008528	0.0005845	0.002417	0.001058	0.00322	0.0004287	0.01626	0.03518	0.002686	0.0009721	0.00813	0.000898	0.01176	0.02988	0.004881	0.03594	0.01447	0.008864	0.005019	0.003941	0.005535	0.002564	0.0001599	0.00001372	-0.000001163	-0.000000796	0.001445	0.002772	0.001448	0.000228	0.003715	0.0008411	0.001114	1.475E-07	1.843E-08	0	0.0004787	0.0004969	0.0002399	0.0004023	0.000219	0	7.055E-07	0	0	0.000008071	0.000008021	0.0001506	0.0003226	-2.214E-07	0.00003151	0.0000078	-8.81E-11	-1.567E-07	-2.642E-07	0	0	0.003407	0
CHE	0.01193	-0.003969	0.0003443	0.001297	0.0004279	0.005088	0.000371	0.003165	0.01755	0.00413	0.0003922	0.001854	0.0002794	0.001683	0.002302	0.001372	0.003832	0.003805	0.001214	0.001836	0.001581	0.00187	0.001009	0.00002999	0.000005475	0.000001317	0.000000837	0.000609	0.001266	0.0004545	0.0001067	0.0005686	0.0004176	0.0005659	-1.92E-08	-4.522E-09	0	0.0002242	0.0002344	0.0001373	0.0002425	0.0001275	0	8.45E-08	0	0	0.000004837	0.000006024	0.00007185	0.0001642	-4.3E-09	0.0000257	0.000003806	-5.518E-10	6.77E-08	1.752E-07	0	0	0.0008449	0
BLX	0.003903	0.01424	-0.251	0.001173	0.006078	-0.01807	-0.02126	0.006474	0.006712	-0.02442	-0.002901	0.005212	-0.002133	0.004895	0.004256	0.004441	0.006091	0.001645	0.004155	0.002612	0.002092	0.002413	0.001676	0.0001531	-0.000001915	0.000006315	0.000000242	0.001529	0.002711	0.001372	0.0001923	0.002827	0.0007925	0.001031	7.083E-08	4.299E-08	0	0.0004549	0.0003816	-0.0004876	0.000325	0.0001483	0	-0.000007897	0	0	-0.00004818	-0.000005378	0.0002384	0.0002506	2.025E-07	-0.0001258	-0.00004848	-5.424E-10	4.251E-07	0.000000739	0	0	-0.005842	0
ESP	0.02429	0.05253	0.009803	0.515	0.003077	0.06262	0.005612	0.03929	0.06738	0.01961	0.005167	0.02524	0.004306	0.01643	0.015	0.01069	0.02502	0.01669	0.01324	0.03151	0.1027	0.0379	0.01604	0.01805	0.0002948	0.00002525	-0.00000022	0.004808	0.01605	0.002757	0.0006988	0.006498	0.004039	0.006294	3.439E-07	4.85E-08	0	0.0021	0.002963	0.008226	0.004583	0.003296	0	0.00008698	0	0	0.0005764	0.0003174	0.0008048	0.002653	0.000001326	0.001518	0.0005703	2.114E-09	4.148E-07	0.00000484	0	0	0.02193	0
FIN	0.002344	0.002646	0.002894	0.0007835	-0.05989	0.002342	0.004889	0.009071	0.003076	0.005309	0.01671	0.008945	0.009222	0.007775	0.004139	0.0131	0.005839	0.00533	0.006929	0.001582	-0.00008395	0.0002126	0.001076	-0.0002484	-0.00002001	-0.00001972	-0.000009777	0.006007	0.006227	0.00704	0.0008088	0.007718	0.002199	0.002721	-2.405E-07	-7.032E-08	0	0.001463	0.0007523	-0.001445	0.00006427	-0.0001012	0	-0.00002209	0	0	-0.0001325	-0.00002953	0.0007511	0.0005152	-0.000002339	-0.0002851	-0.0001106	-2.167E-09	-2.924E-07	-0.000002147	0	0	0.003634	0
FRA	0.06161	0.2512	0.019	0.08206	0.008454	0.1231	0.01098	0.04283	0.1254	0.05599	0.01235	0.02557	0.009262	0.02218	0.02417	0.02086	0.03986	0.03749	0.01734	0.02674	0.03341	0.02798	0.0118	0.0025	0.00008802	-0.00000042	-0.000005405	0.005381	0.01332	0.004589	0.000806	0.009805	0.004265	0.005964	5.92E-08	2.902E-08	0	0.002184	0.002383	0.001934	0.00241	0.001302	0	0.000001353	0	0	0.00007901	0.00007877	0.0008273	0.001882	-0.000001005	0.0002558	0.00003437	-1.43E-10	-1.519E-07	-0.00000041	0	0	0.01984	0
GBR	0.02406	0.03712	-0.03071	0.03965	0.02676	0.01449	-0.2461	0.01832	0.02736	0.02579	0.05873	0.01201	0.0466	0.0104	0.016	0.0204	0.01478	0.02277	0.01132	0.009786	0.01397	0.008278	0.00425	0.001363	-0.00003549	-0.00002579	-0.00001116	0.003728	0.006293	0.005283	0.0006133	0.008705	0.001869	0.00256	-3.597E-07	-7.492E-08	0	0.001063	0.0007509	-0.002012	0.0006814	0.0002439	0	-0.00004308	0	0	-0.0002201	-0.0000388	0.0006787	0.0006127	-0.000003799	-0.000457	-0.0001772	-4.259E-09	-0.000002615	-0.000006543	0	0	-0.01048	0
GRC	0.001692	0.001847	0.0004946	0.001061	0.00009875	0.001104	0.0006443	0.1053	0.008596	0.0005522	0.0002697	0.03918	0.0001172	0.01874	0.001678	0.0005244	0.008604	0.0007442	0.005127	0.03582	0.006599	0.05343	0.005937	0.001818	0.0001938	0.00002233	0.00000502	0.0009539	0.002953	0.0007332	0.0001753	0.002096	0.0009403	0.001663	2.595E-07	5.05E-08	0	0.0004473	0.0006679	0.002227	0.0009806	0.0008665	0	0.00003158	0	0	0.0002006	0.00008635	0.0001348	0.0006149	0.00000168	0.0004191	0.0001479	1.249E-09	0.000001777	0.000004664	0	0	0.003484	0
ITA	0.08721	0.1235	0.002692	0.0106	0.002247	0.01431	0.002308	0.103	-0.02203	0.01234	0.002135	0.04177	0.001488	0.03811	0.03263	0.01025	0.1074	0.0254	0.02563	0.03826	0.04208	0.05309	0.01548	0.005136	0.0003365	0.00003292	0.000002997	0.005235	0.01416	0.003549	0.0009003	0.01175	0.004528	0.006671	0.000000302	5.67E-08	0	0.00238	0.002793	0.005888	0.003648	0.002479	0	0.00007099	0	0	0.0004987	0.0002229	0.0007127	0.002258	0.000001221	0.001009	0.0003508	3.613E-09	0.000000988	0.000003375	0	0	0.02378	0
RFA	0.1044	0.07061	-0.03934	0.008574	0.01847	0.01213	0.004171	0.03851	0.04695	-0.1588	-0.001596	0.02813	0.00957	0.03344	0.04279	0.03995	0.04733	0.04962	0.02947	0.01304	0.005616	0.01066	0.007401	0.00006096	0.00001237	0.000007767	-0.000001489	0.007226	0.01203	0.007484	0.001013	0.01836	0.003263	0.004279	-3.49E-08	4.688E-08	0	0.001897	0.001752	-0.0007249	0.001174	0.0004433	0	-0.00001159	0	0	-0.00008009	-0.000002104	0.0008748	0.001198	-5.549E-07	-0.0002176	-0.0001045	-2.041E-10	2.744E-07	4.448E-07	0	0	0.007021	0
SWE	0.009172	0.01116	0.006234	0.001278	0.03435	0.005451	0.006115	0.006283	0.005735	0.01206	0.009618	0.005379	0.0377	0.006571	0.00776	0.02809	0.007039	0.01181	0.004986	0.001368	0.0006479	0.0007047	0.0006744	-0.0000207	-0.000009147	-0.000002632	-0.000002067	0.002245	0.002419	0.003461	0.0003475	0.004515	0.0008217	0.001019	4.005E-08	-2.145E-08	0	0.0004824	0.000281	-0.0003836	0.00003475	-0.00003282	0	-0.000002851	0	0	-0.00001835	-0.000005302	0.0002831	0.0002225	-0.000000165	-0.00009439	-0.00003699	5.752E-10	-0.000000382	-0.000001297	0	0	0.005422	0
